date,t:team,o:team,result,ou result,season,(P:season=season),t:game number,o:game number,t:wins,o:wins,t:game number-o:game number,t:wins-o:wins,t:losses,o:losses,t:losses-o:losses,t:matchup wins,o:matchup wins,t:matchup wins-o:matchup wins,t:matchup losses,o:matchup losses,t:rest,o:rest,t:rest-o:rest,(site='H'),t:WP,o:WP,t:WP-o:WP,(o:site='H'),(t:division=o:division),(p:division=po:division),(op:division=opo:division),(t:conference=o:conference),(p:conference=po:conference),(op:conference=opo:conference),n:rest,on:rest,(n:site='H'),(on:site='H'),(n:division=no:division),(n:conference=no:conference),(po:team=o:team),(o:team=no:team),streak,site streak,o:streak,o:site streak,(day='Monday'),(day='Tuesday'),(day='Wednesday'),(day='Thursday'),(day='Friday'),(day='Saturday'),(day='Sunday'),line,total,t:2ND PTS,t:2PA,t:2PM,t:2PP,t:AST RATIO,t:ATR,t:BAP,t:BL,t:BTP,t:DDS,t:DEFRTG,t:DRB,t:DREBP,t:EFGP,t:FBP,t:FGA,t:FGM,t:FGP,t:FTA,t:FTA RATE,t:FTM,t:FTP,t:LC,t:LSP,t:M1,t:M2,t:M3,t:NETRTG,t:OFFRTG,t:OPP EFGP,t:OPP FTA RATE,t:OPP OREBP,t:OPP TOP,t:ORB,t:OREBP,t:OT,t:PACE,t:PF2,t:PFGA 2PT,t:PFGA 3PT,t:PFT,t:PIE,t:PIP,t:PPTS 2PT,t:PPTS 2PT MR,t:PPTS 3PT,t:PPTS FBPS,t:PPTS FT,t:PPTS OFFTO,t:PPTS PITP,t:PTP,t:PTS OFF TO,t:REBP,t:TM TOP,t:TO,t:TO RATIO,t:TPA,t:TPM,t:TPP,t:TSP,t:TT,t:assists,t:bench points,t:blocks,t:fouls,t:margin,t:points,t:rebounds,t:rest,t:steals,t:team rebounds,o:2ND PTS,o:2PA,o:2PM,o:2PP,o:AST RATIO,o:ATR,o:BAP,o:BL,o:BTP,o:DDS,o:DEFRTG,o:DRB,o:DREBP,o:EFGP,o:FBP,o:FGA,o:FGM,o:FGP,o:FTA,o:FTA RATE,o:FTM,o:FTP,o:LC,o:LSP,o:M1,o:M2,o:M3,o:NETRTG,o:OFFRTG,o:OPP EFGP,o:OPP FTA RATE,o:OPP OREBP,o:OPP TOP,o:ORB,o:OREBP,o:OT,o:PACE,o:PF2,o:PFGA 2PT,o:PFGA 3PT,o:PFT,o:PIE,o:PIP,o:PPTS 2PT,o:PPTS 2PT MR,o:PPTS 3PT,o:PPTS FBPS,o:PPTS FT,o:PPTS OFFTO,o:PPTS PITP,o:PTP,o:PTS OFF TO,o:REBP,o:TM TOP,o:TO,o:TO RATIO,o:TPA,o:TPM,o:TPP,o:TSP,o:TT,o:assists,o:bench points,o:blocks,o:fouls,o:margin,o:points,o:rebounds,o:rest,o:steals,o:team rebounds
20141114,Rockets,Seventysixers,1,0,2014,1,9,9,7,0,0,7,1,8,-7,1,0,1,0,1,1,0,1,1,87.5,0.0,87.5,0,0,0,0,0,1,0,1,2,0,0,0,1,0,0,1,-1,-8,-2,False,False,False,0,1,0,0,-16.5,205.0,18,44,22,50.0,12.2,0.8,55.2,7,24.569444444444446,3,87.9,34,0.0,41.7,23,78,29,37.2,37,0.474,23,62.2,15,35,-9,0,-5,0.1,88.0,46.9,0.225,32.0,26.0,13,33.3,0,99.5,50.0,56.4,43.6,26.136363636363637,53.0,40,50.0,4.5,23.9,26.1,26.1,40.9,45.5,23.863636363636363,16,0.0,20.5,21,21.0,34,7,20.599999999999998,46.7,16,16,7,11,25,1,88,47,1,17,12,10,59,27,45.76271186440678,14.3,0.7,55.9,13,37.26388888888889,4,88.0,32,66.7,46.9,9,80,34,42.5,18,0.225,12,66.7,15,19,9,0,5,-0.1,87.9,41.7,0.474,33.3,20.5,14,0.0,0,99.5,62.06896551724138,73.8,26.3,13.793103448275861,47.0,44,62.1,11.5,24.1,10.3,13.8,18.4,50.6,24.137931034482758,36,0.0,26.0,23,26.3,21,7,33.300000000000004,49.5,16,19,29,5,28,-1,87,46,0,10,10
20141119,Rockets,Lakers,0,0,2014,1,12,12,9,2,0,7,2,9,-7,1,0,1,0,1,1,0,1,1,81.81818181818183,18.181818181818183,63.63636363636364,0,0,1,0,1,1,0,2,1,1,0,1,1,0,0,-1,-2,1,-1,False,False,True,0,0,0,0,-11.5,209.0,5,36,15,41.66666666666667,16.5,1.2,66.7,10,30.86111111111111,4,104.3,32,62.5,50.7,17,74,30,40.5,23,0.311,17,73.9,10,24,2,2,5,-6.4,97.9,43.4,0.253,37.5,13.8,6,19.1,0,94.0,32.608695652173914,48.6,51.4,18.478260869565215,47.0,20,32.6,10.9,48.9,18.5,18.5,14.1,21.7,48.91304347826087,23,42.7,17.9,17,18.1,38,15,39.5,54.7,8,20,28,6,25,-6,92,38,1,8,9,23,71,32,45.07042253521127,12.9,1.2,45.9,6,28.916666666666668,4,97.9,33,80.9,43.4,5,91,37,40.699999999999996,23,0.253,19,82.6,10,29,-2,-2,-5,6.4,104.3,50.7,0.311,19.1,17.9,14,37.5,0,94.0,65.3061224489796,78.0,22.0,19.387755102040817,53.0,38,65.3,26.5,15.3,5.1,19.4,23.5,38.8,15.306122448979592,13,57.3,13.8,13,14.9,20,5,25.0,48.5,8,17,29,3,18,6,98,47,0,8,14
20141203,Rockets,Grizzlies,1,1,2014,1,18,18,13,15,0,-2,4,2,2,0,1,-1,1,0,3,2,1,1,76.47058823529412,88.23529411764706,-11.764705882352942,0,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1,-1,5,-3,False,False,True,0,0,0,0,4.5,190.0,20,65,31,47.69230769230769,15.3,1.1,53.7,27,40.97222222222222,6,99.0,29,0.0,49.5,25,93,41,44.1,20,0.215,13,65.0,1,21,6,12,26,9.3,108.2,52.6,0.355,32.6,21.2,23,45.6,0,97.0,59.04761904761905,69.9,30.1,12.380952380952381,48.8,56,59.0,5.7,28.6,23.8,12.4,28.6,53.3,28.57142857142857,21,0.0,20.2,19,20.6,28,10,35.699999999999996,51.6,3,22,27,8,26,9,105,52,3,14,5,9,63,37,58.730158730158735,19.3,1.2,66.7,8,53.861111111111114,3,108.2,29,54.4,52.6,14,76,39,51.300000000000004,27,0.355,16,59.3,1,15,-6,-12,-26,-9.3,99.0,49.5,0.215,45.6,20.2,10,0.0,0,97.0,77.08333333333334,82.9,17.1,16.666666666666664,51.2,50,77.1,25.0,6.3,14.6,16.7,21.9,52.1,6.25,30,0.0,21.2,20,21.6,13,2,15.4,54.6,3,26,51,7,15,-9,96,39,2,9,11
20141205,Rockets,Timberwolves,1,1,2014,1,19,18,14,4,1,10,4,13,-9,1,0,1,0,1,1,1,0,0,77.77777777777779,23.52941176470588,54.2483660130719,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,2,1,-3,1,False,False,False,0,1,0,0,-7.0,204.0,7,46,26,56.52173913043478,14.2,0.8,50.0,13,31.85534591194969,5,102.8,35,70.9,56.4,15,78,38,48.699999999999996,31,0.397,26,83.89999999999999,7,38,9,-2,9,1.8,104.6,47.9,0.278,29.1,12.9,7,18.6,1,98.72,45.614035087719294,59.0,41.0,22.807017543859647,48.3,40,45.6,10.5,31.6,13.2,22.8,14.0,35.1,31.57894736842105,23,48.0,21.4,22,21.1,32,12,37.5,62.2,10,19,21,3,28,2,114,42,1,3,8,16,87,42,48.275862068965516,15.8,1.6,51.1,7,34.125786163522015,7,104.6,29,81.4,47.9,23,97,45,46.400000000000006,27,0.278,19,70.39999999999999,7,20,-9,2,-9,-1.8,102.8,56.4,0.397,18.6,21.4,14,29.1,1,98.72,75.0,89.7,10.3,16.964285714285715,51.7,66,75.0,16.1,8.0,20.5,17.0,20.5,58.9,8.035714285714286,16,52.0,12.9,14,12.8,10,3,30.0,51.4,10,23,35,5,26,-2,112,43,1,12,12
20141210,Rockets,Warriors,0,0,2014,1,21,21,16,18,0,-2,4,2,2,0,1,-1,1,0,3,1,2,0,80.0,90.0,-10.0,1,0,0,0,1,1,1,0,2,0,0,0,1,0,0,4,1,13,-2,False,False,True,0,0,0,0,10.5,203.0,12,55,28,50.90909090909091,11.8,1.0,40.5,11,25.77777777777778,4,107.1,32,79.5,46.1,12,90,37,41.099999999999994,15,0.167,10,66.7,14,34,7,0,3,-11.3,95.9,54.3,0.247,20.5,15.2,12,28.6,0,97.5,60.215053763440864,61.1,38.9,10.75268817204301,39.2,50,60.2,6.5,29.0,12.9,10.8,16.1,53.8,29.03225806451613,13,51.0,15.1,15,15.5,35,9,25.7,48.1,7,15,5,2,17,-12,93,44,3,9,9,10,58,32,55.172413793103445,16.7,1.4,52.5,12,32.48611111111111,5,95.9,37,71.4,54.3,21,81,40,49.4,20,0.247,17,85.0,14,21,-7,0,-3,11.3,107.1,46.1,0.167,28.6,15.1,6,20.5,0,97.5,60.952380952380956,71.6,28.4,16.19047619047619,60.8,48,61.0,15.2,22.9,20.0,16.2,12.4,45.7,22.857142857142858,15,49.0,15.2,15,15.3,23,8,34.8,58.5,7,21,26,5,16,12,105,43,1,9,6
20141211,Rockets,Kings,1,1,2014,1,22,23,16,11,-1,5,5,11,-6,1,0,1,0,1,0,1,-1,0,76.19047619047619,50.0,26.19047619047619,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,-1,-1,-1,-1,False,False,False,1,0,0,0,1.0,197.5,8,51,23,45.09803921568628,12.8,1.3,47.4,9,33.37525941764669,5,104.8,28,60.0,47.9,18,95,38,40.0,31,0.326,22,71.0,3,44,-10,-10,-8,2.8,107.6,51.2,0.405,40.0,20.0,14,36.7,1,94.64,40.707964601769916,53.7,46.3,19.469026548672566,48.4,40,40.7,5.3,39.8,15.9,19.5,23.9,35.4,39.823008849557525,20,47.3,12.9,14,13.3,44,15,34.1,52.0,4,18,21,3,27,4,113,42,0,13,16,17,66,31,46.96969696969697,15.4,1.0,56.4,12,31.85534591194969,5,107.6,33,63.3,51.2,27,84,39,46.400000000000006,34,0.405,23,67.60000000000001,3,24,10,10,8,-2.8,104.8,47.9,0.326,36.7,12.9,11,40.0,1,94.64,56.88073394495413,78.6,21.4,21.100917431192663,51.6,42,56.9,18.3,22.0,24.8,21.1,18.3,38.5,22.018348623853214,27,52.7,20.0,21,21.2,18,8,44.4,55.1,4,22,33,4,23,-4,109,44,1,8,20
20141217,Rockets,Nuggets,1,1,2014,1,24,25,18,10,-1,8,5,14,-9,1,0,1,0,1,3,2,1,0,78.26086956521739,41.66666666666667,36.59420289855072,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,2,1,-2,1,False,False,True,0,0,0,0,-2.0,205.5,9,57,27,47.368421052631575,12.2,1.1,48.6,5,16.628930817610062,5,100.0,45,0.0,45.9,16,85,35,41.199999999999996,48,0.565,37,77.10000000000001,13,41,-4,-5,-3,3.6,103.6,47.0,0.232,28.6,16.2,10,23.6,1,100.53,46.95652173913044,67.1,32.9,32.17391304347826,55.1,42,47.0,10.4,20.9,13.9,32.2,10.4,36.5,20.869565217391305,21,0.0,14.3,16,14.4,28,8,28.599999999999998,54.2,8,17,7,5,23,4,115,55,3,7,9,14,69,27,39.130434782608695,19.1,1.7,75.0,16,37.15723270440252,6,103.6,35,76.4,47.0,19,99,40,40.400000000000006,23,0.232,18,78.3,13,23,4,5,3,-3.6,100.0,45.9,0.565,23.6,14.3,16,0.0,1,100.53,48.64864864864865,69.7,30.3,16.216216216216218,44.9,36,48.6,16.2,35.1,17.1,16.2,18.9,32.4,35.13513513513514,12,0.0,16.2,15,16.2,30,13,43.3,50.9,8,30,42,1,36,-4,111,51,2,8,10
20141226,Rockets,Grizzlies,1,1,2014,1,28,29,20,21,-1,-1,7,7,0,1,1,0,1,1,3,3,0,0,74.07407407407408,75.0,-0.9259259259259238,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,1,3,-3,1,False,False,False,0,1,0,0,1.5,194.0,13,57,27,47.368421052631575,17.6,1.8,61.0,10,33.496855345911946,5,107.8,41,70.3,52.7,20,91,41,45.1,28,0.308,21,75.0,6,32,-7,-7,-2,5.8,113.6,44.7,0.221,29.7,5.7,13,30.8,1,93.28,46.15384615384615,62.6,37.4,17.94871794871795,51.9,44,46.2,8.5,35.9,17.1,17.9,3.4,37.6,35.8974358974359,14,52.6,13.4,14,13.6,34,14,41.199999999999996,56.6,6,25,48,7,23,6,117,54,3,2,11,14,80,36,45.0,20.5,5.2,72.1,14,40.3484495880244,6,113.6,29,69.2,44.7,18,104,43,41.3,23,0.221,18,78.3,6,29,7,7,2,-5.8,107.8,52.7,0.308,30.8,13.4,15,29.7,1,93.28,64.86486486486487,76.9,23.1,16.216216216216218,48.1,50,64.9,19.8,18.9,16.2,16.2,12.6,45.0,18.91891891891892,4,47.4,5.7,6,5.8,24,7,29.2,48.6,6,31,53,4,23,-6,111,44,3,8,14
20141228,Rockets,Spurs,0,1,2014,1,29,32,21,18,-3,3,7,13,-6,1,0,1,0,1,1,1,0,0,75.0,58.06451612903226,16.935483870967737,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,2,-1,-2,-1,False,False,False,0,0,0,1,1.0,199.0,16,44,26,59.09090909090909,14.7,0.8,52.6,10,30.04652454690646,4,107.8,30,71.1,57.1,25,77,38,49.4,31,0.403,18,58.099999999999994,20,28,5,-1,-1,-2.9,105.0,53.6,0.289,28.9,18.7,12,33.3,0,101.5,49.056603773584904,57.1,42.9,16.9811320754717,47.2,44,49.1,7.5,34.0,23.6,17.0,20.8,41.5,33.9622641509434,27,52.2,24.1,24,24.8,33,12,36.4,58.5,13,20,37,1,24,-4,106,42,1,15,12,15,53,28,52.83018867924528,16.3,1.2,56.4,11,36.539129227137,4,105.0,27,66.7,53.6,22,83,39,47.0,24,0.289,21,87.5,20,24,-5,1,1,2.9,107.8,57.1,0.403,33.3,24.1,11,28.9,0,101.5,50.90909090909091,63.9,36.1,19.090909090909093,52.8,52,50.9,3.6,30.0,20.0,19.1,24.5,47.3,30.0,22,47.8,18.7,19,18.6,30,11,36.7,58.8,13,22,44,6,28,4,110,38,1,12,7
20150102,Rockets,Pelicans,0,0,2014,1,32,33,22,16,-1,6,9,16,-7,0,1,-1,1,0,1,1,0,0,70.96774193548387,50.0,20.967741935483872,1,1,0,1,1,0,1,0,2,1,1,0,0,0,0,1,2,-1,-1,False,False,False,0,1,0,0,-2.0,203.0,18,59,29,49.152542372881356,16.4,1.2,62.9,0,56.79861111111111,4,115.6,25,63.4,43.2,13,88,35,39.800000000000004,11,0.125,7,63.6,0,12,-9,-17,-29,-29.2,86.5,57.2,0.241,36.6,19.2,13,32.1,0,96.0,69.87951807228916,67.0,33.0,8.433734939759036,30.8,54,69.9,4.8,21.7,15.7,8.4,24.1,65.1,21.686746987951807,15,45.4,19.2,19,19.8,29,6,20.7,44.7,0,22,47,3,22,-28,83,38,1,13,7,16,68,37,54.41176470588235,17.8,1.3,54.5,32,48.90972222222222,4,86.5,37,67.9,57.2,11,83,44,53.0,20,0.241,16,80.0,0,22,9,17,29,29.2,115.6,43.2,0.125,32.1,19.2,12,36.6,0,96.0,66.66666666666666,81.9,18.1,14.414414414414415,69.2,56,66.7,16.2,18.9,9.9,14.4,13.5,50.5,18.91891891891892,20,54.6,19.2,18,19.8,15,7,46.7,60.5,0,24,59,8,13,28,111,49,1,12,6
