date,t:team,o:team,result,ou result,season,(P:season=season),t:game number,o:game number,t:wins,o:wins,t:game number-o:game number,t:wins-o:wins,t:losses,o:losses,t:losses-o:losses,t:matchup wins,o:matchup wins,t:matchup wins-o:matchup wins,t:matchup losses,o:matchup losses,t:rest,o:rest,t:rest-o:rest,(site='H'),t:WP,o:WP,t:WP-o:WP,(o:site='H'),(t:division=o:division),(p:division=po:division),(op:division=opo:division),(t:conference=o:conference),(p:conference=po:conference),(op:conference=opo:conference),n:rest,on:rest,(n:site='H'),(on:site='H'),(n:division=no:division),(n:conference=no:conference),(po:team=o:team),(o:team=no:team),streak,site streak,o:streak,o:site streak,(day='Monday'),(day='Tuesday'),(day='Wednesday'),(day='Thursday'),(day='Friday'),(day='Saturday'),(day='Sunday'),line,total,t:2ND PTS,t:2PA,t:2PM,t:2PP,t:AST RATIO,t:ATR,t:BAP,t:BL,t:BTP,t:DDS,t:DEFRTG,t:DRB,t:DREBP,t:EFGP,t:FBP,t:FGA,t:FGM,t:FGP,t:FTA,t:FTA RATE,t:FTM,t:FTP,t:LC,t:LSP,t:M1,t:M2,t:M3,t:NETRTG,t:OFFRTG,t:OPP EFGP,t:OPP FTA RATE,t:OPP OREBP,t:OPP TOP,t:ORB,t:OREBP,t:OT,t:PACE,t:PF2,t:PFGA 2PT,t:PFGA 3PT,t:PFT,t:PIE,t:PIP,t:PPTS 2PT,t:PPTS 2PT MR,t:PPTS 3PT,t:PPTS FBPS,t:PPTS FT,t:PPTS OFFTO,t:PPTS PITP,t:PTP,t:PTS OFF TO,t:REBP,t:TM TOP,t:TO,t:TO RATIO,t:TPA,t:TPM,t:TPP,t:TSP,t:TT,t:assists,t:bench points,t:blocks,t:fouls,t:margin,t:points,t:rebounds,t:rest,t:steals,t:team rebounds,o:2ND PTS,o:2PA,o:2PM,o:2PP,o:AST RATIO,o:ATR,o:BAP,o:BL,o:BTP,o:DDS,o:DEFRTG,o:DRB,o:DREBP,o:EFGP,o:FBP,o:FGA,o:FGM,o:FGP,o:FTA,o:FTA RATE,o:FTM,o:FTP,o:LC,o:LSP,o:M1,o:M2,o:M3,o:NETRTG,o:OFFRTG,o:OPP EFGP,o:OPP FTA RATE,o:OPP OREBP,o:OPP TOP,o:ORB,o:OREBP,o:OT,o:PACE,o:PF2,o:PFGA 2PT,o:PFGA 3PT,o:PFT,o:PIE,o:PIP,o:PPTS 2PT,o:PPTS 2PT MR,o:PPTS 3PT,o:PPTS FBPS,o:PPTS FT,o:PPTS OFFTO,o:PPTS PITP,o:PTP,o:PTS OFF TO,o:REBP,o:TM TOP,o:TO,o:TO RATIO,o:TPA,o:TPM,o:TPP,o:TSP,o:TT,o:assists,o:bench points,o:blocks,o:fouls,o:margin,o:points,o:rebounds,o:rest,o:steals,o:team rebounds
20141114,Seventysixers,Rockets,0,0,2014,1,9,9,0,7,0,-7,8,1,7,0,1,-1,1,0,0,1,-1,0,0.0,87.5,-87.5,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,-8,-2,1,-1,False,False,False,0,1,0,0,16.5,205.0,10,59,27,45.76271186440678,14.3,0.7,55.9,13,37.26388888888889,4,88.0,32,66.7,46.9,9,80,34,42.5,18,0.225,12,66.7,15,19,9,0,5,-0.1,87.9,41.7,0.474,33.3,20.5,14,0.0,0,99.5,62.06896551724138,73.8,26.3,13.793103448275861,47.0,44,62.1,11.5,24.1,10.3,13.8,18.4,50.6,24.137931034482758,36,0.0,26.0,23,26.3,21,7,33.300000000000004,49.5,16,19,29,5,28,-1,87,46,0,10,10,18,44,22,50.0,12.2,0.8,55.2,7,24.569444444444446,3,87.9,34,0.0,41.7,23,78,29,37.2,37,0.474,23,62.2,15,35,-9,0,-5,0.1,88.0,46.9,0.225,32.0,26.0,13,33.3,0,99.5,50.0,56.4,43.6,26.136363636363637,53.0,40,50.0,4.5,23.9,26.1,26.1,40.9,45.5,23.863636363636363,16,0.0,20.5,21,21.0,34,7,20.599999999999998,46.7,16,16,7,11,25,1,88,47,1,17,12
20141129,Seventysixers,Mavericks,0,1,2014,1,16,18,0,12,-2,-12,15,5,10,0,1,-1,1,0,2,0,2,1,0.0,70.58823529411765,-70.58823529411765,0,0,1,0,0,1,0,1,2,1,0,0,0,0,0,-15,2,2,-1,False,False,False,0,0,1,0,12.5,206.0,19,64,30,46.875,17.5,1.1,72.2,2,36.65717658495938,6,110.0,33,66.7,45.9,25,85,36,42.4,31,0.365,25,80.60000000000001,9,21,-2,-7,-4,-6.0,104.0,49.4,0.337,33.3,11.9,22,0.0,0,99.5,58.252427184466015,75.3,24.7,24.271844660194176,45.5,48,58.3,11.7,17.5,24.3,24.3,12.6,46.6,17.475728155339805,27,0.0,23.8,24,24.2,21,6,28.599999999999998,52.2,8,26,44,4,26,-7,103,55,2,10,7,11,59,32,54.23728813559322,19.7,2.3,70.0,12,35.3125,6,104.0,27,0.0,49.4,16,89,40,44.9,30,0.337,22,73.3,9,20,2,7,4,6.0,110.0,45.9,0.365,49.1,23.8,13,33.3,0,99.5,58.18181818181818,66.3,33.7,20.0,54.5,46,58.2,16.4,21.8,14.5,20.0,24.5,41.8,21.818181818181817,13,0.0,11.9,12,12.0,30,8,26.700000000000003,53.8,8,28,34,5,22,7,110,40,0,13,10
20141201,Seventysixers,Spurs,0,1,2014,1,17,17,0,12,0,-12,16,4,12,0,1,-1,1,0,1,0,1,1,0.0,75.0,-75.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-16,3,7,-1,True,False,False,0,0,0,0,11.5,195.5,7,60,26,43.333333333333336,16.4,1.8,57.9,1,46.25,4,107.9,34,72.9,49.4,22,89,38,42.699999999999996,25,0.281,15,60.0,2,24,-7,-15,-11,-6.9,101.0,48.8,0.422,27.1,14.6,8,22.8,0,101.5,50.48543689320388,67.4,32.6,14.563106796116504,41.9,44,50.5,7.8,35.0,21.4,14.6,22.3,42.7,34.95145631067961,12,45.7,11.5,10,11.8,29,12,41.4,51.5,0,22,46,3,29,-6,103,42,1,9,10,9,57,27,47.368421052631575,18.1,1.7,69.4,24,36.95833333333333,6,101.0,41,77.2,48.8,21,83,36,43.4,35,0.422,28,80.0,2,26,7,15,11,6.9,107.9,49.4,0.281,22.8,11.5,11,27.1,0,101.5,49.54128440366973,68.7,31.3,25.688073394495415,58.1,38,49.5,14.7,24.8,19.3,25.7,11.0,34.9,24.770642201834864,23,54.3,14.6,14,14.9,26,9,34.599999999999994,55.4,0,25,44,3,20,6,109,52,0,6,11
20141212,Seventysixers,Nets,0,0,2014,1,22,21,2,8,1,-6,19,12,7,0,1,-1,1,0,1,1,0,0,9.523809523809524,40.0,-30.476190476190474,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,-1,-2,-3,-1,False,False,False,0,1,0,0,7.0,194.0,7,41,11,26.82926829268293,15.0,0.8,81.8,4,37.43055555555556,4,94.6,27,66.0,39.9,20,69,22,31.900000000000002,20,0.29,15,75.0,3,20,-4,1,-3,-18.5,76.1,47.5,0.21,34.0,18.4,10,25.0,0,92.5,31.428571428571427,59.4,40.6,21.428571428571427,28.8,18,31.4,5.7,47.1,28.6,21.4,25.7,25.7,47.14285714285714,25,45.3,26.1,23,26.1,28,11,39.300000000000004,45.0,5,18,26,4,20,-18,70,37,1,10,10,13,61,31,50.81967213114754,19.2,1.5,69.4,18,41.013888888888886,4,76.1,34,75.0,47.5,9,81,36,44.4,17,0.21,11,64.7,3,18,4,-1,3,18.5,94.6,39.9,0.29,25.0,26.1,13,34.0,0,92.5,70.45454545454545,75.3,24.7,12.5,71.2,42,70.5,22.7,17.0,10.2,12.5,28.4,47.7,17.045454545454543,18,54.7,18.4,17,18.3,20,5,25.0,49.7,5,25,37,5,15,18,88,47,1,16,9
20141215,Seventysixers,Celtics,0,0,2014,1,24,22,2,7,2,-5,21,14,7,0,1,-1,1,0,1,2,-1,1,8.695652173913043,33.33333333333333,-24.637681159420286,0,1,0,1,1,0,1,3,1,1,1,0,1,0,0,-3,1,-3,1,True,False,False,0,0,0,0,5.0,205.0,19,65,29,44.61538461538462,13.2,0.8,57.6,9,43.77083333333333,4,101.0,32,64.2,37.6,1,93,33,35.5,21,0.226,17,81.0,1,19,-5,-19,-24,-18.1,82.9,47.7,0.407,35.8,20.5,16,38.3,0,104.5,66.66666666666666,69.9,30.1,19.54022988505747,34.7,44,66.7,16.1,13.8,1.1,19.5,20.7,50.6,13.793103448275861,32,50.4,21.1,22,21.9,28,4,14.299999999999999,42.5,2,19,31,9,28,-18,87,48,1,11,13,20,61,32,52.459016393442624,17.4,1.2,68.4,26,46.791666666666664,5,82.9,36,61.7,47.7,25,86,38,44.2,35,0.407,23,65.7,1,30,5,19,24,18.1,101.0,37.6,0.226,38.3,21.1,16,35.8,0,104.5,60.952380952380956,70.9,29.1,21.904761904761905,65.3,46,61.0,17.1,17.1,23.8,21.9,30.5,43.8,17.142857142857142,18,49.6,20.5,22,21.2,25,6,24.0,51.8,2,26,61,5,23,18,105,52,2,15,11
20141221,Seventysixers,Magic,1,0,2014,1,26,30,2,10,-4,-8,23,19,4,0,1,-1,1,0,1,1,0,0,8.0,34.48275862068966,-26.48275862068966,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,-5,3,-3,1,False,False,False,0,0,0,1,8.5,192.5,20,59,29,49.152542372881356,15.2,1.1,57.1,14,36.43055555555556,5,92.6,37,74.5,46.3,20,82,35,42.699999999999996,25,0.305,20,80.0,9,21,3,-5,4,8.4,101.1,45.8,0.238,25.5,14.9,15,35.3,0,95.0,60.416666666666664,72.0,28.0,20.833333333333336,55.4,50,60.4,8.3,18.8,20.8,20.8,16.7,52.1,18.75,21,55.7,19.6,19,20.0,23,6,26.1,51.6,4,20,37,6,19,8,96,52,1,8,8,15,61,28,45.90163934426229,16.4,1.5,60.0,11,26.53982362335949,4,101.1,30,64.7,45.8,16,84,35,41.699999999999996,20,0.238,11,55.00000000000001,9,23,-3,5,-4,-8.4,92.6,46.3,0.305,35.3,19.6,13,25.5,0,95.0,63.63636363636363,72.6,27.4,12.5,44.6,40,63.6,18.2,23.9,18.2,12.5,23.9,45.5,23.863636363636363,16,44.3,14.9,14,14.7,23,7,30.4,47.4,4,21,20,6,22,-8,88,43,1,11,7
20141223,Seventysixers,Heat,1,0,2014,1,27,29,3,13,-2,-10,23,15,8,0,1,-1,1,0,1,1,0,0,11.538461538461538,46.42857142857143,-34.89010989010989,1,0,0,0,1,1,1,2,1,0,1,0,0,0,0,1,-1,1,3,False,True,False,0,0,0,0,7.5,191.5,21,58,28,48.275862068965516,9.4,0.7,33.3,5,30.194444444444446,5,93.5,28,63.3,46.1,10,77,33,42.9,27,0.351,20,74.1,2,20,-13,-15,-5,3.3,96.8,46.3,0.225,36.7,22.9,14,33.3,0,93.5,61.53846153846154,75.3,24.7,21.978021978021978,56.5,46,61.5,11.0,16.5,11.0,22.0,23.1,50.5,16.483516483516482,20,48.5,18.5,16,18.1,19,5,26.3,51.2,2,11,32,11,20,4,91,42,1,13,8,20,54,25,46.2962962962963,10.6,0.6,39.4,23,37.32638888888889,3,96.8,25,66.7,46.3,3,80,33,41.199999999999996,18,0.225,13,72.2,2,23,13,15,5,-3.3,93.5,46.1,0.351,33.3,18.5,14,36.7,0,93.5,57.47126436781609,67.5,32.5,14.942528735632186,43.5,32,57.5,20.7,27.6,3.4,14.9,23.0,36.8,27.586206896551722,21,51.5,22.9,20,23.7,26,8,30.8,49.5,2,13,23,6,19,-4,87,39,1,10,14
20141226,Seventysixers,Trailblazers,0,1,2014,1,28,31,4,23,-3,-19,23,7,16,0,1,-1,1,0,2,2,0,0,14.814814814814813,76.66666666666667,-61.85185185185186,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,2,-2,1,-4,False,False,False,0,1,0,0,13.5,199.0,8,67,33,49.25373134328358,12.4,0.9,44.4,4,41.576388888888886,3,109.6,33,74.5,46.3,18,81,36,44.4,33,0.407,18,54.50000000000001,2,22,-3,-10,-14,-20.2,89.4,58.0,0.159,25.5,19.8,9,21.6,0,104.0,70.96774193548387,82.7,17.3,19.35483870967742,40.2,64,71.0,2.2,9.7,19.4,19.4,19.4,68.8,9.67741935483871,17,46.9,17.2,18,17.3,14,3,21.4,48.7,4,16,42,7,14,-21,93,42,2,13,13,7,45,24,53.333333333333336,17.8,1.2,59.5,23,44.36805555555556,3,89.4,39,78.4,58.0,7,88,42,47.699999999999996,14,0.159,12,85.7,2,28,3,10,14,20.2,109.6,46.3,0.407,21.6,17.2,9,25.5,0,104.0,42.10526315789473,51.1,48.9,10.526315789473683,59.8,32,42.1,14.0,47.4,6.1,10.5,14.9,28.1,47.368421052631575,18,53.1,19.8,19,20.2,43,18,41.9,60.5,4,25,34,8,22,21,114,48,2,10,5
20150102,Seventysixers,Suns,0,0,2014,1,31,35,4,18,-4,-14,26,16,10,0,1,-1,1,0,2,1,1,0,13.333333333333334,52.94117647058824,-39.6078431372549,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,-3,-5,-2,-4,False,False,False,0,1,0,0,14.0,209.0,15,61,30,49.18032786885246,14.9,1.3,54.1,5,37.90972222222223,5,115.5,25,62.8,46.6,18,87,37,42.5,25,0.287,15,60.0,5,28,-5,2,-5,-15.5,100.0,58.3,0.19,37.2,19.6,16,34.5,0,96.5,62.5,70.1,29.9,15.625,41.1,48,62.5,12.5,21.9,18.8,15.6,27.1,50.0,21.875,17,46.9,16.3,16,16.7,26,7,26.900000000000002,49.0,5,20,49,7,15,-16,96,41,2,12,10,8,52,28,53.84615384615385,17.9,1.3,57.1,16,46.40972222222223,5,100.0,35,65.5,58.3,23,84,42,50.0,16,0.19,14,87.5,5,21,5,-2,5,15.5,115.5,46.6,0.287,34.5,16.3,13,37.2,0,96.5,50.0,61.9,38.1,12.5,58.9,44,50.0,10.7,37.5,20.5,12.5,15.2,39.3,37.5,26,53.1,19.6,19,19.6,32,14,43.8,61.5,5,24,57,12,24,16,112,48,1,9,5
20150107,Seventysixers,Bucks,0,0,2014,1,34,37,5,18,-3,-13,28,18,10,0,1,-1,1,0,1,0,1,1,15.151515151515152,50.0,-34.848484848484844,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,1,-1,1,False,False,True,0,0,0,0,7.0,195.5,12,58,23,39.6551724137931,10.5,0.6,56.0,0,41.81944444444444,4,96.0,29,0.0,31.3,12,83,25,30.099999999999998,29,0.349,25,86.2,0,14,-16,-14,-17,-20.5,75.5,59.2,0.145,18.4,26.0,15,33.3,0,101.5,59.74025974025974,69.9,30.1,32.467532467532465,28.1,42,59.7,5.2,7.8,15.6,32.5,31.2,54.5,7.792207792207792,16,0.0,22.9,24,23.5,25,2,8.0,40.2,0,14,34,6,19,-20,77,44,1,11,9,5,59,33,55.932203389830505,23.0,1.2,78.0,31,45.83333333333333,5,75.5,36,66.7,59.2,17,76,41,53.900000000000006,11,0.145,7,63.6,0,18,16,14,17,20.5,96.0,31.3,0.349,33.3,22.9,7,0.0,0,101.5,68.04123711340206,77.6,22.4,7.216494845360824,71.9,48,68.0,18.6,24.7,17.5,7.2,16.5,49.5,24.742268041237114,24,0.0,26.0,24,25.7,17,8,47.099999999999994,60.0,0,32,37,4,26,20,97,43,0,14,5
