date,t:team,o:team,result,ou result,season,(P:season=season),t:game number,o:game number,t:wins,o:wins,t:game number-o:game number,t:wins-o:wins,t:losses,o:losses,t:losses-o:losses,t:matchup wins,o:matchup wins,t:matchup wins-o:matchup wins,t:matchup losses,o:matchup losses,t:rest,o:rest,t:rest-o:rest,(site='H'),t:WP,o:WP,t:WP-o:WP,(o:site='H'),(t:division=o:division),(p:division=po:division),(op:division=opo:division),(t:conference=o:conference),(p:conference=po:conference),(op:conference=opo:conference),n:rest,on:rest,(n:site='H'),(on:site='H'),(n:division=no:division),(n:conference=no:conference),(po:team=o:team),(o:team=no:team),streak,site streak,o:streak,o:site streak,(day='Monday'),(day='Tuesday'),(day='Wednesday'),(day='Thursday'),(day='Friday'),(day='Saturday'),(day='Sunday'),line,total,t:2ND PTS,t:2PA,t:2PM,t:2PP,t:AST RATIO,t:ATR,t:BAP,t:BL,t:BTP,t:DDS,t:DEFRTG,t:DRB,t:DREBP,t:EFGP,t:FBP,t:FGA,t:FGM,t:FGP,t:FTA,t:FTA RATE,t:FTM,t:FTP,t:LC,t:LSP,t:M1,t:M2,t:M3,t:NETRTG,t:OFFRTG,t:OPP EFGP,t:OPP FTA RATE,t:OPP OREBP,t:OPP TOP,t:ORB,t:OREBP,t:OT,t:PACE,t:PF2,t:PFGA 2PT,t:PFGA 3PT,t:PFT,t:PIE,t:PIP,t:PPTS 2PT,t:PPTS 2PT MR,t:PPTS 3PT,t:PPTS FBPS,t:PPTS FT,t:PPTS OFFTO,t:PPTS PITP,t:PTP,t:PTS OFF TO,t:REBP,t:TM TOP,t:TO,t:TO RATIO,t:TPA,t:TPM,t:TPP,t:TSP,t:TT,t:assists,t:bench points,t:blocks,t:fouls,t:margin,t:points,t:rebounds,t:rest,t:steals,t:team rebounds,o:2ND PTS,o:2PA,o:2PM,o:2PP,o:AST RATIO,o:ATR,o:BAP,o:BL,o:BTP,o:DDS,o:DEFRTG,o:DRB,o:DREBP,o:EFGP,o:FBP,o:FGA,o:FGM,o:FGP,o:FTA,o:FTA RATE,o:FTM,o:FTP,o:LC,o:LSP,o:M1,o:M2,o:M3,o:NETRTG,o:OFFRTG,o:OPP EFGP,o:OPP FTA RATE,o:OPP OREBP,o:OPP TOP,o:ORB,o:OREBP,o:OT,o:PACE,o:PF2,o:PFGA 2PT,o:PFGA 3PT,o:PFT,o:PIE,o:PIP,o:PPTS 2PT,o:PPTS 2PT MR,o:PPTS 3PT,o:PPTS FBPS,o:PPTS FT,o:PPTS OFFTO,o:PPTS PITP,o:PTP,o:PTS OFF TO,o:REBP,o:TM TOP,o:TO,o:TO RATIO,o:TPA,o:TPM,o:TPP,o:TSP,o:TT,o:assists,o:bench points,o:blocks,o:fouls,o:margin,o:points,o:rebounds,o:rest,o:steals,o:team rebounds
20141128,Spurs,Kings,1,1,2014,1,15,16,10,9,-1,1,4,6,-2,0,1,-1,1,0,1,1,0,1,71.42857142857143,60.0,11.42857142857143,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,5,2,-1,-3,False,False,False,0,1,0,0,-10.5,194.5,5,58,30,51.724137931034484,22.9,4.1,69.0,15,32.36805555555556,5,109.5,29,75.0,58.5,16,82,42,51.2,20,0.244,16,80.0,3,27,4,10,8,8.4,117.9,54.7,0.347,25.0,16.1,4,0.0,0,95.0,53.57142857142857,70.7,29.3,14.285714285714285,53.9,52,53.6,7.1,32.1,14.3,14.3,17.9,46.4,32.142857142857146,11,0.0,7.5,6,7.4,24,12,50.0,61.7,7,29,28,9,19,8,112,33,1,8,3,15,65,32,49.23076923076923,17.8,1.5,57.9,4,30.791666666666668,5,117.9,38,0.0,54.7,13,75,38,50.7,26,0.347,22,84.6,3,23,-4,-10,-8,-8.4,109.5,58.5,0.244,13.6,7.5,8,25.0,0,95.0,61.53846153846154,86.7,13.3,21.153846153846153,46.1,36,61.5,26.9,17.3,12.5,21.2,10.6,34.6,17.307692307692307,20,0.0,16.1,14,15.8,10,6,60.0,60.2,7,22,33,4,20,-8,104,46,1,4,3
20141201,Spurs,Seventysixers,1,1,2014,1,17,17,12,0,0,12,4,16,-12,1,0,1,0,1,0,1,-1,0,75.0,0.0,75.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7,-1,-16,3,True,False,False,0,0,0,0,-11.5,195.5,9,57,27,47.368421052631575,18.1,1.7,69.4,24,36.95833333333333,6,101.0,41,77.2,48.8,21,83,36,43.4,35,0.422,28,80.0,2,26,7,15,11,6.9,107.9,49.4,0.281,22.8,11.5,11,27.1,0,101.5,49.54128440366973,68.7,31.3,25.688073394495415,58.1,38,49.5,14.7,24.8,19.3,25.7,11.0,34.9,24.770642201834864,23,54.3,14.6,14,14.9,26,9,34.599999999999994,55.4,0,25,44,3,20,6,109,52,0,6,11,7,60,26,43.333333333333336,16.4,1.8,57.9,1,46.25,4,107.9,34,72.9,49.4,22,89,38,42.699999999999996,25,0.281,15,60.0,2,24,-7,-15,-11,-6.9,101.0,48.8,0.422,27.1,14.6,8,22.8,0,101.5,50.48543689320388,67.4,32.6,14.563106796116504,41.9,44,50.5,7.8,35.0,21.4,14.6,22.3,42.7,34.95145631067961,12,45.7,11.5,10,11.8,29,12,41.4,51.5,0,22,46,3,29,-6,103,42,1,9,10
20141203,Spurs,Nets,0,0,2014,1,18,17,13,7,1,6,4,9,-5,1,0,1,0,1,1,0,1,0,76.47058823529412,43.75,32.720588235294116,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,8,-2,1,-1,False,False,True,0,0,0,0,-8.0,195.5,16,69,24,34.78260869565217,16.8,2.9,63.9,6,39.62264150943396,4,96.9,40,76.8,41.6,5,101,36,35.6,12,0.119,9,75.0,8,20,0,2,-10,-2.0,94.9,46.1,0.2,23.2,10.1,18,29.4,1,88.75,51.61290322580645,68.3,31.7,9.67741935483871,46.8,42,51.6,6.5,38.7,5.4,9.7,15.1,45.2,38.70967741935484,7,50.8,8.3,8,8.2,32,12,37.5,43.8,6,23,38,6,19,-2,93,58,1,5,5,6,71,28,39.436619718309856,15.6,2.0,54.1,15,23.08805031446541,4,94.9,45,70.6,46.1,13,90,37,41.099999999999994,18,0.2,12,66.7,8,26,0,-2,10,2.0,96.9,41.6,0.119,29.4,8.3,9,23.2,1,88.75,58.94736842105262,78.9,21.1,12.631578947368421,53.2,46,58.9,10.5,28.4,13.7,12.6,7.4,48.4,28.421052631578945,14,49.2,10.1,10,10.2,19,9,47.4,48.5,6,20,14,2,10,2,95,54,0,2,10
20141206,Spurs,Timberwolves,1,1,2014,1,20,19,14,4,1,10,5,14,-9,1,0,1,0,1,0,0,0,1,73.68421052631578,22.22222222222222,51.46198830409356,0,0,1,0,1,1,1,2,1,0,1,0,1,0,0,1,-4,-4,2,False,False,False,0,0,1,0,-13.5,202.5,10,64,40,62.5,21.4,1.8,63.8,28,45.041666666666664,7,103.1,35,80.0,61.6,14,82,47,57.3,25,0.305,22,88.0,5,20,8,17,20,23.7,126.8,45.8,0.386,20.0,8.2,8,29.7,0,97.5,65.04065040650406,78.0,22.0,17.88617886178862,61.4,52,65.0,22.8,17.1,11.4,17.9,11.4,42.3,17.073170731707318,19,58.6,16.7,16,17.5,18,7,38.9,66.1,3,30,53,6,24,22,123,43,0,5,9,6,67,29,43.28358208955223,16.0,2.5,57.1,2,37.36805555555556,4,126.8,25,70.3,45.8,26,83,35,42.199999999999996,32,0.386,25,78.10000000000001,5,22,-8,-17,-20,-23.7,103.1,61.6,0.305,29.7,16.7,8,20.0,0,97.5,57.42574257425742,80.7,19.3,24.752475247524753,38.6,42,57.4,15.8,17.8,25.7,24.8,18.8,41.6,17.82178217821782,14,41.4,8.2,8,8.2,16,6,37.5,52.0,3,20,44,2,22,-22,101,33,0,10,8
20141212,Spurs,Lakers,0,1,2014,1,23,23,16,6,0,10,6,16,-10,1,0,1,0,1,1,2,-1,1,72.72727272727273,27.27272727272727,45.45454545454547,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,2,False,False,False,0,1,0,0,-12.0,206.0,19,59,30,50.847457627118644,16.3,1.2,54.8,10,49.15094339622642,4,108.7,35,67.9,53.3,16,90,42,46.7,21,0.233,14,66.7,11,19,0,-4,-11,-3.0,105.8,52.1,0.156,32.1,14.5,12,0.0,1,93.74,54.54545454545454,65.6,34.4,12.727272727272727,47.9,42,54.5,16.4,32.7,14.5,12.7,14.5,38.2,32.72727272727273,25,0.0,17.9,19,18.3,31,12,38.7,55.4,5,23,56,5,16,-2,110,47,1,10,9,17,72,32,44.44444444444444,18.7,1.8,61.4,11,46.9811320754717,6,105.8,35,0.0,52.1,13,96,44,45.800000000000004,15,0.156,12,80.0,11,29,0,4,11,3.0,108.7,53.3,0.233,31.4,17.9,14,32.1,1,93.74,57.14285714285714,75.0,25.0,10.714285714285714,52.1,32,57.1,28.6,32.1,11.6,10.7,22.3,28.6,32.142857142857146,16,0.0,14.5,14,14.6,24,12,50.0,54.6,5,27,61,4,19,2,112,49,2,11,5
20141217,Spurs,Grizzlies,0,1,2014,1,26,25,17,20,1,-3,8,4,4,1,0,1,0,1,1,0,1,1,68.0,83.33333333333334,-15.333333333333343,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,-1,-2,5,1,False,False,True,0,0,0,0,-2.5,192.0,17,70,26,37.142857142857146,18.9,1.9,72.1,3,47.42857142857143,5,107.3,41,0.0,49.0,5,105,43,41.0,27,0.257,13,48.1,12,25,-15,-7,-5,-2.8,104.5,49.5,0.131,30.5,10.7,19,32.9,3,83.81,44.827586206896555,66.7,33.3,11.206896551724139,47.5,42,44.8,8.6,44.0,4.3,11.2,12.1,36.2,43.96551724137931,20,0.0,14.0,14,14.4,35,17,48.6,49.6,11,31,57,11,16,-1,116,60,1,6,10,19,80,38,47.5,18.8,2.4,60.4,23,30.938144875390233,6,104.5,45,67.1,49.5,9,107,48,44.9,14,0.131,11,78.60000000000001,12,26,15,7,5,2.8,107.3,49.0,0.257,32.9,14.0,13,0.0,3,83.81,64.95726495726495,74.8,25.2,9.401709401709402,52.5,48,65.0,23.9,25.6,7.7,9.4,17.1,41.0,25.64102564102564,14,0.0,10.7,12,11.0,27,10,37.0,51.7,11,29,38,6,27,1,117,58,0,12,10
20141219,Spurs,Trailblazers,0,1,2014,1,27,27,17,20,0,-3,9,6,3,0,1,-1,1,0,1,1,0,1,65.38461538461539,76.92307692307693,-11.538461538461547,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,-2,1,3,2,False,False,False,0,1,0,0,-4.5,196.5,19,89,37,41.57303370786517,14.6,1.2,53.3,11,38.88359788359788,6,110.3,43,0.0,45.0,15,109,45,41.3,26,0.239,21,80.80000000000001,10,32,3,2,5,-10.3,100.0,48.6,0.209,32.8,11.8,17,33.3,3,89.9,62.18487394957983,81.7,18.3,17.647058823529413,45.9,50,62.2,20.2,20.2,12.6,17.6,11.8,42.0,20.168067226890756,24,0.0,16.2,16,16.8,20,8,40.0,49.4,18,24,45,4,22,-10,119,60,1,8,8,30,75,34,45.33333333333333,11.8,1.3,38.3,11,40.13015184381779,5,100.0,43,66.7,48.6,17,110,47,42.699999999999996,23,0.209,22,95.7,10,43,-3,-2,-5,10.3,110.3,45.0,0.239,33.3,16.2,15,0.0,3,89.9,52.71317829457365,68.2,31.8,17.05426356589147,54.1,40,52.7,21.7,30.2,13.2,17.1,18.6,31.0,30.23255813953488,14,0.0,11.8,14,12.0,35,13,37.1,53.7,18,18,30,5,24,10,129,58,1,12,7
20141220,Spurs,Mavericks,0,0,2014,1,28,28,17,19,0,-2,10,8,2,1,0,1,0,1,0,2,-2,0,62.96296296296296,70.37037037037037,-7.407407407407405,1,1,0,0,1,1,0,1,1,1,1,0,1,0,0,-3,2,2,-2,False,False,False,0,0,1,0,10.5,204.0,15,64,29,45.3125,8.5,0.5,31.3,12,25.67361111111111,5,105.3,36,73.1,43.5,8,77,32,41.6,26,0.338,26,100,5,21,4,5,2,-6.4,98.9,48.3,0.233,26.9,12.8,12,33.3,0,94.0,62.365591397849464,83.1,16.9,27.956989247311824,48.2,42,62.4,17.2,9.7,8.6,28.0,8.6,45.2,9.67741935483871,25,54.6,19.9,19,20.2,13,3,23.1,52.6,12,10,23,2,20,-6,93,48,0,6,5,11,60,28,46.666666666666664,14.4,1.5,48.6,6,24.375,4,98.9,27,66.7,48.3,23,86,37,43.0,20,0.233,16,80.0,5,38,-4,-5,-2,6.4,105.3,43.5,0.338,33.3,19.9,13,26.9,0,94.0,56.56565656565656,69.8,30.2,16.161616161616163,51.8,46,56.6,10.1,27.3,23.2,16.2,25.3,46.5,27.27272727272727,8,45.4,12.8,12,12.8,26,9,34.599999999999994,52.2,12,18,20,3,24,6,99,40,2,10,5
20141222,Spurs,Clippers,1,1,2014,1,29,28,17,19,1,-2,11,8,3,1,0,1,0,1,1,1,0,1,60.71428571428571,70.37037037037037,-9.656084656084658,0,0,1,0,1,1,0,2,0,1,0,0,1,0,0,-4,-1,1,1,True,False,False,0,0,0,0,0.0,203.5,4,54,36,66.66666666666666,27.5,3.4,75.5,17,47.47222222222222,5,124.2,31,71.1,72.1,10,77,49,63.6,22,0.286,14,63.6,8,26,2,12,5,7.4,131.6,55.8,0.337,28.9,10.2,2,9.7,0,95.0,57.599999999999994,70.1,29.9,11.200000000000001,57.0,44,57.6,22.4,31.2,8.0,11.2,17.6,35.2,31.2,20,46.1,11.5,11,11.6,23,13,56.49999999999999,72.1,5,37,56,2,19,7,125,33,1,6,7,16,62,33,53.2258064516129,17.5,2.3,53.5,8,31.10416666666667,4,131.6,25,90.3,55.8,19,86,43,50.0,29,0.337,22,75.9,8,25,-2,-12,-5,-7.4,124.2,72.1,0.286,9.7,11.5,11,28.9,0,95.0,55.932203389830505,72.1,27.9,18.64406779661017,43.0,48,55.9,15.3,25.4,16.1,18.6,16.9,40.7,25.423728813559322,22,53.9,10.2,10,10.5,24,10,41.699999999999996,59.7,5,23,37,5,22,-7,118,36,1,10,10
20141226,Spurs,Pelicans,0,0,2014,1,31,29,18,14,2,4,12,14,-2,0,1,-1,1,0,0,2,-2,0,60.0,50.0,10.0,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0,-1,2,-1,-2,False,False,False,0,1,0,0,3.5,201.0,2,61,31,50.81967213114754,20.3,1.5,67.6,6,45.34027777777778,5,100.0,38,80.0,53.3,8,75,37,49.3,14,0.187,10,71.39999999999999,9,20,4,-4,-6,-5.3,94.7,45.2,0.286,20.0,8.4,1,0.0,0,96.0,68.88888888888889,81.3,18.7,11.11111111111111,45.2,48,68.9,15.6,20.0,8.9,11.1,4.4,53.3,20.0,20,0.0,17.5,17,17.9,14,6,42.9,55.4,3,25,42,4,17,-7,90,39,0,2,6,6,67,29,43.28358208955223,19.6,3.1,71.4,12,43.24699673633775,5,94.7,37,0.0,45.2,6,84,35,41.699999999999996,24,0.286,21,87.5,9,22,-4,4,6,5.3,100.0,53.3,0.187,7.5,17.5,7,20.0,0,96.0,59.79381443298969,79.8,20.2,21.649484536082475,54.8,46,59.8,12.4,18.6,6.2,21.6,20.6,47.4,18.556701030927837,4,0.0,8.4,8,8.2,17,6,35.3,51.3,3,25,45,7,15,7,97,44,2,8,5
