date,t:team,o:team,result,ou result,season,(P:season=season),t:game number,o:game number,t:wins,o:wins,t:game number-o:game number,t:wins-o:wins,t:losses,o:losses,t:losses-o:losses,t:matchup wins,o:matchup wins,t:matchup wins-o:matchup wins,t:matchup losses,o:matchup losses,t:rest,o:rest,t:rest-o:rest,(site='H'),t:WP,o:WP,t:WP-o:WP,(o:site='H'),(t:division=o:division),(p:division=po:division),(op:division=opo:division),(t:conference=o:conference),(p:conference=po:conference),(op:conference=opo:conference),n:rest,on:rest,(n:site='H'),(on:site='H'),(n:division=no:division),(n:conference=no:conference),(po:team=o:team),(o:team=no:team),streak,site streak,o:streak,o:site streak,(day='Monday'),(day='Tuesday'),(day='Wednesday'),(day='Thursday'),(day='Friday'),(day='Saturday'),(day='Sunday'),line,total,t:2ND PTS,t:2PA,t:2PM,t:2PP,t:AST RATIO,t:ATR,t:BAP,t:BL,t:BTP,t:DDS,t:DEFRTG,t:DRB,t:DREBP,t:EFGP,t:FBP,t:FGA,t:FGM,t:FGP,t:FTA,t:FTA RATE,t:FTM,t:FTP,t:LC,t:LSP,t:M1,t:M2,t:M3,t:NETRTG,t:OFFRTG,t:OPP EFGP,t:OPP FTA RATE,t:OPP OREBP,t:OPP TOP,t:ORB,t:OREBP,t:OT,t:PACE,t:PF2,t:PFGA 2PT,t:PFGA 3PT,t:PFT,t:PIE,t:PIP,t:PPTS 2PT,t:PPTS 2PT MR,t:PPTS 3PT,t:PPTS FBPS,t:PPTS FT,t:PPTS OFFTO,t:PPTS PITP,t:PTP,t:PTS OFF TO,t:REBP,t:TM TOP,t:TO,t:TO RATIO,t:TPA,t:TPM,t:TPP,t:TSP,t:TT,t:assists,t:bench points,t:blocks,t:fouls,t:margin,t:points,t:rebounds,t:rest,t:steals,t:team rebounds,o:2ND PTS,o:2PA,o:2PM,o:2PP,o:AST RATIO,o:ATR,o:BAP,o:BL,o:BTP,o:DDS,o:DEFRTG,o:DRB,o:DREBP,o:EFGP,o:FBP,o:FGA,o:FGM,o:FGP,o:FTA,o:FTA RATE,o:FTM,o:FTP,o:LC,o:LSP,o:M1,o:M2,o:M3,o:NETRTG,o:OFFRTG,o:OPP EFGP,o:OPP FTA RATE,o:OPP OREBP,o:OPP TOP,o:ORB,o:OREBP,o:OT,o:PACE,o:PF2,o:PFGA 2PT,o:PFGA 3PT,o:PFT,o:PIE,o:PIP,o:PPTS 2PT,o:PPTS 2PT MR,o:PPTS 3PT,o:PPTS FBPS,o:PPTS FT,o:PPTS OFFTO,o:PPTS PITP,o:PTP,o:PTS OFF TO,o:REBP,o:TM TOP,o:TO,o:TO RATIO,o:TPA,o:TPM,o:TPP,o:TSP,o:TT,o:assists,o:bench points,o:blocks,o:fouls,o:margin,o:points,o:rebounds,o:rest,o:steals,o:team rebounds
20141104,Suns,Lakers,1,1,2014,1,4,5,2,0,-1,2,1,4,-3,1,0,1,0,1,2,2,0,0,66.66666666666666,0.0,66.66666666666666,1,1,0,1,1,1,1,0,4,1,1,0,1,0,0,-1,-1,-4,-1,False,True,False,0,0,0,0,-6.5,213.5,8,73,35,47.94520547945205,19.2,2.1,68.3,15,42.88194444444445,5,106.0,39,67.8,48.4,21,91,41,45.1,31,0.341,24,77.4,4,26,2,12,4,3.8,109.8,43.2,0.466,32.2,12.0,13,37.7,0,101.0,62.5,80.2,19.8,21.428571428571427,57.1,58,62.5,10.7,16.1,18.8,21.4,11.6,51.8,16.071428571428573,8,53.6,12.4,13,12.7,18,6,33.300000000000004,53.5,3,28,53,7,29,6,112,52,2,6,12,19,72,29,40.27777777777778,11.9,1.3,45.7,2,29.819444444444443,4,109.8,31,62.3,43.2,11,88,35,39.800000000000004,41,0.466,30,73.2,4,39,-2,-12,-4,-3.8,106.0,48.4,0.341,37.7,12.4,18,32.2,0,101.0,54.71698113207547,81.8,18.2,28.30188679245283,42.9,42,54.7,15.1,17.0,10.4,28.3,7.5,39.6,16.9811320754717,13,46.4,12.0,12,12.0,16,6,37.5,50.0,3,16,17,8,25,-6,106,49,2,7,8
20141128,Suns,Nuggets,0,1,2014,1,17,16,10,7,1,3,6,8,-2,1,0,1,0,1,1,1,0,0,62.5,46.666666666666664,15.833333333333336,1,0,0,0,1,1,1,1,2,1,0,0,0,1,0,1,1,-1,-1,False,False,False,0,1,0,0,2.0,216.5,13,62,25,40.32258064516129,11.0,0.9,42.4,0,55.79861111111111,5,119.6,25,54.2,43.5,10,85,33,38.800000000000004,29,0.341,23,79.3,0,16,-11,-19,-29,-23.6,96.0,51.1,0.409,45.8,17.0,9,21.8,0,101.5,51.546391752577314,72.9,27.1,23.711340206185564,30.4,32,51.5,18.6,24.7,10.3,23.7,17.5,33.0,24.742268041237114,13,36.9,14.5,15,14.9,23,8,34.8,49.6,1,14,59,5,27,-25,97,34,1,4,7,25,67,33,49.25373134328358,14.1,1.1,48.8,31,50.645833333333336,7,96.0,42,78.2,51.1,11,88,41,46.6,36,0.409,32,88.9,0,22,11,19,29,23.6,119.6,43.5,0.341,21.8,14.5,16,45.8,0,101.5,54.09836065573771,76.1,23.9,26.229508196721312,69.6,44,54.1,18.0,19.7,9.0,26.2,10.7,36.1,19.672131147540984,17,63.1,17.0,18,17.6,21,8,38.1,58.7,1,20,54,3,27,25,122,58,1,10,10
20141202,Suns,Pacers,1,1,2014,1,19,18,10,7,1,3,8,10,-2,1,0,1,0,1,1,2,-1,1,55.55555555555556,41.17647058823529,14.379084967320267,0,0,0,1,0,0,1,2,1,0,0,0,1,0,0,-2,1,-1,-1,False,True,False,0,0,0,0,-6.0,197.5,17,61,31,50.81967213114754,14.1,1.5,41.9,18,36.03472222222222,4,99.0,35,76.6,57.0,38,86,43,50.0,26,0.302,18,69.19999999999999,11,34,-2,-2,4,15.9,114.9,50.6,0.2,23.4,18.4,9,23.4,0,100.5,53.44827586206896,70.9,29.1,15.517241379310345,59.0,48,53.4,12.1,31.0,32.8,15.5,20.7,41.4,31.03448275862069,19,50.0,11.9,12,11.9,25,12,48.0,59.5,7,18,30,5,19,17,116,44,1,13,7,8,72,37,51.388888888888886,15.2,1.1,48.8,9,46.34722222222222,5,114.9,33,76.6,50.6,15,85,41,48.199999999999996,17,0.2,13,76.5,11,17,2,2,-4,-15.9,99.0,57.0,0.302,23.4,11.9,8,23.4,0,100.5,74.74747474747475,84.7,15.3,13.131313131313133,41.0,50,74.7,24.2,12.1,15.2,13.1,19.2,50.5,12.121212121212121,24,50.0,18.4,19,19.0,13,4,30.8,53.5,7,20,57,3,24,-17,99,41,2,8,7
20141208,Suns,Clippers,0,1,2014,1,22,20,12,14,2,-2,9,5,4,0,1,-1,1,0,1,1,0,0,57.14285714285714,73.68421052631578,-16.54135338345864,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,-1,-2,7,3,True,False,False,0,0,0,0,7.5,215.0,8,54,28,51.85185185185185,21.5,1.9,72.7,6,39.528301886792455,6,112.0,36,74.1,57.1,22,91,44,48.4,20,0.22,16,80.0,16,27,0,-3,-9,0.1,112.1,50.5,0.313,25.9,10.0,7,20.4,1,97.36,46.666666666666664,59.3,40.7,13.333333333333334,49.9,36,46.7,16.7,40.0,18.3,13.3,15.8,30.0,40.0,31,48.5,15.5,16,15.9,37,16,43.2,60.1,15,32,49,3,28,-1,120,43,1,9,9,17,65,35,53.84615384615385,18.3,2.5,61.4,12,21.018867924528305,4,112.1,35,79.6,50.5,16,96,44,45.800000000000004,30,0.313,24,80.0,16,45,0,3,9,-0.1,112.0,57.1,0.22,20.4,15.5,10,25.9,1,97.36,57.85123966942148,67.7,32.3,19.834710743801654,50.1,46,57.9,19.8,22.3,13.2,19.8,25.6,38.0,22.31404958677686,19,51.5,10.0,11,10.2,31,9,28.999999999999996,55.4,15,27,21,5,22,1,121,45,1,7,12
20141212,Suns,Pistons,0,1,2014,1,24,23,12,3,1,9,11,19,-8,1,0,1,0,1,2,2,0,1,52.17391304347826,13.636363636363635,38.537549407114625,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-3,1,-13,3,False,False,False,0,1,0,0,-9.5,204.5,16,52,29,55.769230769230774,12.9,0.9,41.0,8,35.50694444444444,7,107.1,27,60.9,53.0,29,83,39,47.0,19,0.229,15,78.9,19,18,0,-3,1,-3.1,104.0,50.0,0.321,39.1,17.8,10,23.9,0,98.5,56.310679611650485,62.7,37.3,14.563106796116504,45.9,52,56.3,5.8,29.1,28.2,14.6,20.4,50.5,29.126213592233007,28,42.4,17.3,17,17.2,31,10,32.300000000000004,56.4,14,16,26,5,24,-2,103,37,2,11,4,21,69,36,52.17391304347826,13.0,0.9,42.5,7,38.386223178945905,6,104.0,34,76.1,50.0,14,84,40,47.599999999999994,27,0.321,21,77.8,19,23,0,3,-1,3.1,107.1,53.0,0.229,23.9,17.3,13,39.1,0,98.5,68.57142857142857,82.1,17.9,20.0,54.1,60,68.6,11.4,11.4,13.3,20.0,26.7,57.1,11.428571428571429,21,57.6,17.8,18,18.4,15,4,26.700000000000003,54.8,14,17,36,3,18,2,105,47,2,11,10
20141217,Suns,Hornets,1,1,2014,1,27,25,12,6,2,6,14,18,-4,0,1,-1,1,0,1,1,0,0,46.15384615384615,25.0,21.153846153846153,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,-6,1,-3,-1,False,False,True,0,0,0,0,-2.0,201.5,19,57,34,59.64912280701754,18.1,2.8,51.2,5,38.91666666666667,6,117.8,35,72.0,57.9,11,82,43,52.400000000000006,21,0.256,16,76.2,4,23,-4,-7,-4,5.6,123.3,52.3,0.256,28.0,7.4,8,30.0,0,90.0,61.261261261261254,69.5,30.5,14.414414414414415,55.1,40,61.3,25.2,24.3,9.9,14.4,8.1,36.0,24.324324324324326,9,53.3,8.8,8,8.9,25,9,36.0,60.8,2,22,49,7,15,5,111,43,1,4,9,6,62,30,48.38709677419355,17.6,3.1,55.0,17,37.54861111111111,4,123.3,27,70.0,52.3,6,86,40,46.5,22,0.256,16,72.7,4,28,4,7,4,-5.6,117.8,57.9,0.256,30.0,8.8,8,28.0,0,90.0,56.60377358490566,72.1,27.9,15.09433962264151,44.9,38,56.6,20.8,28.3,5.7,15.1,8.5,35.8,28.30188679245283,9,46.7,7.4,6,7.8,24,10,41.699999999999996,55.4,2,22,31,3,16,-5,106,35,1,6,9
20141223,Suns,Mavericks,1,1,2014,1,30,30,15,20,0,-5,14,9,5,1,0,1,0,1,1,0,1,1,51.724137931034484,68.96551724137932,-17.241379310344833,0,0,0,0,1,0,0,2,2,0,1,1,1,0,0,3,-3,-1,2,False,True,False,0,0,0,0,-1.5,214.5,12,64,31,48.4375,19.6,2.5,68.2,19,35.1503367821679,6,108.5,30,65.3,52.1,32,97,44,45.4,32,0.33,23,71.89999999999999,3,25,-1,8,15,7.4,115.9,51.7,0.33,34.7,18.7,14,33.3,0,106.5,50.0,66.0,34.0,18.548387096774192,55.3,46,50.0,12.9,31.5,25.8,18.5,22.6,37.1,31.451612903225808,19,48.1,11.0,12,11.2,33,13,39.4,55.8,3,30,42,3,26,9,124,44,1,12,12,18,63,32,50.79365079365079,15.4,1.1,53.7,10,35.95833333333333,5,115.9,35,66.7,51.7,18,88,41,46.6,29,0.33,24,82.8,3,22,1,-8,-15,-7.4,108.5,52.1,0.33,33.3,11.0,14,34.7,0,106.5,55.65217391304348,71.6,28.4,20.869565217391305,44.7,44,55.7,17.4,23.5,15.7,20.9,16.5,38.3,23.47826086956522,28,51.9,18.7,20,18.9,25,9,36.0,57.1,3,22,36,1,27,-9,115,49,0,4,9
20141226,Suns,Kings,1,1,2014,1,31,29,16,12,2,4,14,16,-2,0,1,-1,1,0,2,3,-1,0,53.333333333333336,42.857142857142854,10.476190476190482,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,4,1,-1,-1,False,False,False,0,1,0,0,-4.0,214.0,19,61,32,52.459016393442624,18.1,1.8,54.3,15,36.423611111111114,6,109.3,30,56.4,56.4,25,94,46,48.9,12,0.128,9,75.0,11,20,7,3,4,11.8,121.1,47.8,0.258,43.6,13.2,16,34.0,0,96.0,55.65217391304348,64.9,35.1,7.82608695652174,55.8,46,55.7,15.7,36.5,21.7,7.8,7.8,40.0,36.52173913043478,24,45.7,14.4,14,14.7,33,14,42.4,57.9,7,25,48,11,17,9,115,46,2,6,4,19,73,34,46.57534246575342,13.4,1.4,43.9,2,37.604166666666664,7,121.1,30,66.0,47.8,21,93,41,44.1,24,0.258,17,70.8,11,19,-7,-3,-4,-11.8,109.3,56.4,0.128,34.0,14.4,18,43.6,0,96.0,64.15094339622641,78.5,21.5,16.037735849056602,44.2,54,64.2,13.2,19.8,19.8,16.0,22.6,50.9,19.81132075471698,9,54.3,13.2,12,13.4,20,7,35.0,51.2,7,18,45,2,15,-9,106,48,3,8,12
20141228,Suns,Lakers,1,1,2014,1,32,31,17,9,1,8,14,21,-7,2,0,2,0,2,1,1,0,0,54.83870967741935,30.0,24.838709677419352,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,5,-1,-2,-2,False,False,False,0,0,0,1,-5.0,215.0,11,65,35,53.84615384615385,17.8,1.9,54.5,13,35.95833333333333,5,104.9,37,0.0,55.7,26,87,44,50.6,24,0.276,19,79.2,4,24,-2,-1,7,8.8,113.7,59.3,0.247,14.0,16.5,8,25.0,0,102.0,60.3448275862069,74.7,25.3,16.379310344827587,57.3,46,60.3,20.7,23.3,22.4,16.4,21.6,39.7,23.275862068965516,18,0.0,12.7,12,12.7,22,9,40.9,59.5,9,24,38,5,15,9,116,45,1,12,7,9,61,30,49.18032786885246,17.1,1.3,52.4,8,42.47222222222222,6,113.7,31,75.0,59.3,18,81,42,51.9,20,0.247,11,55.00000000000001,4,21,2,1,-7,-8.8,104.9,55.7,0.276,25.0,12.7,4,0.0,0,102.0,56.074766355140184,75.3,24.7,10.2803738317757,42.7,42,56.1,16.8,33.6,16.8,10.3,16.8,39.3,33.64485981308411,25,0.0,16.5,17,16.7,20,12,60.0,59.6,9,22,53,6,19,-9,107,35,1,8,9
20141231,Suns,Thunder,0,1,2014,1,34,33,18,15,1,3,15,17,-2,0,1,-1,1,0,0,2,-2,0,54.54545454545454,46.875,7.67045454545454,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,-1,-3,-1,-1,False,False,True,0,0,0,0,7.5,214.0,6,63,33,52.38095238095239,12.5,1.2,37.0,6,33.53877114646878,6,124.5,32,60.0,58.3,17,90,46,51.1,35,0.389,29,82.89999999999999,7,29,-1,-2,-6,-1.6,122.9,47.0,0.495,40.0,12.1,7,17.8,1,99.17,49.25373134328358,70.0,30.0,21.641791044776117,48.1,48,49.3,13.4,29.1,12.7,21.6,14.2,35.8,29.1044776119403,25,41.9,12.5,13,12.8,27,13,48.1,63.6,12,17,44,3,35,-3,134,39,0,7,10,25,64,30,46.875,14.1,1.6,53.7,9,46.937106918238996,5,122.9,31,82.2,47.0,18,99,41,41.4,49,0.495,44,89.8,7,44,1,2,6,1.6,124.5,58.3,0.389,17.8,12.5,19,40.0,1,99.17,43.79562043795621,64.6,35.4,32.11678832116788,51.9,46,43.8,10.2,24.1,13.1,32.1,18.2,33.6,24.087591240875913,19,58.1,12.1,12,12.7,35,11,31.4,56.8,12,22,46,4,27,3,137,50,2,6,14
