date,t:team,o:team,result,ou result,season,(P:season=season),t:game number,o:game number,t:wins,o:wins,t:game number-o:game number,t:wins-o:wins,t:losses,o:losses,t:losses-o:losses,t:matchup wins,o:matchup wins,t:matchup wins-o:matchup wins,t:matchup losses,o:matchup losses,t:rest,o:rest,t:rest-o:rest,(site='H'),t:WP,o:WP,t:WP-o:WP,(o:site='H'),(t:division=o:division),(p:division=po:division),(op:division=opo:division),(t:conference=o:conference),(p:conference=po:conference),(op:conference=opo:conference),n:rest,on:rest,(n:site='H'),(on:site='H'),(n:division=no:division),(n:conference=no:conference),(po:team=o:team),(o:team=no:team),streak,site streak,o:streak,o:site streak,(day='Monday'),(day='Tuesday'),(day='Wednesday'),(day='Thursday'),(day='Friday'),(day='Saturday'),(day='Sunday'),line,total,t:2ND PTS,t:2PA,t:2PM,t:2PP,t:AST RATIO,t:ATR,t:BAP,t:BL,t:BTP,t:DDS,t:DEFRTG,t:DRB,t:DREBP,t:EFGP,t:FBP,t:FGA,t:FGM,t:FGP,t:FTA,t:FTA RATE,t:FTM,t:FTP,t:LC,t:LSP,t:M1,t:M2,t:M3,t:NETRTG,t:OFFRTG,t:OPP EFGP,t:OPP FTA RATE,t:OPP OREBP,t:OPP TOP,t:ORB,t:OREBP,t:OT,t:PACE,t:PF2,t:PFGA 2PT,t:PFGA 3PT,t:PFT,t:PIE,t:PIP,t:PPTS 2PT,t:PPTS 2PT MR,t:PPTS 3PT,t:PPTS FBPS,t:PPTS FT,t:PPTS OFFTO,t:PPTS PITP,t:PTP,t:PTS OFF TO,t:REBP,t:TM TOP,t:TO,t:TO RATIO,t:TPA,t:TPM,t:TPP,t:TSP,t:TT,t:assists,t:bench points,t:blocks,t:fouls,t:margin,t:points,t:rebounds,t:rest,t:steals,t:team rebounds,o:2ND PTS,o:2PA,o:2PM,o:2PP,o:AST RATIO,o:ATR,o:BAP,o:BL,o:BTP,o:DDS,o:DEFRTG,o:DRB,o:DREBP,o:EFGP,o:FBP,o:FGA,o:FGM,o:FGP,o:FTA,o:FTA RATE,o:FTM,o:FTP,o:LC,o:LSP,o:M1,o:M2,o:M3,o:NETRTG,o:OFFRTG,o:OPP EFGP,o:OPP FTA RATE,o:OPP OREBP,o:OPP TOP,o:ORB,o:OREBP,o:OT,o:PACE,o:PF2,o:PFGA 2PT,o:PFGA 3PT,o:PFT,o:PIE,o:PIP,o:PPTS 2PT,o:PPTS 2PT MR,o:PPTS 3PT,o:PPTS FBPS,o:PPTS FT,o:PPTS OFFTO,o:PPTS PITP,o:PTP,o:PTS OFF TO,o:REBP,o:TM TOP,o:TO,o:TO RATIO,o:TPA,o:TPM,o:TPP,o:TSP,o:TT,o:assists,o:bench points,o:blocks,o:fouls,o:margin,o:points,o:rebounds,o:rest,o:steals,o:team rebounds
20141119,Thunder,Nuggets,0,1,2014,1,13,11,3,3,2,0,9,7,2,1,0,1,0,1,0,1,-1,0,25.0,30.0,-5.0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,-3,-1,1,-3,False,False,True,0,0,0,0,7.5,198.0,22,56,26,46.42857142857143,17.4,2.1,58.3,4,45.13888888888889,4,124.4,26,68.9,51.9,2,79,36,45.6,25,0.316,18,72.0,2,22,-1,-5,-14,-10.8,113.6,54.9,0.268,31.1,10.1,13,34.0,0,87.0,52.0,70.9,29.1,18.0,42.6,32,52.0,20.0,30.0,2.0,18.0,9.0,32.0,30.0,18,51.1,11.5,10,11.4,23,10,43.5,55.6,6,21,40,0,24,-7,100,39,0,5,11,20,53,30,56.60377358490566,19.9,2.8,62.5,16,32.3125,4,113.6,30,66.0,54.9,9,82,40,48.8,22,0.268,17,77.3,2,21,1,5,14,10.8,124.4,51.9,0.316,34.0,11.5,12,31.1,0,87.0,56.074766355140184,64.6,35.4,15.887850467289718,57.4,46,56.1,13.1,28.0,8.4,15.9,16.8,43.0,28.037383177570092,9,48.9,10.1,8,10.5,29,10,34.5,58.4,6,25,33,5,20,7,107,42,1,6,5
20141121,Thunder,Nets,0,0,2014,1,14,12,3,4,2,-1,10,7,3,0,1,-1,1,0,1,1,0,1,23.076923076923077,36.36363636363637,-13.28671328671329,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,-4,-2,-5,2,False,False,False,0,1,0,0,-1.5,187.0,21,65,34,52.307692307692314,14.4,1.3,47.4,10,37.270833333333336,4,105.6,23,67.6,47.1,5,85,38,44.7,19,0.224,12,63.2,5,21,6,4,3,-2.2,103.4,50.0,0.448,32.4,21.3,13,34.7,0,89.0,73.91304347826086,76.5,23.5,13.043478260869565,44.8,48,73.9,21.7,13.0,5.4,13.0,21.7,52.2,13.043478260869565,12,48.8,14.8,13,15.7,20,4,20.0,49.3,5,18,36,9,25,-2,92,36,1,9,11,6,52,26,50.0,14.6,0.9,54.8,8,41.791666666666664,4,103.4,28,65.3,50.0,6,67,31,46.300000000000004,30,0.448,27,90.0,5,23,-6,-4,-3,2.2,105.6,47.1,0.224,34.7,14.8,10,32.4,0,89.0,55.319148936170215,77.6,22.4,28.723404255319153,55.2,42,55.3,10.6,16.0,6.4,28.7,12.8,44.7,15.957446808510639,20,51.2,21.3,18,21.3,15,5,33.300000000000004,58.6,5,17,46,6,17,2,94,38,1,2,8
20141126,Thunder,Jazz,1,0,2014,1,16,16,3,5,0,-2,12,10,2,0,1,-1,1,0,2,1,1,1,20.0,33.33333333333333,-13.333333333333329,0,1,0,0,1,1,0,1,2,1,1,0,0,0,0,-6,2,-3,2,False,False,True,0,0,0,0,-4.5,184.0,18,57,28,49.122807017543856,16.5,1.1,52.5,20,44.201388888888886,4,90.1,33,77.8,55.4,15,83,40,48.199999999999996,10,0.12,5,50.0,8,22,2,8,12,15.3,105.4,46.4,0.4,22.2,20.4,12,31.9,0,91.5,57.73195876288659,68.7,31.3,5.154639175257731,59.5,42,57.7,14.4,37.1,15.5,5.2,21.6,43.3,37.11340206185567,24,54.3,20.1,16,20.7,26,12,46.2,55.5,7,21,44,7,26,15,97,45,2,9,6,11,54,28,51.85185185185185,9.8,0.6,35.5,10,28.90972222222222,5,105.4,30,68.1,46.4,17,70,31,44.3,28,0.4,17,60.699999999999996,8,24,-2,-8,-12,-15.3,90.1,55.4,0.12,31.9,20.1,8,22.2,0,91.5,68.29268292682927,77.1,22.9,20.73170731707317,40.5,42,68.3,17.1,11.0,20.7,20.7,29.3,51.2,10.975609756097562,21,45.7,20.4,19,20.9,16,3,18.8,49.8,7,11,3,2,16,-15,82,38,1,9,9
20141207,Thunder,Pistons,1,0,2014,1,20,21,6,3,-1,3,13,17,-4,0,1,-1,1,0,1,0,1,0,31.57894736842105,15.0,16.57894736842105,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,-2,-11,1,False,False,False,0,0,0,1,-9.0,194.0,14,66,33,50.0,15.4,1.3,51.3,9,46.17361111111111,4,101.1,34,76.6,48.3,15,87,39,44.800000000000004,17,0.195,12,70.6,4,28,-8,-7,2,2.2,103.2,49.3,0.368,23.4,14.8,16,36.0,0,93.0,68.75,75.9,24.1,12.5,50.3,44,68.8,22.9,18.8,15.6,12.5,12.5,45.8,18.75,10,55.7,16.0,15,16.1,21,6,28.599999999999998,50.8,5,20,26,7,24,2,96,50,1,5,7,9,53,27,50.943396226415096,19.6,1.8,73.5,11,37.05555555555556,5,103.2,31,64.0,49.3,9,76,34,44.7,28,0.368,19,67.9,4,19,8,7,-2,-2.2,101.1,48.3,0.195,36.0,16.0,8,23.4,0,93.0,57.446808510638306,69.7,30.3,20.212765957446805,49.7,42,57.4,12.8,22.3,9.6,20.2,10.6,44.7,22.340425531914892,12,44.3,14.8,12,15.1,23,7,30.4,53.2,5,25,31,1,21,-2,94,39,0,5,8
20141209,Thunder,Bucks,1,1,2014,1,21,23,7,11,-2,-4,13,11,2,0,1,-1,1,0,1,1,0,1,35.0,50.0,-15.0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,2,-3,-1,-1,False,True,False,0,0,0,0,-10.0,201.0,16,61,37,60.65573770491803,16.4,1.1,56.1,19,49.864592736615506,4,99.0,39,79.2,52.4,25,82,41,50.0,34,0.415,28,82.39999999999999,8,28,-5,9,9,15.0,114.0,42.9,0.417,20.8,13.4,15,41.9,0,101.0,64.91228070175438,74.4,25.6,24.561403508771928,62.7,46,64.9,24.6,10.5,21.9,24.6,16.7,40.4,10.526315789473683,25,62.5,19.6,20,20.0,21,4,19.0,58.8,10,23,42,6,28,13,114,54,1,10,10,13,63,30,47.61904761904761,14.4,1.4,55.9,5,46.403277322594086,4,114.0,22,58.1,42.9,3,84,34,40.5,35,0.417,29,82.89999999999999,8,18,5,-9,-9,-15.0,99.0,52.4,0.415,41.9,19.6,9,20.8,0,101.0,59.4059405940594,75.0,25.0,28.71287128712871,37.3,34,59.4,25.7,11.9,3.0,28.7,24.8,33.7,11.881188118811881,19,37.5,13.4,14,13.7,21,4,19.0,50.8,10,19,36,2,25,-13,101,31,1,8,8
20141216,Thunder,Kings,1,0,2014,1,25,25,11,11,0,0,13,13,0,1,0,1,0,1,1,2,-1,0,45.83333333333333,45.83333333333333,0.0,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,6,1,-3,2,False,True,False,0,0,0,0,-7.5,206.5,18,67,35,52.23880597014925,14.1,1.5,43.9,16,37.13194444444444,3,96.8,29,63.3,50.6,21,87,41,47.099999999999994,24,0.276,16,66.7,4,32,14,7,10,13.8,110.6,45.8,0.202,36.7,19.5,12,28.8,0,94.5,67.3076923076923,77.0,23.0,15.384615384615385,53.7,54,67.3,15.4,17.3,20.2,15.4,25.0,51.9,17.307692307692307,6,45.5,12.3,10,12.8,20,6,30.0,53.3,0,18,28,9,20,12,104,41,1,9,7,23,66,31,46.96969696969697,16.0,1.1,58.3,1,39.31944444444444,4,110.6,35,71.2,45.8,8,84,36,42.9,17,0.202,15,88.2,4,22,-14,-7,-10,-13.8,96.8,50.6,0.276,28.8,12.3,13,36.7,0,94.5,67.3913043478261,78.6,21.4,16.304347826086957,46.3,44,67.4,19.6,16.3,8.7,16.3,6.5,47.8,16.304347826086957,26,54.5,19.5,17,20.0,18,5,27.800000000000004,50.3,0,21,44,3,21,-12,92,48,2,7,8
20141218,Thunder,Warriors,0,1,2014,1,26,25,12,21,1,-9,13,3,10,0,1,-1,1,0,1,1,0,0,48.0,87.5,-39.5,1,0,0,0,1,1,1,0,3,0,1,0,1,0,0,7,-1,-1,-3,False,False,False,1,0,0,0,2.5,211.5,12,61,30,49.18032786885246,13.1,1.1,41.5,17,41.142976182209566,4,114.0,35,0.0,54.1,9,86,41,47.699999999999996,24,0.279,16,66.7,4,33,8,-2,-5,-5.0,109.0,57.4,0.106,20.8,10.2,8,29.2,0,100.0,55.04587155963303,70.9,29.1,14.678899082568808,42.8,36,55.0,22.0,30.3,8.3,14.7,9.2,33.0,30.275229357798167,16,0.0,15.3,15,16.0,25,11,44.0,56.4,4,17,18,4,15,-5,109,43,1,5,14,12,63,36,57.14285714285714,22.8,3.2,66.7,8,31.194444444444443,6,109.0,29,70.8,57.4,17,94,48,51.1,10,0.106,6,60.0,4,34,-8,2,5,5.0,114.0,54.1,0.279,29.2,15.3,10,0.0,0,100.0,63.1578947368421,67.0,33.0,5.263157894736842,57.2,52,63.2,17.5,31.6,14.9,5.3,14.0,45.6,31.57894736842105,10,0.0,10.2,9,10.0,31,12,38.7,57.9,4,32,29,7,15,5,114,39,1,9,7
20141221,Thunder,Pelicans,0,0,2014,1,28,27,13,13,1,0,14,13,1,0,1,-1,1,0,1,0,1,1,48.148148148148145,50.0,-1.8518518518518547,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,-3,-1,1,False,False,False,0,0,0,1,-8.0,201.5,17,63,33,52.38095238095239,13.4,1.1,44.7,7,34.0625,4,108.6,31,70.2,48.8,16,83,38,45.800000000000004,24,0.289,18,75.0,10,29,3,-5,5,-1.0,107.6,51.7,0.111,29.8,12.4,16,36.7,0,92.5,66.66666666666666,75.9,24.1,18.181818181818183,44.7,52,66.7,14.1,15.2,16.2,18.2,16.2,52.5,15.151515151515152,14,53.1,17.1,16,17.4,20,5,25.0,52.9,8,17,33,5,13,-2,99,47,1,7,6,9,70,36,51.42857142857142,23.7,2.8,76.7,9,38.86535657246024,5,107.6,29,63.3,51.7,9,90,43,47.8,10,0.111,8,80.0,10,38,-3,5,-5,1.0,108.6,48.8,0.289,36.7,17.1,10,29.8,0,92.5,71.28712871287128,77.8,22.2,7.920792079207921,55.3,48,71.3,23.8,20.8,8.9,7.9,13.9,47.5,20.792079207920793,16,46.9,12.4,9,12.9,20,7,35.0,53.5,8,33,34,7,17,2,101,39,0,11,8
20141223,Thunder,Trailblazers,0,1,2014,1,29,30,13,22,-1,-9,15,7,8,0,1,-1,1,0,1,0,1,1,46.42857142857143,75.86206896551724,-29.433497536945808,0,1,0,0,1,1,1,1,2,0,1,0,1,0,0,-1,1,-1,-3,False,True,False,0,0,0,0,-5.0,200.5,16,82,40,48.78048780487805,14.4,1.8,43.5,13,46.893081761006286,4,110.6,40,77.8,48.5,17,101,46,45.5,15,0.149,13,86.7,11,40,7,-11,0,-3.8,106.7,51.1,0.264,22.2,13.1,13,26.8,1,94.19,72.07207207207207,81.2,18.8,11.711711711711711,48.8,54,72.1,23.4,16.2,15.3,11.7,11.7,48.6,16.216216216216218,16,51.8,10.4,11,10.6,19,6,31.6,51.6,7,20,46,5,28,-4,111,53,1,8,5,21,60,21,35.0,16.0,1.6,57.9,13,31.719280593636018,3,106.7,37,73.2,51.1,14,91,38,41.8,24,0.264,22,91.7,11,40,-7,11,0,3.8,110.6,48.5,0.149,26.8,10.4,9,22.2,1,94.19,36.52173913043478,65.9,34.1,19.130434782608695,51.2,24,36.5,15.7,44.3,12.2,19.1,13.9,20.9,44.34782608695652,13,48.2,13.1,14,13.5,31,17,54.800000000000004,56.6,7,22,19,2,20,4,115,46,0,6,8
20141231,Thunder,Suns,1,1,2014,1,33,34,15,18,-1,-3,17,15,2,1,0,1,0,1,2,0,2,1,46.875,54.54545454545454,-7.67045454545454,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,-1,-1,-1,-3,False,False,True,0,0,0,0,-7.5,214.0,25,64,30,46.875,14.1,1.6,53.7,9,46.937106918238996,5,122.9,31,82.2,47.0,18,99,41,41.4,49,0.495,44,89.8,7,44,1,2,6,1.6,124.5,58.3,0.389,17.8,12.5,19,40.0,1,99.17,43.79562043795621,64.6,35.4,32.11678832116788,51.9,46,43.8,10.2,24.1,13.1,32.1,18.2,33.6,24.087591240875913,19,58.1,12.1,12,12.7,35,11,31.4,56.8,12,22,46,4,27,3,137,50,2,6,14,6,63,33,52.38095238095239,12.5,1.2,37.0,6,33.53877114646878,6,124.5,32,60.0,58.3,17,90,46,51.1,35,0.389,29,82.89999999999999,7,29,-1,-2,-6,-1.6,122.9,47.0,0.495,40.0,12.1,7,17.8,1,99.17,49.25373134328358,70.0,30.0,21.641791044776117,48.1,48,49.3,13.4,29.1,12.7,21.6,14.2,35.8,29.1044776119403,25,41.9,12.5,13,12.8,27,13,48.1,63.6,12,17,44,3,35,-3,134,39,0,7,10
