date,t:team,o:team,result,ou result,season,(P:season=season),t:game number,o:game number,t:wins,o:wins,t:game number-o:game number,t:wins-o:wins,t:losses,o:losses,t:losses-o:losses,t:matchup wins,o:matchup wins,t:matchup wins-o:matchup wins,t:matchup losses,o:matchup losses,t:rest,o:rest,t:rest-o:rest,(site='H'),t:WP,o:WP,t:WP-o:WP,(o:site='H'),(t:division=o:division),(p:division=po:division),(op:division=opo:division),(t:conference=o:conference),(p:conference=po:conference),(op:conference=opo:conference),n:rest,on:rest,(n:site='H'),(on:site='H'),(n:division=no:division),(n:conference=no:conference),(po:team=o:team),(o:team=no:team),streak,site streak,o:streak,o:site streak,(day='Monday'),(day='Tuesday'),(day='Wednesday'),(day='Thursday'),(day='Friday'),(day='Saturday'),(day='Sunday'),line,total,t:2ND PTS,t:2PA,t:2PM,t:2PP,t:AST RATIO,t:ATR,t:BAP,t:BL,t:BTP,t:DDS,t:DEFRTG,t:DRB,t:DREBP,t:EFGP,t:FBP,t:FGA,t:FGM,t:FGP,t:FTA,t:FTA RATE,t:FTM,t:FTP,t:LC,t:LSP,t:M1,t:M2,t:M3,t:NETRTG,t:OFFRTG,t:OPP EFGP,t:OPP FTA RATE,t:OPP OREBP,t:OPP TOP,t:ORB,t:OREBP,t:OT,t:PACE,t:PF2,t:PFGA 2PT,t:PFGA 3PT,t:PFT,t:PIE,t:PIP,t:PPTS 2PT,t:PPTS 2PT MR,t:PPTS 3PT,t:PPTS FBPS,t:PPTS FT,t:PPTS OFFTO,t:PPTS PITP,t:PTP,t:PTS OFF TO,t:REBP,t:TM TOP,t:TO,t:TO RATIO,t:TPA,t:TPM,t:TPP,t:TSP,t:TT,t:assists,t:bench points,t:blocks,t:fouls,t:margin,t:points,t:rebounds,t:rest,t:steals,t:team rebounds,o:2ND PTS,o:2PA,o:2PM,o:2PP,o:AST RATIO,o:ATR,o:BAP,o:BL,o:BTP,o:DDS,o:DEFRTG,o:DRB,o:DREBP,o:EFGP,o:FBP,o:FGA,o:FGM,o:FGP,o:FTA,o:FTA RATE,o:FTM,o:FTP,o:LC,o:LSP,o:M1,o:M2,o:M3,o:NETRTG,o:OFFRTG,o:OPP EFGP,o:OPP FTA RATE,o:OPP OREBP,o:OPP TOP,o:ORB,o:OREBP,o:OT,o:PACE,o:PF2,o:PFGA 2PT,o:PFGA 3PT,o:PFT,o:PIE,o:PIP,o:PPTS 2PT,o:PPTS 2PT MR,o:PPTS 3PT,o:PPTS FBPS,o:PPTS FT,o:PPTS OFFTO,o:PPTS PITP,o:PTP,o:PTS OFF TO,o:REBP,o:TM TOP,o:TO,o:TO RATIO,o:TPA,o:TPM,o:TPP,o:TSP,o:TT,o:assists,o:bench points,o:blocks,o:fouls,o:margin,o:points,o:rebounds,o:rest,o:steals,o:team rebounds
20141205,Timberwolves,Rockets,0,1,2014,1,18,19,4,14,-1,-10,13,4,9,0,1,-1,1,0,1,1,0,1,23.52941176470588,77.77777777777779,-54.2483660130719,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,-3,1,2,1,False,False,False,0,1,0,0,7.0,204.0,16,87,42,48.275862068965516,15.8,1.6,51.1,7,34.125786163522015,7,104.6,29,81.4,47.9,23,97,45,46.400000000000006,27,0.278,19,70.39999999999999,7,20,-9,2,-9,-1.8,102.8,56.4,0.397,18.6,21.4,14,29.1,1,98.72,75.0,89.7,10.3,16.964285714285715,51.7,66,75.0,16.1,8.0,20.5,17.0,20.5,58.9,8.035714285714286,16,52.0,12.9,14,12.8,10,3,30.0,51.4,10,23,35,5,26,-2,112,43,1,12,12,7,46,26,56.52173913043478,14.2,0.8,50.0,13,31.85534591194969,5,102.8,35,70.9,56.4,15,78,38,48.699999999999996,31,0.397,26,83.89999999999999,7,38,9,-2,9,1.8,104.6,47.9,0.278,29.1,12.9,7,18.6,1,98.72,45.614035087719294,59.0,41.0,22.807017543859647,48.3,40,45.6,10.5,31.6,13.2,22.8,14.0,35.1,31.57894736842105,23,48.0,21.4,22,21.1,32,12,37.5,62.2,10,19,21,3,28,2,114,42,1,3,8
20141206,Timberwolves,Spurs,0,1,2014,1,19,20,4,14,-1,-10,14,5,9,0,1,-1,1,0,0,0,0,0,22.22222222222222,73.68421052631578,-51.46198830409356,1,0,0,1,1,1,1,1,2,1,0,0,1,0,0,-4,2,1,-4,False,False,False,0,0,1,0,13.5,202.5,6,67,29,43.28358208955223,16.0,2.5,57.1,2,37.36805555555556,4,126.8,25,70.3,45.8,26,83,35,42.199999999999996,32,0.386,25,78.10000000000001,5,22,-8,-17,-20,-23.7,103.1,61.6,0.305,29.7,16.7,8,20.0,0,97.5,57.42574257425742,80.7,19.3,24.752475247524753,38.6,42,57.4,15.8,17.8,25.7,24.8,18.8,41.6,17.82178217821782,14,41.4,8.2,8,8.2,16,6,37.5,52.0,3,20,44,2,22,-22,101,33,0,10,8,10,64,40,62.5,21.4,1.8,63.8,28,45.041666666666664,7,103.1,35,80.0,61.6,14,82,47,57.3,25,0.305,22,88.0,5,20,8,17,20,23.7,126.8,45.8,0.386,20.0,8.2,8,29.7,0,97.5,65.04065040650406,78.0,22.0,17.88617886178862,61.4,52,65.0,22.8,17.1,11.4,17.9,11.4,42.3,17.073170731707318,19,58.6,16.7,16,17.5,18,7,38.9,66.1,3,30,53,6,24,22,123,43,0,5,9
20141210,Timberwolves,Trailblazers,1,0,2014,1,21,22,4,17,-1,-13,16,4,12,0,1,-1,1,0,1,0,1,1,20.0,80.95238095238095,-60.95238095238095,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,-6,1,5,-2,False,False,True,0,0,0,0,10.5,206.0,15,69,31,44.927536231884055,16.2,1.2,68.8,20,26.991181167974442,5,87.2,36,74.0,40.1,15,81,32,39.5,33,0.407,25,75.8,6,23,4,8,15,8.5,95.7,45.0,0.15,26.0,21.2,20,44.2,0,94.0,68.88888888888889,85.2,14.8,27.77777777777778,60.9,40,68.9,24.4,3.3,16.7,27.8,22.2,44.4,3.3333333333333335,19,58.8,19.2,18,19.1,12,1,8.3,47.1,4,22,19,3,19,8,90,56,1,13,9,11,45,21,46.666666666666664,16.0,1.0,64.5,5,24.692729671550584,3,95.7,27,55.8,45.0,12,80,31,38.800000000000004,12,0.15,10,83.3,6,23,-4,-8,-15,-8.5,87.2,40.1,0.407,44.2,19.2,11,26.0,0,94.0,51.21951219512195,56.3,43.8,12.195121951219512,39.1,38,51.2,4.9,36.6,14.6,12.2,23.2,46.3,36.58536585365854,20,41.2,21.2,20,21.3,35,10,28.599999999999998,48.1,4,20,18,10,25,-8,82,38,0,7,5
20141214,Timberwolves,Lakers,0,0,2014,1,23,24,5,7,-1,-2,17,16,1,1,0,1,0,1,1,1,0,1,22.727272727272727,30.434782608695656,-7.707509881422929,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,-1,3,2,-1,False,False,False,0,0,0,1,3.0,212.0,19,80,35,43.75,18.1,1.8,65.8,6,28.907714742031803,4,103.1,32,68.8,43.9,18,90,38,42.199999999999996,20,0.222,15,75.0,5,28,-3,-5,-2,-4.1,98.9,45.1,0.42,31.3,11.5,14,32.7,0,96.0,74.46808510638297,88.9,11.1,15.957446808510639,44.4,54,74.5,17.0,9.6,19.1,16.0,17.0,57.4,9.574468085106384,16,49.5,14.2,14,14.7,10,3,30.0,47.6,5,25,41,3,21,-6,94,46,1,6,8,15,64,29,45.3125,17.1,2.0,64.7,10,41.81654051801958,4,98.9,34,67.3,45.1,14,81,34,42.0,34,0.42,27,79.4,5,26,3,5,2,4.1,103.1,43.9,0.222,32.7,14.2,11,31.3,0,96.0,57.99999999999999,79.0,21.0,27.0,55.6,38,58.0,20.0,15.0,14.0,27.0,16.0,38.0,15.0,16,50.5,11.5,11,11.3,17,5,29.4,52.1,5,22,41,5,17,6,100,45,1,10,12
20141227,Timberwolves,Warriors,0,0,2014,1,29,29,5,23,0,-18,23,5,18,0,1,-1,1,0,0,1,-1,0,17.857142857142858,82.14285714285714,-64.28571428571428,1,0,1,1,1,1,1,2,2,0,1,1,1,0,0,-7,-2,-2,-2,False,False,False,0,0,1,0,18.0,216.0,10,58,26,44.827586206896555,19.7,1.2,85.3,5,42.15277777777778,4,102.8,34,76.6,49.4,19,77,34,44.2,36,0.468,21,58.3,6,17,-8,-10,-21,-10.4,92.4,52.8,0.239,23.4,15.3,13,28.0,0,106.0,53.608247422680414,75.3,24.7,21.649484536082475,40.9,34,53.6,18.6,24.7,19.6,21.6,17.5,35.1,24.742268041237114,36,51.5,23.8,24,23.8,19,8,42.1,52.2,3,29,41,5,18,-13,97,47,0,10,11,14,60,30,50.0,22.0,2.0,78.0,27,43.41666666666667,6,92.4,34,72.0,52.8,24,88,41,46.6,21,0.239,17,81.0,6,25,8,10,21,10.4,102.8,49.4,0.468,28.0,23.8,9,23.4,0,106.0,54.54545454545454,68.2,31.8,15.454545454545453,59.1,40,54.5,18.2,30.0,21.8,15.5,32.7,36.4,30.0,17,48.5,15.3,16,15.0,28,11,39.300000000000004,56.6,3,32,40,6,21,13,110,43,1,17,8
20150101,Timberwolves,Kings,0,1,2014,1,31,33,5,13,-2,-8,25,19,6,0,1,-1,1,0,1,0,1,1,16.666666666666664,40.625,-23.958333333333336,0,0,1,0,1,1,0,1,2,1,0,1,1,0,0,-9,-4,-2,-2,False,False,False,1,0,0,0,3.5,211.5,24,67,35,52.23880597014925,16.1,1.6,52.4,0,36.5625,5,113.4,23,64.9,50.0,9,91,42,46.2,22,0.242,16,72.7,0,27,-8,-2,-4,-3.1,110.3,57.4,0.392,35.1,20.7,15,36.5,0,97.0,65.42056074766354,73.6,26.4,14.953271028037381,45.8,42,65.4,26.2,19.6,8.4,15.0,19.6,39.3,19.626168224299064,21,48.3,14.0,14,14.4,24,7,29.2,53.1,5,22,35,6,24,-3,107,38,1,12,7,16,62,35,56.451612903225815,17.7,1.1,57.5,13,30.270833333333336,5,110.3,32,63.5,57.4,21,74,40,54.1,29,0.392,25,86.2,0,21,8,2,4,3.1,113.4,50.0,0.242,36.5,14.0,10,35.1,0,97.0,63.63636363636363,83.8,16.2,22.727272727272727,54.2,50,63.6,18.2,13.6,19.1,22.7,19.1,45.5,13.636363636363635,21,51.7,20.7,20,20.6,12,5,41.699999999999996,63.4,5,23,18,7,26,3,110,42,0,7,6
20150103,Timberwolves,Jazz,0,0,2014,1,32,34,5,11,-2,-6,26,22,4,0,1,-1,1,0,1,0,1,1,16.129032258064516,33.33333333333333,-17.204301075268813,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,-10,1,-1,2,False,False,False,0,0,1,0,-1.0,199.0,13,67,28,41.7910447761194,14.3,2.1,50.0,3,42.611111111111114,3,117.4,23,62.5,43.0,6,86,34,39.5,18,0.209,15,83.3,11,20,1,-6,-16,-14.0,103.5,58.0,0.28,37.5,16.0,14,0.0,0,86.0,62.92134831460674,77.9,22.1,16.853932584269664,40.1,36,62.9,22.5,20.2,6.7,16.9,19.1,40.4,20.224719101123593,12,0.0,9.1,8,9.3,19,6,31.6,47.4,7,17,36,5,15,-12,89,37,1,8,7,18,55,27,49.09090909090909,19.0,1.6,60.5,20,33.0625,3,103.5,36,0.0,58.0,14,75,38,50.7,21,0.28,14,66.7,11,28,-1,6,16,14.0,117.4,43.0,0.209,33.3,9.1,11,37.5,0,86.0,53.46534653465347,73.3,26.7,13.861386138613863,59.9,46,53.5,7.9,32.7,13.9,13.9,11.9,45.5,32.67326732673268,17,0.0,16.0,12,16.3,20,11,55.00000000000001,59.9,7,23,29,10,16,12,101,47,0,6,8
20150105,Timberwolves,Nuggets,0,1,2014,1,33,35,5,14,-2,-9,27,20,7,0,1,-1,1,0,1,1,0,1,15.625,41.17647058823529,-25.55147058823529,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,-11,2,1,1,True,False,False,0,0,0,0,4.5,210.0,23,65,28,43.07692307692308,16.0,1.6,55.3,7,30.15277777777777,5,120.9,27,68.3,48.3,10,89,38,42.699999999999996,18,0.202,15,83.3,1,22,-14,-21,-18,-9.9,111.0,58.9,0.19,31.7,12.8,15,37.7,0,91.0,55.44554455445545,73.0,27.0,14.85148514851485,43.4,38,55.4,17.8,29.7,9.9,14.9,21.8,37.6,29.7029702970297,15,51.1,13.7,12,14.3,24,10,41.699999999999996,52.1,0,21,10,4,17,-9,101,42,1,7,7,19,65,39,60.0,20.1,2.2,56.5,24,37.02777777777778,5,111.0,32,62.3,58.9,19,84,46,54.800000000000004,16,0.19,11,68.8,1,34,14,21,18,9.9,120.9,48.3,0.202,37.7,13.7,9,31.7,0,91.0,70.9090909090909,77.4,22.6,10.0,56.6,56,70.9,20.0,19.1,17.3,10.0,13.6,50.9,19.090909090909093,22,48.9,12.8,12,13.2,19,7,36.8,60.4,0,26,47,6,22,9,110,41,1,8,7
20150109,Timberwolves,Bucks,0,0,2014,1,35,38,5,19,-3,-14,29,18,11,0,1,-1,1,0,1,1,0,0,14.705882352941178,51.35135135135135,-36.645468998410166,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,-13,4,1,-1,False,False,False,0,1,0,0,9.0,203.0,16,57,26,45.614035087719294,17.1,1.1,68.8,5,38.611111111111114,3,107.7,27,0.0,44.3,15,79,32,40.5,17,0.215,14,82.39999999999999,7,20,3,-15,-14,-15.4,92.3,60.0,0.133,28.9,24.6,13,35.4,0,91.0,61.904761904761905,72.2,27.8,16.666666666666664,42.3,36,61.9,19.0,21.4,17.9,16.7,32.1,42.9,21.428571428571427,28,0.0,21.4,19,22.0,22,6,27.3,48.6,2,22,30,3,14,-14,84,40,1,13,6,9,56,27,48.214285714285715,22.7,1.3,76.9,20,52.625,5,92.3,30,64.6,60.0,15,75,39,52.0,10,0.133,8,80.0,7,14,-3,15,14,15.4,107.7,44.3,0.215,35.4,21.4,9,0.0,0,91.0,55.10204081632652,74.7,25.3,8.16326530612245,57.7,34,55.1,20.4,36.7,15.3,8.2,28.6,34.7,36.734693877551024,27,0.0,24.6,22,25.3,19,12,63.2,61.7,2,30,52,4,21,14,98,39,1,13,3
20150110,Timberwolves,Spurs,0,0,2014,1,36,38,5,22,-2,-17,30,15,15,0,2,-2,2,0,0,0,0,1,14.285714285714285,59.45945945945946,-45.173745173745175,0,0,0,0,1,0,1,2,2,0,0,0,0,0,0,-14,-1,1,4,False,False,False,0,0,1,0,10.0,201.0,10,66,29,43.93939393939394,13.9,1.3,53.1,2,40.96937712658843,4,110.2,35,78.3,41.4,16,81,32,39.5,26,0.321,26,100,4,19,-9,-15,-20,-15.3,94.9,54.2,0.238,21.7,12.5,7,18.4,0,98.0,62.365591397849464,81.5,18.5,27.956989247311824,43.1,50,62.4,8.6,9.7,17.2,28.0,16.1,53.8,9.67741935483871,16,47.4,13.2,13,13.3,15,3,20.0,50.3,7,17,41,4,18,-15,93,42,0,7,3,6,60,32,53.333333333333336,16.7,1.8,51.2,20,40.11805555555556,6,94.9,36,81.6,54.2,19,84,41,48.8,20,0.238,17,85.0,4,22,9,15,20,15.3,110.2,41.4,0.321,18.4,13.2,9,21.7,0,98.0,59.25925925925925,71.4,28.6,15.74074074074074,56.9,46,59.3,16.7,25.0,17.6,15.7,14.8,42.6,25.0,15,52.6,12.5,11,12.2,24,9,37.5,58.2,7,21,43,2,19,15,108,45,0,9,5
