date,t:team,o:team,result,ou result,season,(P:season=season),t:game number,o:game number,t:wins,o:wins,t:game number-o:game number,t:wins-o:wins,t:losses,o:losses,t:losses-o:losses,t:matchup wins,o:matchup wins,t:matchup wins-o:matchup wins,t:matchup losses,o:matchup losses,t:rest,o:rest,t:rest-o:rest,(site='H'),t:WP,o:WP,t:WP-o:WP,(o:site='H'),(t:division=o:division),(p:division=po:division),(op:division=opo:division),(t:conference=o:conference),(p:conference=po:conference),(op:conference=opo:conference),n:rest,on:rest,(n:site='H'),(on:site='H'),(n:division=no:division),(n:conference=no:conference),(po:team=o:team),(o:team=no:team),streak,site streak,o:streak,o:site streak,(day='Monday'),(day='Tuesday'),(day='Wednesday'),(day='Thursday'),(day='Friday'),(day='Saturday'),(day='Sunday'),line,total,t:2ND PTS,t:2PA,t:2PM,t:2PP,t:AST RATIO,t:ATR,t:BAP,t:BL,t:BTP,t:DDS,t:DEFRTG,t:DRB,t:DREBP,t:EFGP,t:FBP,t:FGA,t:FGM,t:FGP,t:FTA,t:FTA RATE,t:FTM,t:FTP,t:LC,t:LSP,t:M1,t:M2,t:M3,t:NETRTG,t:OFFRTG,t:OPP EFGP,t:OPP FTA RATE,t:OPP OREBP,t:OPP TOP,t:ORB,t:OREBP,t:OT,t:PACE,t:PF2,t:PFGA 2PT,t:PFGA 3PT,t:PFT,t:PIE,t:PIP,t:PPTS 2PT,t:PPTS 2PT MR,t:PPTS 3PT,t:PPTS FBPS,t:PPTS FT,t:PPTS OFFTO,t:PPTS PITP,t:PTP,t:PTS OFF TO,t:REBP,t:TM TOP,t:TO,t:TO RATIO,t:TPA,t:TPM,t:TPP,t:TSP,t:TT,t:assists,t:bench points,t:blocks,t:fouls,t:margin,t:points,t:rebounds,t:rest,t:steals,t:team rebounds,o:2ND PTS,o:2PA,o:2PM,o:2PP,o:AST RATIO,o:ATR,o:BAP,o:BL,o:BTP,o:DDS,o:DEFRTG,o:DRB,o:DREBP,o:EFGP,o:FBP,o:FGA,o:FGM,o:FGP,o:FTA,o:FTA RATE,o:FTM,o:FTP,o:LC,o:LSP,o:M1,o:M2,o:M3,o:NETRTG,o:OFFRTG,o:OPP EFGP,o:OPP FTA RATE,o:OPP OREBP,o:OPP TOP,o:ORB,o:OREBP,o:OT,o:PACE,o:PF2,o:PFGA 2PT,o:PFGA 3PT,o:PFT,o:PIE,o:PIP,o:PPTS 2PT,o:PPTS 2PT MR,o:PPTS 3PT,o:PPTS FBPS,o:PPTS FT,o:PPTS OFFTO,o:PPTS PITP,o:PTP,o:PTS OFF TO,o:REBP,o:TM TOP,o:TO,o:TO RATIO,o:TPA,o:TPM,o:TPP,o:TSP,o:TT,o:assists,o:bench points,o:blocks,o:fouls,o:margin,o:points,o:rebounds,o:rest,o:steals,o:team rebounds
20141112,Trailblazers,Nuggets,1,1,2014,1,9,7,5,1,2,4,3,5,-2,1,0,1,0,1,0,2,-2,0,62.5,16.666666666666664,45.833333333333336,1,1,0,1,1,0,1,2,1,1,0,0,0,0,0,2,2,-5,-1,False,False,True,0,0,0,0,2.0,209.0,23,55,29,52.72727272727272,20.6,2.0,66.7,36,48.45833333333333,6,111.9,34,65.5,60.2,14,88,45,51.1,29,0.33,24,82.8,1,27,11,34,33,18.1,130.0,47.8,0.367,34.5,11.8,12,0.0,0,100.5,44.61538461538462,62.5,37.5,18.461538461538463,58.2,44,44.6,10.8,36.9,10.8,18.5,12.3,33.8,36.92307692307693,25,0.0,14.5,14,15.0,33,16,48.5,64.5,0,30,53,9,21,17,130,46,0,7,6,20,67,31,46.26865671641791,15.3,1.8,53.8,7,47.31249999999999,5,130.0,32,0.0,47.8,27,90,39,43.3,33,0.367,27,81.8,1,32,-11,-34,-33,-18.1,111.9,60.2,0.33,31.9,14.5,15,34.5,0,100.5,54.86725663716814,74.4,25.6,23.893805309734514,41.8,48,54.9,12.4,21.2,23.9,23.9,22.1,42.5,21.238938053097346,16,0.0,11.8,12,11.9,23,8,34.8,54.1,0,21,50,2,24,-17,113,47,2,10,6
20141126,Trailblazers,Hornets,1,1,2014,1,15,16,11,4,-1,7,3,11,-8,1,0,1,0,1,1,1,0,0,78.57142857142857,26.666666666666668,51.9047619047619,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,8,-2,-6,1,False,False,True,0,0,0,0,-6.0,195.0,11,65,27,41.53846153846154,16.2,2.6,53.8,14,28.125,5,104.3,40,78.2,48.9,8,92,39,42.4,20,0.217,15,75.0,2,28,2,-11,3,7.4,111.7,46.3,0.16,21.8,6.2,10,28.1,0,93.5,51.42857142857142,70.7,29.3,14.285714285714285,51.4,32,51.4,21.0,34.3,7.6,14.3,10.5,30.5,34.285714285714285,7,52.7,8.1,8,8.5,27,12,44.4,52.1,4,21,21,7,18,8,105,50,1,4,10,16,79,36,45.56962025316456,21.4,4.8,70.7,13,42.854166666666664,4,111.7,37,71.9,46.3,4,94,41,43.6,15,0.16,10,66.7,2,23,-2,11,-3,-7.4,104.3,48.9,0.217,28.1,8.1,10,21.8,0,93.5,74.22680412371135,84.0,16.0,10.309278350515463,48.6,44,74.2,28.9,15.5,4.1,10.3,7.2,45.4,15.463917525773196,11,47.3,6.2,6,6.5,15,5,33.300000000000004,48.2,4,29,36,5,20,-8,97,47,1,3,9
20141202,Trailblazers,Nuggets,1,0,2014,1,18,18,13,9,0,4,4,8,-4,2,0,2,0,2,1,0,1,0,76.47058823529412,52.94117647058824,23.529411764705877,1,1,1,1,1,1,1,1,2,1,0,0,0,0,0,1,2,2,-1,False,True,False,0,0,0,0,-3.0,211.0,8,64,38,59.375,19.8,2.2,60.5,6,28.23611111111111,5,108.4,33,81.8,52.9,4,86,43,50.0,17,0.198,14,82.39999999999999,4,39,-8,-6,-7,1.0,109.4,54.9,0.235,18.2,14.5,4,23.9,0,95.5,72.38095238095238,74.4,25.6,13.333333333333334,51.6,44,72.4,30.5,14.3,3.8,13.3,21.9,41.9,14.285714285714285,13,52.2,11.8,12,12.5,22,5,22.7,56.2,6,26,19,5,19,2,105,37,1,7,10,14,61,34,55.73770491803278,16.9,1.5,51.2,14,33.236111111111114,4,109.4,34,76.1,54.9,11,81,41,50.6,19,0.235,14,73.7,4,24,8,6,7,-1.0,108.4,52.9,0.198,23.9,11.8,7,18.2,0,95.5,66.01941747572816,75.3,24.7,13.592233009708737,48.4,40,66.0,27.2,20.4,10.7,13.6,12.6,38.8,20.388349514563107,23,47.8,14.5,14,14.7,20,7,35.0,57.6,6,21,28,2,19,-2,103,41,0,8,3
20141210,Trailblazers,Timberwolves,0,0,2014,1,22,21,17,4,1,13,4,16,-12,1,0,1,0,1,0,1,-1,0,80.95238095238095,20.0,60.95238095238095,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,5,-2,-6,1,False,False,True,0,0,0,0,-10.5,206.0,11,45,21,46.666666666666664,16.0,1.0,64.5,5,24.692729671550584,3,95.7,27,55.8,45.0,12,80,31,38.800000000000004,12,0.15,10,83.3,6,23,-4,-8,-15,-8.5,87.2,40.1,0.407,44.2,19.2,11,26.0,0,94.0,51.21951219512195,56.3,43.8,12.195121951219512,39.1,38,51.2,4.9,36.6,14.6,12.2,23.2,46.3,36.58536585365854,20,41.2,21.2,20,21.3,35,10,28.599999999999998,48.1,4,20,18,10,25,-8,82,38,0,7,5,15,69,31,44.927536231884055,16.2,1.2,68.8,20,26.991181167974442,5,87.2,36,74.0,40.1,15,81,32,39.5,33,0.407,25,75.8,6,23,4,8,15,8.5,95.7,45.0,0.15,26.0,21.2,20,44.2,0,94.0,68.88888888888889,85.2,14.8,27.77777777777778,60.9,40,68.9,24.4,3.3,16.7,27.8,22.2,44.4,3.3333333333333335,19,58.8,19.2,18,19.1,12,1,8.3,47.1,4,22,19,3,19,8,90,56,1,13,9
20141212,Trailblazers,Bulls,0,1,2014,1,23,22,17,13,1,4,5,8,-3,1,0,1,0,1,1,1,0,0,77.27272727272727,61.904761904761905,15.367965367965361,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,-1,-3,1,2,False,False,False,0,1,0,0,2.5,199.5,11,64,31,48.4375,16.1,1.8,46.5,7,25.234358725088534,3,125.0,26,58.7,55.7,5,88,43,48.9,11,0.125,8,72.7,7,35,4,-8,-4,-9.8,115.2,52.8,0.318,41.3,8.5,11,0.0,0,92.0,58.490566037735846,72.7,27.3,7.547169811320755,44.1,34,58.5,26.4,34.0,4.7,7.5,7.5,32.1,33.9622641509434,19,0.0,11.8,10,12.0,24,12,50.0,57.1,3,20,15,5,17,-9,106,37,1,3,5,14,73,39,53.42465753424658,14.2,2.3,40.9,12,24.46527777777778,6,115.2,33,0.0,52.8,19,88,44,50.0,28,0.318,22,78.60000000000001,7,31,-4,8,4,9.8,125.0,55.7,0.125,28.3,11.8,14,41.3,0,92.0,67.82608695652173,83.0,17.0,19.130434782608695,55.9,60,67.8,15.7,13.0,16.5,19.1,16.5,52.2,13.043478260869565,8,0.0,8.5,7,8.7,15,5,33.300000000000004,57.3,3,18,40,3,11,9,115,47,1,5,9
20141213,Trailblazers,Pacers,1,0,2014,1,24,24,17,7,0,10,6,16,-10,1,0,1,0,1,0,0,0,0,73.91304347826086,30.434782608695656,43.478260869565204,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,-2,-4,-7,-1,False,False,False,0,0,1,0,-5.0,192.5,17,73,35,47.94520547945205,16.4,1.8,52.5,29,27.97916666666667,5,91.4,35,69.6,47.2,5,90,40,44.4,12,0.133,10,83.3,7,19,-1,20,16,11.9,103.3,40.9,0.182,30.4,13.5,11,26.9,0,92.5,73.68421052631578,81.1,18.9,10.526315789473683,56.1,44,73.7,27.4,15.8,5.3,10.5,9.5,46.3,15.789473684210526,7,49.1,12.5,12,13.0,17,5,29.4,49.9,3,21,24,5,21,10,95,46,0,9,7,21,73,30,41.0958904109589,12.9,1.2,47.1,5,28.9375,5,103.3,37,73.1,40.9,10,88,34,38.6,16,0.182,13,81.3,7,23,1,-20,-16,-11.9,91.4,47.2,0.133,26.9,12.5,12,30.4,0,92.5,70.58823529411765,83.0,17.0,15.294117647058824,43.9,34,70.6,30.6,14.1,11.8,15.3,8.2,40.0,14.117647058823529,9,50.9,13.5,13,14.0,15,4,26.700000000000003,44.7,3,16,18,2,18,-10,85,49,0,8,7
20141219,Trailblazers,Spurs,1,1,2014,1,27,27,20,17,0,3,6,9,-3,1,0,1,0,1,1,1,0,0,76.92307692307693,65.38461538461539,11.538461538461547,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,3,2,-2,1,False,False,False,0,1,0,0,4.5,196.5,30,75,34,45.33333333333333,11.8,1.3,38.3,11,40.13015184381779,5,100.0,43,66.7,48.6,17,110,47,42.699999999999996,23,0.209,22,95.7,10,43,-3,-2,-5,10.3,110.3,45.0,0.239,33.3,16.2,15,0.0,3,89.9,52.71317829457365,68.2,31.8,17.05426356589147,54.1,40,52.7,21.7,30.2,13.2,17.1,18.6,31.0,30.23255813953488,14,0.0,11.8,14,12.0,35,13,37.1,53.7,18,18,30,5,24,10,129,58,1,12,7,19,89,37,41.57303370786517,14.6,1.2,53.3,11,38.88359788359788,6,110.3,43,0.0,45.0,15,109,45,41.3,26,0.239,21,80.80000000000001,10,32,3,2,5,-10.3,100.0,48.6,0.209,32.8,11.8,17,33.3,3,89.9,62.18487394957983,81.7,18.3,17.647058823529413,45.9,50,62.2,20.2,20.2,12.6,17.6,11.8,42.0,20.168067226890756,24,0.0,16.2,16,16.8,20,8,40.0,49.4,18,24,45,4,22,-10,119,60,1,8,8
20141220,Trailblazers,Pelicans,1,0,2014,1,28,26,21,13,2,8,6,12,-6,1,0,1,0,1,0,1,-1,0,77.77777777777779,52.0,25.777777777777786,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,4,-1,2,-1,False,False,False,0,0,1,0,5.0,202.5,19,65,39,60.0,18.6,1.9,52.1,34,47.94444444444444,5,91.7,35,0.0,58.3,13,90,48,53.300000000000004,15,0.167,9,60.0,0,27,15,18,32,27.1,118.8,37.1,0.329,37.5,18.0,10,30.4,0,96.0,68.42105263157895,72.2,27.8,7.894736842105263,61.9,46,68.4,28.1,23.7,11.4,7.9,21.1,40.4,23.684210526315788,22,0.0,13.1,13,13.5,25,9,36.0,59.0,0,25,48,3,25,26,114,45,0,11,6,12,70,27,38.57142857142858,11.6,0.9,50.0,0,51.22222222222222,3,118.8,28,69.6,37.1,12,85,30,35.3,28,0.329,25,89.3,0,21,-15,-18,-32,-27.1,91.7,58.3,0.167,30.4,13.1,20,0.0,0,96.0,61.36363636363637,82.4,17.6,28.40909090909091,38.1,38,61.4,18.2,10.2,13.6,28.4,25.0,43.2,10.227272727272728,24,0.0,18.0,16,17.7,15,3,20.0,45.2,0,15,60,6,11,-26,88,48,1,7,7
20141223,Trailblazers,Thunder,1,1,2014,1,30,29,22,13,1,9,7,15,-8,1,0,1,0,1,0,1,-1,0,75.86206896551724,46.42857142857143,29.433497536945808,1,1,0,0,1,1,1,2,1,1,0,0,0,0,0,-1,-3,-1,1,False,True,False,0,0,0,0,5.0,200.5,21,60,21,35.0,16.0,1.6,57.9,13,31.719280593636018,3,106.7,37,73.2,51.1,14,91,38,41.8,24,0.264,22,91.7,11,40,-7,11,0,3.8,110.6,48.5,0.149,26.8,10.4,9,22.2,1,94.19,36.52173913043478,65.9,34.1,19.130434782608695,51.2,24,36.5,15.7,44.3,12.2,19.1,13.9,20.9,44.34782608695652,13,48.2,13.1,14,13.5,31,17,54.800000000000004,56.6,7,22,19,2,20,4,115,46,0,6,8,16,82,40,48.78048780487805,14.4,1.8,43.5,13,46.893081761006286,4,110.6,40,77.8,48.5,17,101,46,45.5,15,0.149,13,86.7,11,40,7,-11,0,-3.8,106.7,51.1,0.264,22.2,13.1,13,26.8,1,94.19,72.07207207207207,81.2,18.8,11.711711711711711,48.8,54,72.1,23.4,16.2,15.3,11.7,11.7,48.6,16.216216216216218,16,51.8,10.4,11,10.6,19,6,31.6,51.6,7,20,46,5,28,-4,111,53,1,8,5
20141226,Trailblazers,Seventysixers,1,1,2014,1,31,28,23,4,3,19,7,23,-16,1,0,1,0,1,2,2,0,1,76.66666666666667,14.814814814814813,61.85185185185186,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,-4,2,-2,False,False,False,0,1,0,0,-13.5,199.0,7,45,24,53.333333333333336,17.8,1.2,59.5,23,44.36805555555556,3,89.4,39,78.4,58.0,7,88,42,47.699999999999996,14,0.159,12,85.7,2,28,3,10,14,20.2,109.6,46.3,0.407,21.6,17.2,9,25.5,0,104.0,42.10526315789473,51.1,48.9,10.526315789473683,59.8,32,42.1,14.0,47.4,6.1,10.5,14.9,28.1,47.368421052631575,18,53.1,19.8,19,20.2,43,18,41.9,60.5,4,25,34,8,22,21,114,48,2,10,5,8,67,33,49.25373134328358,12.4,0.9,44.4,4,41.576388888888886,3,109.6,33,74.5,46.3,18,81,36,44.4,33,0.407,18,54.50000000000001,2,22,-3,-10,-14,-20.2,89.4,58.0,0.159,25.5,19.8,9,21.6,0,104.0,70.96774193548387,82.7,17.3,19.35483870967742,40.2,64,71.0,2.2,9.7,19.4,19.4,19.4,68.8,9.67741935483871,17,46.9,17.2,18,17.3,14,3,21.4,48.7,4,16,42,7,14,-21,93,42,2,13,13
