date,t:team,o:team,result,ou result,season,(P:season=season),t:game number,o:game number,t:wins,o:wins,t:game number-o:game number,t:wins-o:wins,t:losses,o:losses,t:losses-o:losses,t:matchup wins,o:matchup wins,t:matchup wins-o:matchup wins,t:matchup losses,o:matchup losses,t:rest,o:rest,t:rest-o:rest,(site='H'),t:WP,o:WP,t:WP-o:WP,(o:site='H'),(t:division=o:division),(p:division=po:division),(op:division=opo:division),(t:conference=o:conference),(p:conference=po:conference),(op:conference=opo:conference),n:rest,on:rest,(n:site='H'),(on:site='H'),(n:division=no:division),(n:conference=no:conference),(po:team=o:team),(o:team=no:team),streak,site streak,o:streak,o:site streak,(day='Monday'),(day='Tuesday'),(day='Wednesday'),(day='Thursday'),(day='Friday'),(day='Saturday'),(day='Sunday'),line,total,t:2ND PTS,t:2PA,t:2PM,t:2PP,t:AST RATIO,t:ATR,t:BAP,t:BL,t:BTP,t:DDS,t:DEFRTG,t:DRB,t:DREBP,t:EFGP,t:FBP,t:FGA,t:FGM,t:FGP,t:FTA,t:FTA RATE,t:FTM,t:FTP,t:LC,t:LSP,t:M1,t:M2,t:M3,t:NETRTG,t:OFFRTG,t:OPP EFGP,t:OPP FTA RATE,t:OPP OREBP,t:OPP TOP,t:ORB,t:OREBP,t:OT,t:PACE,t:PF2,t:PFGA 2PT,t:PFGA 3PT,t:PFT,t:PIE,t:PIP,t:PPTS 2PT,t:PPTS 2PT MR,t:PPTS 3PT,t:PPTS FBPS,t:PPTS FT,t:PPTS OFFTO,t:PPTS PITP,t:PTP,t:PTS OFF TO,t:REBP,t:TM TOP,t:TO,t:TO RATIO,t:TPA,t:TPM,t:TPP,t:TSP,t:TT,t:assists,t:bench points,t:blocks,t:fouls,t:margin,t:points,t:rebounds,t:rest,t:steals,t:team rebounds,o:2ND PTS,o:2PA,o:2PM,o:2PP,o:AST RATIO,o:ATR,o:BAP,o:BL,o:BTP,o:DDS,o:DEFRTG,o:DRB,o:DREBP,o:EFGP,o:FBP,o:FGA,o:FGM,o:FGP,o:FTA,o:FTA RATE,o:FTM,o:FTP,o:LC,o:LSP,o:M1,o:M2,o:M3,o:NETRTG,o:OFFRTG,o:OPP EFGP,o:OPP FTA RATE,o:OPP OREBP,o:OPP TOP,o:ORB,o:OREBP,o:OT,o:PACE,o:PF2,o:PFGA 2PT,o:PFGA 3PT,o:PFT,o:PIE,o:PIP,o:PPTS 2PT,o:PPTS 2PT MR,o:PPTS 3PT,o:PPTS FBPS,o:PPTS FT,o:PPTS OFFTO,o:PPTS PITP,o:PTP,o:PTS OFF TO,o:REBP,o:TM TOP,o:TO,o:TO RATIO,o:TPA,o:TPM,o:TPP,o:TSP,o:TT,o:assists,o:bench points,o:blocks,o:fouls,o:margin,o:points,o:rebounds,o:rest,o:steals,o:team rebounds
20141116,Warriors,Lakers,1,1,2014,1,10,10,7,1,0,6,2,8,-6,1,0,1,0,1,0,1,-1,0,77.77777777777779,11.11111111111111,66.66666666666667,1,1,0,0,1,0,1,4,1,1,0,0,1,0,0,2,3,-3,1,False,False,False,0,0,0,1,-8.0,210.5,10,58,32,55.172413793103445,21.5,2.0,69.6,38,46.458333333333336,7,111.7,40,64.1,61.6,26,86,46,53.5,34,0.395,30,88.2,1,30,11,19,36,17.9,129.5,40.9,0.434,35.9,6.7,11,0.0,0,104.0,47.05882352941176,67.4,32.6,22.058823529411764,63.2,54,47.1,7.4,30.9,19.1,22.1,12.5,39.7,30.88235294117647,15,0.0,15.1,16,15.2,28,14,50.0,67.4,2,32,49,5,26,21,136,51,0,4,6,25,83,36,43.373493975903614,12.0,2.4,43.6,2,45.05555555555556,5,129.5,28,0.0,40.9,20,99,39,39.4,43,0.434,34,79.10000000000001,1,44,-11,-19,-36,-17.9,111.7,61.6,0.395,33.3,15.1,20,35.9,0,104.0,62.60869565217392,83.8,16.2,29.565217391304348,36.8,38,62.6,29.6,7.8,17.4,29.6,13.0,33.0,7.82608695652174,17,0.0,6.7,7,6.8,16,3,18.8,48.8,2,17,44,4,27,-21,115,48,1,9,8
20141128,Warriors,Hornets,1,1,2014,1,15,17,12,4,-2,8,2,12,-10,1,0,1,0,1,1,1,0,0,85.71428571428571,25.0,60.71428571428571,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,-3,-7,2,False,False,False,0,1,0,0,-8.5,201.5,18,73,35,47.94520547945205,19.2,2.3,66.7,8,36.71967224498299,3,101.0,30,72.0,46.0,11,99,42,42.4,16,0.162,15,93.8,6,27,4,-6,-6,5.0,106.0,47.1,0.264,28.0,13.6,16,34.5,0,100.0,66.0377358490566,73.7,26.3,14.150943396226415,47.8,48,66.0,20.8,19.8,10.4,14.2,10.4,45.3,19.81132075471698,11,51.9,11.8,12,12.0,26,7,26.900000000000002,50.0,4,28,39,8,26,5,106,46,1,7,10,7,68,32,47.05882352941176,19.5,1.9,71.1,10,32.201388888888886,5,106.0,36,65.5,47.1,10,87,38,43.7,23,0.264,19,82.6,6,20,-4,6,6,-5.0,101.0,46.0,0.162,34.5,11.8,8,28.0,0,100.0,63.366336633663366,78.2,21.8,18.81188118811881,52.2,46,63.4,17.8,17.8,9.9,18.8,10.9,45.5,17.82178217821782,11,48.1,13.6,13,14.0,19,6,31.6,52.0,4,27,38,8,14,-5,101,44,1,4,11
20141202,Warriors,Magic,1,0,2014,1,17,20,14,7,-3,7,2,12,-10,1,0,1,0,1,1,1,0,1,87.5,36.84210526315789,50.65789473684211,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,9,-5,1,-2,False,True,False,0,0,0,0,-12.5,201.0,13,55,30,54.54545454545454,19.2,1.7,65.8,12,29.166666666666668,5,103.2,36,0.0,51.2,11,82,38,46.300000000000004,18,0.22,14,77.8,9,22,-1,10,-2,1.1,104.3,48.3,0.161,25.0,11.4,13,0.0,0,94.0,61.224489795918366,67.1,32.9,14.285714285714285,52.8,42,61.2,18.4,24.5,11.2,14.3,12.2,42.9,24.489795918367346,18,0.0,16.3,15,16.0,27,8,29.599999999999998,54.5,14,25,24,5,15,1,98,49,1,8,3,10,70,33,47.14285714285714,15.4,1.7,48.7,9,29.34027777777778,4,104.3,32,0.0,48.3,13,87,39,44.800000000000004,14,0.161,13,92.9,9,27,1,-10,2,-1.1,103.2,51.2,0.22,28.9,16.3,8,0.0,0,94.0,68.04123711340206,80.5,19.5,13.402061855670103,47.2,48,68.0,18.6,18.6,13.4,13.4,18.6,49.5,18.556701030927837,12,0.0,11.4,11,11.7,17,6,35.3,52.1,14,19,19,3,17,-1,97,40,1,11,5
20141210,Warriors,Rockets,1,0,2014,1,21,21,18,16,0,2,2,4,-2,1,0,1,0,1,1,3,-2,1,90.0,80.0,10.0,0,0,0,0,1,1,1,2,0,0,0,0,1,0,0,13,-2,4,1,False,False,True,0,0,0,0,-10.5,203.0,10,58,32,55.172413793103445,16.7,1.4,52.5,12,32.48611111111111,5,95.9,37,71.4,54.3,21,81,40,49.4,20,0.247,17,85.0,14,21,-7,0,-3,11.3,107.1,46.1,0.167,28.6,15.1,6,20.5,0,97.5,60.952380952380956,71.6,28.4,16.19047619047619,60.8,48,61.0,15.2,22.9,20.0,16.2,12.4,45.7,22.857142857142858,15,49.0,15.2,15,15.3,23,8,34.8,58.5,7,21,26,5,16,12,105,43,1,9,6,12,55,28,50.90909090909091,11.8,1.0,40.5,11,25.77777777777778,4,107.1,32,79.5,46.1,12,90,37,41.099999999999994,15,0.167,10,66.7,14,34,7,0,3,-11.3,95.9,54.3,0.247,20.5,15.2,12,28.6,0,97.5,60.215053763440864,61.1,38.9,10.75268817204301,39.2,50,60.2,6.5,29.0,12.9,10.8,16.1,53.8,29.03225806451613,13,51.0,15.1,15,15.5,35,9,25.7,48.1,7,15,5,2,17,-12,93,44,3,9,9
20141214,Warriors,Pelicans,1,1,2014,1,23,23,20,11,0,9,2,11,-9,1,0,1,0,1,0,1,-1,0,90.9090909090909,50.0,40.90909090909091,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,15,-1,1,1,False,False,False,0,0,0,1,-6.5,206.0,5,62,33,53.2258064516129,15.3,1.1,50.0,11,32.87843531853343,6,107.0,38,75.0,57.6,19,86,44,51.2,35,0.407,29,82.89999999999999,16,34,-3,9,0,4.3,111.3,50.5,0.248,25.0,12.3,8,22.2,1,103.7,51.5625,72.1,27.9,22.65625,54.1,52,51.6,10.9,25.8,14.8,22.7,10.2,40.6,25.78125,23,51.5,17.6,19,17.4,24,11,45.800000000000004,63.1,10,22,48,9,19,6,128,46,0,7,9,13,74,39,52.702702702702695,14.9,1.6,46.8,8,32.019115890083626,5,111.3,32,77.8,50.5,18,101,47,46.5,25,0.248,20,80.0,16,34,3,-9,0,-4.3,107.0,57.6,0.407,22.2,17.6,12,25.0,1,103.7,63.934426229508205,73.3,26.7,16.39344262295082,45.9,56,63.9,18.0,19.7,14.8,16.4,18.9,45.9,19.672131147540984,13,48.5,12.3,13,12.3,27,8,29.599999999999998,54.5,10,22,33,6,27,-6,122,44,1,14,8
20141218,Warriors,Thunder,1,1,2014,1,25,26,21,12,-1,9,3,13,-10,1,0,1,0,1,1,1,0,1,87.5,48.0,39.5,0,0,0,0,1,1,1,3,0,1,0,1,1,0,0,-1,-3,7,-1,False,False,False,1,0,0,0,-2.5,211.5,12,63,36,57.14285714285714,22.8,3.2,66.7,8,31.194444444444443,6,109.0,29,70.8,57.4,17,94,48,51.1,10,0.106,6,60.0,4,34,-8,2,5,5.0,114.0,54.1,0.279,29.2,15.3,10,0.0,0,100.0,63.1578947368421,67.0,33.0,5.263157894736842,57.2,52,63.2,17.5,31.6,14.9,5.3,14.0,45.6,31.57894736842105,10,0.0,10.2,9,10.0,31,12,38.7,57.9,4,32,29,7,15,5,114,39,1,9,7,12,61,30,49.18032786885246,13.1,1.1,41.5,17,41.142976182209566,4,114.0,35,0.0,54.1,9,86,41,47.699999999999996,24,0.279,16,66.7,4,33,8,-2,-5,-5.0,109.0,57.4,0.106,20.8,10.2,8,29.2,0,100.0,55.04587155963303,70.9,29.1,14.678899082568808,42.8,36,55.0,22.0,30.3,8.3,14.7,9.2,33.0,30.275229357798167,16,0.0,15.3,15,16.0,25,11,44.0,56.4,4,17,18,4,15,-5,109,43,1,5,14
20141222,Warriors,Kings,1,1,2014,1,26,28,22,12,-2,10,3,15,-12,1,0,1,0,1,3,0,3,1,88.0,44.44444444444444,43.55555555555556,0,1,0,1,1,1,1,0,3,0,1,1,1,0,0,1,1,1,5,True,False,False,0,0,0,0,-11.5,211.5,13,66,40,60.60606060606061,24.1,3.0,73.5,25,48.40972222222222,6,105.9,35,75.5,58.8,23,91,49,53.800000000000004,24,0.264,21,87.5,5,25,16,14,17,18.4,124.3,52.2,0.233,24.5,12.6,10,27.3,0,102.5,62.5,72.5,27.5,16.40625,59.1,66,62.5,10.9,21.1,18.0,16.4,10.2,51.6,21.09375,17,52.7,11.6,12,11.7,25,9,36.0,63.0,3,36,62,6,19,20,128,45,3,9,5,12,73,35,47.94520547945205,21.6,2.4,72.1,2,36.9375,6,124.3,30,72.7,52.2,24,90,43,47.8,21,0.233,14,66.7,5,22,-16,-14,-17,-18.4,105.9,58.8,0.264,27.3,11.6,9,24.5,0,102.5,64.81481481481481,81.1,18.9,12.962962962962962,40.9,46,64.8,22.2,22.2,22.2,13.0,15.7,42.6,22.22222222222222,13,47.3,12.6,13,12.7,17,8,47.099999999999994,54.4,3,31,39,5,17,-20,108,39,0,5,10
20141223,Warriors,Lakers,0,1,2014,1,27,28,23,8,-1,15,3,19,-16,2,0,2,0,2,0,1,-1,0,88.46153846153845,29.629629629629626,58.83190883190883,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,2,2,-3,-1,False,True,False,0,0,0,0,-9.0,215.0,8,58,27,46.55172413793103,15.2,1.0,51.3,6,47.95833333333333,5,117.3,28,63.0,53.6,11,84,39,46.400000000000006,17,0.202,15,88.2,3,22,-10,-15,-22,-10.2,107.1,58.4,0.191,37.0,16.1,11,32.6,0,98.0,51.42857142857142,69.0,31.0,14.285714285714285,41.9,42,51.4,11.4,34.3,10.5,14.3,23.8,40.0,34.285714285714285,23,47.8,19.9,19,20.4,26,12,46.2,57.4,4,20,48,2,18,-10,105,39,0,8,6,13,63,34,53.96825396825397,19.9,1.8,60.9,24,49.916666666666664,7,107.1,29,67.4,58.4,8,89,46,51.7,17,0.191,11,64.7,3,18,10,15,22,10.2,117.3,53.6,0.202,32.6,19.9,13,37.0,0,98.0,59.130434782608695,70.8,29.2,9.565217391304348,58.1,52,59.1,13.9,31.3,7.0,9.6,20.0,45.2,31.30434782608696,25,52.2,16.1,16,16.3,26,12,46.2,59.6,4,28,54,10,15,10,115,42,1,11,9
20141225,Warriors,Clippers,0,0,2014,1,28,30,23,19,-2,4,4,10,-6,1,0,1,0,1,1,1,0,0,85.18518518518519,65.51724137931035,19.66794380587484,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,-1,-1,-2,-2,False,False,False,1,0,0,0,1.5,218.5,8,52,28,53.84615384615385,18.5,1.5,70.6,11,30.34722222222222,6,102.0,36,68.4,46.3,8,80,34,42.5,22,0.275,12,54.50000000000001,4,15,2,1,-3,-13.4,88.7,44.3,0.356,31.6,12.7,8,0.0,0,97.5,65.11627906976744,65.0,35.0,13.953488372093023,46.5,36,65.1,23.3,20.9,9.3,14.0,16.3,41.9,20.930232558139537,14,0.0,16.4,16,16.5,28,6,21.4,47.9,3,24,24,4,21,-14,86,44,1,11,12,17,55,25,45.45454545454545,13.7,1.4,52.9,20,28.15776682174849,5,88.7,39,0.0,44.3,13,87,34,39.1,31,0.356,23,74.2,4,24,-2,-1,3,13.4,102.0,46.3,0.275,20.4,16.4,11,31.6,0,97.5,50.0,63.2,36.8,23.0,53.5,34,50.0,16.0,27.0,13.0,23.0,14.0,34.0,27.0,14,0.0,12.7,13,13.3,32,9,28.1,49.7,3,18,28,4,20,14,100,50,1,10,11
20141227,Warriors,Timberwolves,1,0,2014,1,29,29,23,5,0,18,5,23,-18,1,0,1,0,1,1,0,1,1,82.14285714285714,17.857142857142858,64.28571428571428,0,0,1,1,1,1,1,2,2,1,0,0,0,0,0,-2,-2,-7,-2,False,False,False,0,0,1,0,-18.0,216.0,14,60,30,50.0,22.0,2.0,78.0,27,43.41666666666667,6,92.4,34,72.0,52.8,24,88,41,46.6,21,0.239,17,81.0,6,25,8,10,21,10.4,102.8,49.4,0.468,28.0,23.8,9,23.4,0,106.0,54.54545454545454,68.2,31.8,15.454545454545453,59.1,40,54.5,18.2,30.0,21.8,15.5,32.7,36.4,30.0,17,48.5,15.3,16,15.0,28,11,39.300000000000004,56.6,3,32,40,6,21,13,110,43,1,17,8,10,58,26,44.827586206896555,19.7,1.2,85.3,5,42.15277777777778,4,102.8,34,76.6,49.4,19,77,34,44.2,36,0.468,21,58.3,6,17,-8,-10,-21,-10.4,92.4,52.8,0.239,23.4,15.3,13,28.0,0,106.0,53.608247422680414,75.3,24.7,21.649484536082475,40.9,34,53.6,18.6,24.7,19.6,21.6,17.5,35.1,24.742268041237114,36,51.5,23.8,24,23.8,19,8,42.1,52.2,3,29,41,5,18,-13,97,47,0,10,11
20150105,Warriors,Thunder,1,0,2014,1,32,35,26,17,-3,9,5,17,-12,2,0,2,0,2,2,2,0,1,83.87096774193549,50.0,33.87096774193549,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,3,3,2,2,True,False,False,0,0,0,0,-3.0,217.0,9,60,26,43.333333333333336,19.1,2.3,65.9,30,45.104166666666664,5,87.5,44,67.6,55.1,24,88,41,46.6,32,0.364,20,62.5,1,23,9,20,19,23.9,111.4,33.2,0.347,32.4,11.4,10,0.0,0,104.5,44.44444444444444,68.2,31.8,17.094017094017094,65.3,38,44.4,12.0,38.5,20.5,17.1,14.5,32.5,38.46153846153847,15,0.0,11.5,12,11.4,28,15,53.6,57.3,2,27,39,4,22,26,117,54,2,8,14,19,70,25,35.714285714285715,13.2,1.6,63.3,2,44.52083333333333,4,111.4,39,0.0,33.2,27,98,30,30.599999999999998,34,0.347,26,76.5,1,22,-9,-20,-19,-23.9,87.5,55.1,0.364,25.0,11.5,20,32.4,0,104.5,54.94505494505495,71.4,28.6,28.57142857142857,34.7,42,54.9,8.8,16.5,29.7,28.6,16.5,46.2,16.483516483516482,17,0.0,11.4,11,11.5,28,5,17.9,40.3,2,19,37,5,25,-26,91,59,2,10,8
