date,t:team,o:team,result,ou result,season,(P:season=season),t:game number,o:game number,t:wins,o:wins,t:game number-o:game number,t:wins-o:wins,t:losses,o:losses,t:losses-o:losses,t:matchup wins,o:matchup wins,t:matchup wins-o:matchup wins,t:matchup losses,o:matchup losses,t:rest,o:rest,t:rest-o:rest,(site='H'),t:WP,o:WP,t:WP-o:WP,(o:site='H'),(t:division=o:division),(p:division=po:division),(op:division=opo:division),(t:conference=o:conference),(p:conference=po:conference),(op:conference=opo:conference),n:rest,on:rest,(n:site='H'),(on:site='H'),(n:division=no:division),(n:conference=no:conference),(po:team=o:team),(o:team=no:team),streak,site streak,o:streak,o:site streak,(day='Monday'),(day='Tuesday'),(day='Wednesday'),(day='Thursday'),(day='Friday'),(day='Saturday'),(day='Sunday'),line,total,t:2ND PTS,t:2PA,t:2PM,t:2PP,t:AST RATIO,t:ATR,t:BAP,t:BL,t:BTP,t:DDS,t:DEFRTG,t:DRB,t:DREBP,t:EFGP,t:FBP,t:FGA,t:FGM,t:FGP,t:FTA,t:FTA RATE,t:FTM,t:FTP,t:LC,t:LSP,t:M1,t:M2,t:M3,t:NETRTG,t:OFFRTG,t:OPP EFGP,t:OPP FTA RATE,t:OPP OREBP,t:OPP TOP,t:ORB,t:OREBP,t:OT,t:PACE,t:PF2,t:PFGA 2PT,t:PFGA 3PT,t:PFT,t:PIE,t:PIP,t:PPTS 2PT,t:PPTS 2PT MR,t:PPTS 3PT,t:PPTS FBPS,t:PPTS FT,t:PPTS OFFTO,t:PPTS PITP,t:PTP,t:PTS OFF TO,t:REBP,t:TM TOP,t:TO,t:TO RATIO,t:TPA,t:TPM,t:TPP,t:TSP,t:TT,t:assists,t:bench points,t:blocks,t:fouls,t:margin,t:points,t:rebounds,t:rest,t:steals,t:team rebounds,o:2ND PTS,o:2PA,o:2PM,o:2PP,o:AST RATIO,o:ATR,o:BAP,o:BL,o:BTP,o:DDS,o:DEFRTG,o:DRB,o:DREBP,o:EFGP,o:FBP,o:FGA,o:FGM,o:FGP,o:FTA,o:FTA RATE,o:FTM,o:FTP,o:LC,o:LSP,o:M1,o:M2,o:M3,o:NETRTG,o:OFFRTG,o:OPP EFGP,o:OPP FTA RATE,o:OPP OREBP,o:OPP TOP,o:ORB,o:OREBP,o:OT,o:PACE,o:PF2,o:PFGA 2PT,o:PFGA 3PT,o:PFT,o:PIE,o:PIP,o:PPTS 2PT,o:PPTS 2PT MR,o:PPTS 3PT,o:PPTS FBPS,o:PPTS FT,o:PPTS OFFTO,o:PPTS PITP,o:PTP,o:PTS OFF TO,o:REBP,o:TM TOP,o:TO,o:TO RATIO,o:TPA,o:TPM,o:TPP,o:TSP,o:TT,o:assists,o:bench points,o:blocks,o:fouls,o:margin,o:points,o:rebounds,o:rest,o:steals,o:team rebounds
20141108,Wizards,Pacers,1,1,2014,1,7,7,4,1,0,3,2,5,-3,1,0,1,0,1,0,0,0,0,66.66666666666666,16.666666666666664,49.99999999999999,1,0,0,0,1,1,1,3,1,1,1,0,1,0,0,-1,-1,-5,-2,False,False,False,0,0,1,0,-3.5,183.5,11,70,37,52.85714285714286,18.0,1.6,59.0,22,37.26388888888889,5,95.7,36,77.1,49.4,5,81,39,48.1,23,0.284,17,73.9,4,18,18,19,8,8.6,104.3,48.1,0.325,22.9,18.4,13,31.1,0,93.5,76.28865979381443,86.4,13.6,17.525773195876287,64.8,48,76.3,26.8,6.2,5.2,17.5,22.7,49.5,6.185567010309279,17,54.8,15.2,14,15.1,11,2,18.2,53.2,0,23,35,4,25,7,97,49,0,8,5,16,53,25,47.16981132075472,9.4,0.6,33.3,1,37.46527777777778,3,104.3,30,68.9,48.1,13,77,33,42.9,25,0.325,16,64.0,4,28,-18,-19,-8,-8.6,95.7,49.4,0.284,31.1,15.2,8,22.9,0,93.5,55.55555555555556,68.8,31.2,17.77777777777778,35.2,34,55.6,17.8,26.7,14.4,17.8,18.9,37.8,26.666666666666668,22,45.2,18.4,18,19.1,24,8,33.300000000000004,51.1,0,11,26,3,24,-7,90,38,0,5,9
20141115,Wizards,Magic,1,0,2014,1,9,11,6,4,-2,2,2,6,-4,1,0,1,0,1,2,0,2,1,75.0,40.0,35.0,0,1,0,0,1,1,1,3,1,1,0,0,0,0,0,2,1,2,1,False,False,False,0,0,1,0,-9.0,194.5,11,74,39,52.702702702702695,23.1,2.6,73.8,12,45.41351295048955,6,102.2,31,72.7,51.8,14,84,42,50.0,16,0.19,11,68.8,1,16,7,10,7,6.7,108.9,51.9,0.231,27.3,16.3,9,0.0,0,90.5,79.59183673469387,88.1,11.9,11.224489795918368,60.1,46,79.6,32.7,9.2,14.3,11.2,15.3,46.9,9.183673469387756,13,0.0,12.8,11,13.3,10,3,30.0,53.8,1,31,48,8,16,5,98,40,2,5,8,13,61,30,49.18032786885246,12.2,0.9,37.8,2,22.833333333333332,5,108.9,31,0.0,51.9,9,78,37,47.4,18,0.231,12,66.7,1,19,-7,-10,-7,-6.7,102.2,51.8,0.19,29.5,12.8,9,27.3,0,90.5,64.51612903225806,78.2,21.8,12.903225806451612,39.9,38,64.5,23.7,22.6,9.7,12.9,14.0,40.9,22.58064516129032,15,0.0,16.3,15,16.5,17,7,41.199999999999996,54.1,1,14,13,2,21,-5,93,40,0,5,6
20141122,Wizards,Bucks,1,1,2014,1,12,14,8,7,-2,1,3,6,-3,1,0,1,0,1,0,0,0,0,72.72727272727273,53.84615384615385,18.881118881118887,1,0,0,0,1,1,1,2,2,1,1,1,1,0,0,1,4,-1,-2,False,False,False,0,0,1,0,-3.5,194.0,29,75,35,46.666666666666664,18.4,1.6,62.8,16,48.37499999999999,5,104.2,33,68.0,50.5,16,93,43,46.2,22,0.237,17,77.3,2,25,-7,-5,4,11.5,115.6,45.8,0.31,32.0,14.6,20,0.0,0,96.0,63.06306306306306,80.6,19.4,15.315315315315313,53.8,48,63.1,19.8,21.6,14.4,15.3,12.6,43.2,21.62162162162162,23,0.0,17.1,14,17.7,18,8,44.4,54.1,3,27,52,6,24,11,111,53,0,7,8,10,69,31,44.927536231884055,16.0,1.4,58.3,15,39.979166666666664,4,115.6,28,0.0,45.8,23,84,36,42.9,26,0.31,23,88.5,2,27,7,5,-4,-11.5,104.2,50.5,0.237,47.2,17.1,8,32.0,0,96.0,62.0,82.1,17.9,23.0,46.2,38,62.0,24.0,15.0,23.0,23.0,23.0,38.0,15.0,14,0.0,14.6,14,15.6,15,5,33.300000000000004,52.4,3,21,39,7,20,-11,100,36,0,11,9
20141126,Wizards,Cavaliers,0,0,2014,1,14,14,9,6,0,3,4,7,-3,1,0,1,0,1,0,1,-1,0,69.23076923076923,46.15384615384615,23.076923076923073,1,0,1,0,1,1,1,2,2,1,1,0,0,0,0,-1,1,1,2,False,False,True,0,0,0,0,7.0,200.0,10,58,28,48.275862068965516,19.6,1.3,72.7,2,44.638888888888886,4,124.2,19,65.8,50.0,2,71,33,46.5,22,0.31,16,72.7,1,23,-13,-12,-14,-28.6,95.6,55.4,0.514,34.2,10.7,7,25.6,0,91.0,64.36781609195403,81.7,18.3,18.39080459770115,32.2,40,64.4,18.4,17.2,2.3,18.4,8.0,46.0,17.24137931034483,24,45.5,19.6,18,19.8,13,5,38.5,53.9,3,24,41,5,28,-26,87,26,0,5,14,14,54,32,59.25925925925925,18.6,2.3,60.5,29,35.976668286924514,6,95.6,25,74.4,55.4,17,74,38,51.4,38,0.514,31,81.6,1,29,13,12,14,28.6,124.2,50.0,0.31,25.6,19.6,7,34.2,0,91.0,56.63716814159292,73.0,27.0,27.43362831858407,67.8,40,56.6,21.2,15.9,15.0,27.4,21.2,35.4,15.929203539823009,7,54.5,10.7,9,11.0,20,6,30.0,62.3,3,23,29,2,18,26,113,32,1,13,15
20141201,Wizards,Heat,1,1,2014,1,16,17,10,9,-1,1,5,7,-2,0,1,-1,1,0,1,0,1,1,66.66666666666666,56.25,10.416666666666657,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,-1,True,False,False,0,0,0,0,-4.5,190.0,14,53,29,54.71698113207547,23.1,2.1,74.4,25,50.56593292132491,4,95.6,35,82.6,61.1,16,72,39,54.2,24,0.333,19,79.2,0,23,8,15,15,24.7,120.2,47.2,0.417,17.4,12.3,7,0.0,0,89.5,54.20560747663551,73.6,26.4,17.75700934579439,67.7,40,54.2,16.8,28.0,15.0,17.8,11.2,37.4,28.037383177570092,7,0.0,15.6,12,15.7,19,10,52.6,64.8,4,29,54,3,23,21,107,42,1,7,9,4,50,31,62.0,11.1,1.1,36.4,0,46.958333333333336,3,120.2,26,0.0,47.2,12,72,33,45.800000000000004,30,0.417,18,60.0,0,21,-8,-15,-15,-24.7,95.6,61.1,0.333,25.7,15.6,7,17.4,0,89.5,72.09302325581395,69.4,30.6,20.930232558139537,32.3,36,72.1,30.2,7.0,14.0,20.9,8.1,41.9,6.976744186046512,12,0.0,12.3,11,12.2,22,2,9.1,50.5,4,12,27,2,20,-21,86,33,0,5,5
20141208,Wizards,Celtics,1,1,2014,1,20,19,13,7,1,6,6,11,-5,0,1,-1,1,0,0,0,0,1,68.42105263157895,38.88888888888889,29.532163742690052,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,-1,-1,3,3,True,False,False,0,0,0,0,-9.0,204.5,16,78,42,53.84615384615385,19.5,1.4,65.3,23,28.252873563218394,6,110.0,38,0.0,55.9,9,94,49,52.1,34,0.362,28,82.39999999999999,10,28,1,13,16,1.8,111.8,50.5,0.314,24.6,14.3,11,30.6,2,98.9,63.1578947368421,83.0,17.0,21.052631578947366,51.7,44,63.2,30.1,15.8,6.8,21.1,15.0,33.1,15.789473684210526,32,0.0,19.0,23,19.3,16,7,43.8,61.0,4,32,27,3,26,1,133,49,0,10,11,17,80,38,47.5,16.9,1.6,57.4,7,57.39325326130682,6,111.8,32,69.4,50.5,16,102,47,46.1,32,0.314,29,90.60000000000001,10,28,-1,-13,-16,-1.8,110.0,55.9,0.362,30.6,19.0,14,0.0,2,98.9,57.57575757575758,78.4,21.6,21.96969696969697,48.3,60,57.6,12.1,20.5,12.1,22.0,24.2,45.5,20.454545454545457,20,0.0,14.3,17,14.2,22,9,40.9,56.9,4,27,82,4,30,-1,132,46,0,17,3
20141210,Wizards,Magic,1,0,2014,1,21,24,14,9,-3,5,6,14,-8,2,0,2,0,2,1,3,-2,0,70.0,39.130434782608695,30.869565217391305,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,2,-6,False,False,True,0,0,0,0,-4.5,194.5,10,69,36,52.17391304347826,21.5,2.6,63.4,9,36.215277777777786,4,103.5,33,73.9,53.7,9,81,41,50.6,9,0.111,4,44.4,5,21,5,1,-8,1.1,104.6,49.4,0.107,26.1,11.1,8,0.0,0,86.5,79.12087912087912,85.2,14.8,4.395604395604396,55.0,38,79.1,37.4,16.5,9.9,4.4,14.3,41.8,16.483516483516482,12,0.0,11.5,9,11.5,12,5,41.699999999999996,53.6,6,26,32,5,13,2,91,41,1,5,7,11,69,31,44.927536231884055,11.7,1.3,34.2,9,37.8125,5,104.6,31,0.0,49.4,14,84,38,45.2,9,0.107,6,66.7,5,17,-5,-1,8,-1.1,103.5,53.7,0.111,24.4,11.5,8,26.1,0,86.5,69.66292134831461,82.1,17.9,6.741573033707865,45.0,42,69.7,22.5,23.6,15.7,6.7,13.5,47.2,23.595505617977526,13,0.0,11.1,8,11.6,15,7,46.7,50.6,6,13,30,7,12,-2,89,39,3,7,7
20141219,Wizards,Heat,1,1,2014,1,25,27,18,12,-2,6,6,14,-8,1,1,0,1,1,2,1,1,0,75.0,46.15384615384615,28.846153846153847,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,5,3,-1,1,False,False,False,0,1,0,0,-5.5,190.0,22,65,36,55.38461538461539,19.0,2.7,61.5,8,41.88194444444445,4,117.0,23,71.1,51.3,8,79,39,49.4,33,0.418,24,72.7,18,20,4,-1,-3,2.3,119.3,59.3,0.253,28.9,17.0,13,0.0,0,88.0,68.57142857142857,82.3,17.7,22.857142857142858,52.6,42,68.6,28.6,8.6,7.6,22.9,17.1,40.0,8.571428571428571,16,0.0,10.1,9,10.2,14,3,21.4,56.1,6,24,47,3,17,2,105,36,2,6,11,11,56,31,55.35714285714286,18.1,1.4,55.0,8,36.72916666666667,4,119.3,29,0.0,59.3,10,75,40,53.300000000000004,19,0.253,14,73.7,18,28,-4,1,3,-2.3,117.0,51.3,0.418,34.1,10.1,5,28.9,0,88.0,60.19417475728155,74.7,25.3,13.592233009708737,47.4,40,60.2,21.4,26.2,9.7,13.6,15.5,38.8,26.21359223300971,18,0.0,17.0,15,18.2,19,9,47.4,61.8,6,22,27,3,27,-2,103,34,1,7,8
20141225,Wizards,Knicks,1,0,2014,1,28,31,19,5,-3,14,8,25,-17,1,0,1,0,1,1,3,-2,0,70.37037037037037,16.666666666666664,53.7037037037037,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,-2,2,-5,-1,False,False,False,1,0,0,0,-5.5,193.0,6,70,37,52.85714285714286,19.9,2.5,56.8,22,37.90277777777778,6,103.4,32,76.1,55.2,12,86,44,51.2,10,0.116,7,70.0,0,24,11,16,14,13.8,117.2,47.5,0.238,23.9,10.8,13,0.0,0,87.5,72.54901960784314,81.4,18.6,6.862745098039216,56.1,50,72.5,23.5,20.6,11.8,6.9,8.8,49.0,20.588235294117645,6,0.0,11.4,10,11.5,16,7,43.8,56.4,1,25,36,3,20,11,102,45,1,4,4,11,58,32,55.172413793103445,14.7,1.7,47.2,0,40.416666666666664,3,117.2,30,0.0,47.5,7,80,36,45.0,19,0.238,15,78.9,0,34,-11,-16,-14,-13.8,103.4,55.2,0.116,29.5,11.4,6,23.9,0,87.5,70.32967032967034,72.5,27.5,16.483516483516482,43.9,30,70.3,37.4,13.2,7.7,16.5,6.6,33.0,13.186813186813188,9,0.0,10.8,7,11.4,22,4,18.2,51.5,1,17,25,4,15,-11,91,36,3,5,8
20141227,Wizards,Celtics,1,0,2014,1,29,28,20,10,1,10,8,17,-9,1,1,0,1,1,1,0,1,1,71.42857142857143,37.03703703703704,34.39153439153439,0,0,0,1,1,1,1,1,3,0,1,0,0,0,0,1,-1,-3,1,False,False,False,0,0,1,0,-10.0,203.5,10,77,40,51.94805194805194,19.9,1.6,62.2,24,49.36462745642663,5,88.0,39,0.0,52.8,12,90,45,50.0,10,0.111,6,60.0,0,18,18,17,17,12.0,100.0,44.3,0.304,16.3,18.1,9,30.4,0,100.5,79.20792079207921,85.6,14.4,5.9405940594059405,60.4,44,79.2,35.6,14.9,11.9,5.9,21.8,43.6,14.85148514851485,19,0.0,17.4,18,17.8,13,5,38.5,53.5,1,28,52,4,24,13,101,48,1,11,10,12,55,26,47.27272727272727,13.6,0.9,53.1,0,53.56894875711708,5,100.0,28,69.6,44.3,21,79,32,40.5,24,0.304,18,75.0,0,23,-18,-17,-17,-12.0,88.0,52.8,0.111,30.4,17.4,8,0.0,0,100.5,59.09090909090909,69.6,30.4,20.454545454545457,39.6,34,59.1,20.5,20.5,23.9,20.5,21.6,38.6,20.454545454545457,22,0.0,18.1,18,18.0,24,6,25.0,49.1,1,17,45,2,15,-13,88,36,0,10,8
