sec,t1 success,t2 success,N t1 wp,N t1 accordance,line A diff,line B diff,N t2 wp,N t2 accordance,N t2 O(1)/U(0),TOTAL A diff,TOTAL B diff,diff line,DIFF total
20191028,0,1,66.15384615,1,7.013224796,8.906933856,59.23076923,1,0,-8.821194396,-5.482002968,-1.89370906,-3.339191428
20191028,0,1,66.15384615,1,-5.817831952,-3.704988248,61.53846154,1,0,-2.341944791,1.713351522,-2.112843704,-4.055296313
20191028,1,1,63.07692308,1,-8.835564457,-7.495668738,67.69230769,1,0,-0.399924898,3.161315922,-1.339895719,-3.56124082
20191029,1,1,76.92307692,1,3.788728453,7.244125343,61.53846154,1,0,-1.064413153,1.072244181,-3.455396891,-2.136657334
20191029,0,0,67.69230769,1,0.015002379,2.03094829,56.15384615,1,0,3.739364449,4.745451412,-2.015945911,-1.006086963
20191030,1,0,70,1,-10.2106353,-7.908643554,70.76923077,1,0,-4.916992425,0.968188616,-2.301991747,-5.885181041
20191030,1,0,54.61538462,0,-6.757227439,-5.864844042,52.30769231,0,1,0.447194534,-0.345597991,-0.892383397,0.792792526
20191030,1,0,64.61538462,1,-1.02101153,0.454000446,51.53846154,0,1,-0.074874068,-0.460621594,-1.475011977,0.385747526
20191030,1,0,64.61538462,1,-14.65746455,-12.17190665,53.07692308,0,0,-7.026383398,-6.79725121,-2.485557893,-0.229132189
20191030,1,0,64.61538462,1,1.195179274,2.467683485,53.07692308,1,1,13.08968978,10.47204341,-1.272504211,2.617646363
20191030,0,0,66.92307692,1,-4.375601744,-1.883781543,63.07692308,1,0,-4.289325378,-0.645072714,-2.491820201,-3.644252665
20191030,1,0,79.23076923,1,-0.391448958,2.953135444,59.23076923,1,0,3.836785485,6.330901046,-3.344584403,-2.494115561
20191030,1,1,59.23076923,1,2.921193662,4.304275241,56.92307692,1,0,-5.722966935,-3.619753864,-1.383081579,-2.103213071
20191030,1,1,60,1,-2.883480577,-1.25294915,62.30769231,1,0,-3.440625983,-0.78998899,-1.630531427,-2.650636993
20191030,0,0,54.61538462,1,9.240264961,8.51790778,66.92307692,1,0,-12.74060545,-8.404251578,0.722357181,-4.336353867
20191031,0,1,55.38461538,1,-6.270630431,-5.372113503,50.76923077,0,0,-7.479348496,-7.162467352,-0.898516928,-0.316881144
20191031,1,1,52.30769231,0,5.554548195,6.381920935,63.84615385,1,0,0.334075464,3.934046169,-0.82737274,-3.599970704
20191031,0,1,71.53846154,1,-3.086590626,-0.049363669,51.53846154,1,1,-3.308618339,-5.789921258,-3.037226957,2.481302919
20191101,0,1,74.61538462,1,2.416160314,4.917024532,66.92307692,1,0,-0.425618101,4.381838938,-2.500864218,-4.807457039
20191101,0,1,60,1,-0.232647188,0.928074648,66.92307692,1,0,-0.557979563,4.400213757,-1.160721836,-4.958193321
20191101,0,1,63.84615385,1,-10.32224834,-7.671077505,65.38461538,1,0,-2.057912384,2.374764128,-2.651170833,-4.432676512
20191101,0,0,52.30769231,1,-5.139800805,-4.500292343,51.53846154,1,0,6.093739538,6.637680933,-0.639508462,-0.543941395
20191101,1,1,56.92307692,1,-3.423435677,-1.72142311,56.92307692,1,0,-16.43539278,-15.05984661,-1.702012567,-1.375546174
20191101,1,0,56.92307692,1,-11.03769322,-10.17006072,52.30769231,0,1,11.18074595,9.903872254,-0.867632501,1.276873691
