date,X01-a,X01-b,X02-a,X02-b,Z01-a,Z01-b,Z02-a,Z02-b,Z03-a,Z03-b,Z04-a,Z04-b,Z05-a,Z05-b,Y01-a,Y01-b,Y02-a,Y02-b,Y03-a,Y03-b,T01-a,T01-b
2021-11-20,15.0641,13.99572,0,0,1.33096,1.06477,1.50289,2.65895,15.25111,10.14428,4.36808,4.77577,2.58531,6.82523,5.32948,20.05775,1.48247,0.94339,6.9264,1.08225,1.70138,1.07638
2021-11-21,9.08119,12.82051,0,0,0.79858,0.44365,0.80924,0.80924,13.88434,9.28601,5.06697,5.76587,2.99896,7.89382,4.35809,20.50406,1.75202,1.61725,3.67965,0,1.18055,1.18055
2021-11-22,16.34615,32.79914,0,31.57894,3.19432,3.90417,4.16184,8.55491,31.13808,28.00726,10.07571,10.4834,5.96346,13.09893,13.17931,27.6713,6.469,4.98652,17.96536,6.70995,9.16666,4.27083
2021-11-23,21.26068,39.95726,42.10526,31.57894,3.28305,3.46051,6.47398,5.66473,31.11147,26.4466,10.4834,9.4933,6.20475,9.44501,13.02179,25.30847,6.06469,3.63881,21.21212,3.67965,7.11805,3.29861
2021-11-24,19.44444,25.21367,52.63157,31.57894,4.17036,3.7267,4.62427,6.35838,29.58407,25.06558,8.7944,7.68782,5.2051,8.96242,11.26279,26.77868,8.35579,2.02156,10.17316,2.5974,5.03472,2.91666
2021-11-25,17.41452,26.38888,31.57894,36.8421,3.01685,1.95208,4.50867,5.31791,31.60571,24.72341,10.01747,9.31857,5.92899,10.23784,13.78314,24.44211,9.56873,2.83018,13.85281,3.8961,5.9375,3.29861
2021-11-26,22.64957,34.18803,26.31578,0,14.28571,1.59716,31.09826,5.54913,32.26533,27.97494,13.27897,17.47233,7.85935,19.61392,18.03622,22.2368,14.28571,5.25606,22.29437,6.4935,5.76388,3.19444
2021-11-27,16.34615,14.85042,26.31578,0,12.15616,0.53238,16.18497,2.19653,18.11485,13.63437,6.523,16.65695,3.86073,16.23578,17.37988,18.5613,11.45552,3.77358,14.06926,1.94805,1.5625,1.04166
2021-11-28,16.45299,12.60683,0,0,5.59006,0.53238,7.86127,1.61849,16.13694,10.98638,5.5329,20.79207,3.27473,18.78662,13.38934,19.24389,15.76819,7.54716,15.15151,4.11255,1.11111,1.21527
2021-11-29,27.99145,22.22222,42.10526,52.63157,12.42236,1.95208,12.48554,5.0867,32.89928,36.07383,9.43506,22.07338,5.58428,17.82144,25.70228,25.33473,27.7628,11.05121,53.8961,7.7922,5.55555,4.09722
2021-11-30,33.547,29.70085,36.8421,73.68421,47.55989,2.04081,72.36994,5.66473,32.94015,49.62551,8.5032,31.33372,5.03274,42.43364,42.68836,27.93384,40.83557,21.96765,75.32467,8.658,5.27777,3.47222
2021-12-01,22.97008,27.99145,0,68.42105,10.29281,2.5732,12.36994,7.74566,34.97889,35.1015,11.70646,14.61852,6.92864,19.4071,28.61643,28.56392,28.16711,14.42048,23.59307,13.63636,5.76388,2.98611
2021-12-02,22.54273,28.84615,63.15789,26.31578,4.88021,2.83939,6.7052,5.78034,32.11515,30.46135,12.98776,11.06581,7.687,13.58152,24.41585,25.20346,14.95956,6.73854,14.71861,5.41125,8.64583,2.60416
2021-12-03,19.3376,25.8547,36.8421,42.10526,1.95208,1.1535,3.3526,4.04624,26.94654,25.13876,7.5131,7.68782,4.44674,11.09962,12.99553,23.68075,9.7035,4.58221,7.7922,7.7922,5.41666,2.36111
2021-12-04,18.26923,26.92307,0,0,4.88021,1.1535,3.58381,1.50289,16.39071,12.72478,3.61094,5.29994,2.13719,8.72113,11.26279,22.63061,5.92991,2.15633,3.8961,1.2987,1.31944,0.97222
2021-12-05,13.46153,16.88034,0,26.31578,2.12954,0.88731,1.38728,0.57803,12.70767,9.20522,3.37798,8.61968,1.99931,10.1689,10.1864,22.1843,5.25606,2.56064,6.4935,1.2987,1.59722,0.9375
2021-12-06,26.38888,29.59401,26.31578,68.42105,4.17036,1.95208,4.39306,3.3526,26.68326,28.04718,8.21199,10.25043,4.86039,11.37538,19.6377,28.56392,15.90296,3.90835,14.71861,10.38961,5.38194,2.74305
2021-12-07,34.72222,28.95299,57.89473,57.89473,3.28305,2.04081,4.85549,4.73988,26.27742,25.85731,8.38672,9.55154,4.9638,10.30679,17.79994,28.59018,12.39892,4.85175,6.27705,8.2251,5.3125,3.15972
2021-12-08,32.58547,38.14102,31.57894,31.57894,2.12954,3.10559,3.81502,3.12138,26.40288,25.99988,10.07571,8.27023,5.96346,11.2375,19.50643,28.61643,18.46361,4.85175,9.0909,8.87445,5.38194,2.60416
2021-12-09,42.52136,47.11538,73.68421,89.47368,2.307,1.86335,3.00578,3.58381,25.68053,24.78804,11.7647,6.11531,6.96311,11.58221,14.99081,30.29666,10.24258,3.2345,12.12121,8.00865,4.93055,2.29166
2021-12-10,18.91025,25.53418,31.57894,52.63157,2.66193,1.68589,4.50867,2.31213,23.47831,24.24533,6.58124,8.56144,3.8952,9.03136,14.88579,25.75479,8.7601,3.2345,11.68831,6.0606,6.31944,1.73611
2021-12-11,10.04273,17.41452,0,31.57894,0.79858,0.53238,1.04046,1.61849,12.21248,9.87244,4.30984,4.01863,2.55084,6.20475,5.61827,20.66159,3.09973,0,1.7316,1.2987,1.66666,1.14583
2021-12-12,10.25641,12.60683,0,26.31578,0,0.97604,0.80924,1.04046,11.75246,8.82789,3.84391,5.12521,2.27507,8.58324,7.16723,22.15804,2.15633,1.61725,1.2987,1.7316,1.49305,0.9375
2021-12-13,20.29914,25,31.57894,57.89473,2.39574,2.92812,5.20231,1.96531,22.93369,24.34513,6.40652,8.44496,3.79179,9.41054,17.90496,29.43029,11.85983,3.50404,6.4935,2.38095,5.52083,2.67361
2021-12-14,22.00854,29.38034,73.68421,42.10526,4.88021,2.39574,4.85549,2.08092,23.23784,25.35072,8.38672,8.21199,4.9638,8.41089,14.33447,27.40876,5.66037,2.83018,8.658,3.0303,5.83333,2.53472
2021-12-15,15.81196,19.23076,42.10526,94.73684,2.04081,3.37178,3.69942,3.81502,22.61243,24.40596,9.43506,8.67792,5.58428,8.44536,11.57784,25.04594,7.00808,2.69541,5.84415,7.3593,5.45138,2.36111
2021-12-16,21.47435,27.77777,100,52.63157,2.12954,2.5732,2.89017,2.19653,23.69501,24.06664,6.87245,7.04717,4.06756,7.687,10.974,24.33709,5.92991,3.36927,4.7619,13.85281,4.96527,2.1875
2021-12-17,15.9188,35.79059,42.10526,78.94736,2.5732,1.24223,3.23699,1.96531,21.19339,22.52024,8.32847,6.81421,4.92933,7.41123,9.71383,21.31793,6.06469,1.88679,5.6277,9.5238,3.95833,2.1875
2021-12-18,8.11965,15.0641,0,26.31578,0.97604,0.62111,0.69364,2.31213,11.25346,9.51792,4.48456,3.90215,2.65425,6.99758,5.0932,14.51824,0.94339,0.80862,1.08225,6.70995,1.14583,0.97222
2021-12-19,7.90598,17.30769,0,0,0.97604,0.62111,1.27167,1.7341,11.57852,7.87742,4.95049,4.5428,2.93002,8.89348,5.17196,18.03622,2.69541,1.3477,4.329,3.67965,1.14583,0.59027
2021-12-20,20.51282,32.6923,42.10526,26.31578,12.68855,2.5732,16.87861,1.84971,25.4182,27.56529,13.97786,12.52184,8.273,17.02861,15.38461,22.31556,13.47708,2.2911,10.82251,7.7922,5.06944,2.25694
2021-12-21,21.047,34.18803,36.8421,68.42105,4.96894,2.39574,4.16184,3.3526,25.96186,25.34596,12.58008,10.71636,7.4457,8.68665,14.2032,22.84064,18.86792,1.75202,8.658,8.658,5.65972,2.74305
2021-12-22,12.5,31.51709,0,0,2.5732,0.88731,1.7341,2.19653,23.6684,23.19602,9.14385,5.29994,5.41192,7.03205,9.55631,19.37516,5.39083,4.98652,5.6277,15.80086,6.18055,2.56944
2021-12-23,13.24786,24.46581,0,26.31578,1.95208,2.307,1.84971,2.89017,23.01638,22.37957,8.32847,9.90099,4.92933,7.34229,9.39879,22.36807,4.58221,2.69541,3.8961,24.45887,4.89583,2.39583
2021-12-24,10.89743,23.07692,42.10526,42.10526,0.79858,2.04081,2.31213,1.15606,20.52522,20.73242,7.68782,8.61968,4.55015,6.72182,8.66369,18.6138,5.12129,3.2345,6.27705,35.93073,5.20833,2.39583
2021-12-25,5.87606,11.11111,0,0,0,0.44365,0,0.57803,10.91605,8.30608,2.50436,6.29004,1.48224,6.17028,4.56812,14.25571,2.42587,2.69541,3.0303,30.73593,1.28472,0.625
2021-12-26,8.65384,9.61538,0,0,0.70984,0.53238,0.69364,0.92485,12.42919,8.32129,3.08677,9.31857,1.82695,6.96311,4.38435,17.8262,2.56064,4.71698,1.08225,30.51948,1.63194,1.31944
