date,X01-a,X01-b,X02-a,X02-b,Z01-a,Z01-b,Z02-a,Z02-b,Z03-a,Z03-b,Z04-a,Z04-b,Z05-a,Z05-b,Y01-a,Y01-b,Y02-a,Y02-b,Y03-a,Y03-b,T01-a,T01-b
2017-01-01,0.03027,0.01842,0,0,0,0,0,0,4.10576,1.21244,3.51823,1.66923,3.11646,3.2302,0.02244,0.0722,0,0,0,0.17957,0.27777,0.3125
2017-01-02,0.06976,0.05923,0,0,0.31762,0,0,0.60501,8.11543,7.1234,8.08936,1.82331,7.1656,5.80072,0.05513,0.15124,0,0.10795,0.30785,0.56439,3.09027,1.52777
2017-01-03,0.06055,0.06976,8.57142,15.71428,0.4235,0,0.25929,0.47536,8.23034,3.89865,8.93682,2.13148,7.91628,6.50591,0.07171,0.17319,0.20049,0.10795,0.20523,0.59004,2.63888,1.66666
2017-01-04,0.10136,0.10268,8.57142,7.14285,0.47644,0,0,0.60501,8.19723,4.01162,8.14072,1.4381,7.2111,6.09645,0.06098,0.1649,0.2776,0.09253,0.17957,0.82093,2.46527,1.31944
2017-01-05,0.11321,0.08556,11.42857,11.42857,0.4235,0.26469,0.34572,1.08038,10.91201,3.9217,12.24961,1.61787,10.85077,4.73157,0.05317,0.18393,0.07711,0.26218,0.17957,0.71831,3.26388,1.52777
2017-01-06,0.09741,0.08819,11.42857,0,0.26469,0,0,0.60501,9.54342,3.9837,8.91114,1.66923,7.89353,5.16378,0.06781,0.18344,0.10795,0.12338,0.59004,0.46177,2.70833,1.63194
2017-01-07,0.03422,0.05528,0,0,0,0,0,0.25929,4.48913,1.31859,3.21006,0.82177,2.84349,3.91264,0.03951,0.11953,0,0.07711,0,0.15392,0.625,0.20833
2017-01-08,0.0408,0.03817,0,0,0,0.26469,0.34572,0,4.54788,1.32995,3.74935,1.33538,3.3212,3.59417,0.03415,0.11221,0.09253,0,0,0.25654,0.45138,0.3125
2017-01-09,0.07503,0.07108,0,8.57142,0,0,0.25929,0.47536,9.07532,3.77465,7.62711,1.84899,6.75614,7.41583,0.06635,0.1849,0.2776,0.21591,0.38481,0.41046,2.77777,1.5625
2017-01-10,0.10926,0.07371,10,8.57142,0.52938,0.31762,0.56179,0.3025,9.27269,3.92364,6.67693,1.56651,5.91446,5.84622,0.06391,0.15709,0,0,0.51308,0.28219,2.8125,1.73611
2017-01-11,0.13164,0.13295,8.57142,0,0.26469,0.95288,0,1.77182,9.66223,4.37876,5.72675,2.00308,5.07279,13.12556,0.13075,0.20491,0.60148,0.69401,0.56439,0.64135,3.26388,1.97916
2017-01-12,0.14217,0.10136,8.57142,10,0.4235,0.847,0.43215,0.8643,11.01524,4.52062,11.45351,2.05444,10.14558,13.17106,0.12831,0.21027,0.67859,0.26218,0.48742,0.41046,2.56944,1.52777
2017-01-13,0.08161,0.07371,10,10,0.47644,0.52938,0.43215,0.90751,10.22706,4.03564,9.50179,1.3097,8.41674,8.57597,0.07708,0.16441,0.35471,0.07711,0.25654,0.51308,2.98611,0.86805
2017-01-14,0.02896,0.03422,0,7.14285,0.47644,0,0,0.25929,4.97119,1.35105,3.46687,0.69337,3.07097,4.3676,0.03317,0.10391,0,0,0,0,0.34722,0.24305
2017-01-15,0.03422,0.04475,0,0,0,0,0.21607,0.3025,4.60599,1.32086,4.05752,1.02722,3.59417,5.25477,0.02244,0.10684,0.10795,0,0,0,0.72916,0.59027
2017-01-16,0.08688,0.08951,12.85714,8.57142,0.4235,0.63525,0.73465,0.95073,9.07987,4.24956,5.18746,1.28402,4.59508,9.46314,0.07806,0.25516,0.37014,0.09253,0.667,0.35915,2.46527,1.35416
2017-01-17,0.08161,0.0803,18.57142,11.42857,0.31762,0.26469,0.34572,0.3025,9.46908,3.86586,8.11504,1.07858,7.18835,9.84986,0.06244,0.17124,0.24676,0.30845,0.59004,0.25654,3.19444,1.49305
2017-01-18,0.11189,0.09083,17.14285,8.57142,0.847,0,0.43215,0.95073,11.18176,4.0074,10.11813,1.02722,8.96269,5.73248,0.07269,0.16197,0.09253,0,0.15392,0.28219,2.70833,1.38888
2017-01-19,0.07371,0.11321,17.14285,14.28571,0.4235,0,0.21607,0.51858,9.34313,3.88988,8.08936,0.97586,7.1656,5.20928,0.06,0.16246,0.10795,0.1388,0,0.82093,2.63888,1.90972
2017-01-20,0.0803,0.06055,0,0,0.31762,0.37056,0.25929,0.69144,8.46472,3.47275,9.24499,0.82177,8.18926,4.57233,0.05073,0.14197,0.09253,0.07711,0.12827,0.3335,1.5625,2.04861
2017-01-21,0.01974,0.02764,0,0,0,0,0,0.21607,4.75304,1.22867,3.59527,0.56497,3.18471,4.11737,0.02,0.10245,0.09253,0,0,0,0.59027,0
2017-01-22,0.02501,0.02764,0,0,0.26469,0,0,0,4.1564,1.21017,3.23574,0.74473,2.86624,4.4131,0.02341,0.12782,0.09253,0,0,0,0.24305,0.3125
2017-01-23,0.08161,0.0803,12.85714,15.71428,0.37056,0,0.8643,0.95073,9.24705,3.65519,7.98664,1.07858,7.07461,7.27934,0.05903,0.15612,0.2776,0,0.53873,0.59004,2.1875,1.70138
2017-01-24,0.09214,0.08688,0,10,0.37056,0,0.8643,0.51858,9.35514,3.71459,20.74987,1.46379,18.38034,5.66424,0.05903,0.29858,0.29302,0.16964,0.23088,0.59004,2.53472,1.94444
2017-01-25,0.07371,0.09873,12.85714,8.57142,0.58231,0.26469,0.3025,0.21607,8.29786,3.52534,15.61376,0.82177,13.83075,5.89171,0.04098,0.17954,0.2776,0.07711,0.38481,0.51308,1.73611,2.11805
2017-01-26,0.04607,0.0566,8.57142,10,0.63525,0,0.21607,0.69144,8.18295,3.58864,16.3585,1.02722,14.49044,7.50682,0.05171,0.21271,0.30845,0.07711,0.17957,0.38481,1.77083,1.90972
2017-01-27,0.05265,0.03422,0,0,0.847,0,0,0.21607,4.28527,1.40981,3.80071,0.48793,3.36669,2.54777,0.01951,0.21369,0,0,0,0,0.41666,0.45138
2017-01-28,0.02764,0.01711,0,0,0.37056,0,0,0,3.78373,1.11343,3.9548,0.77041,3.50318,2.93448,0.01463,0.14294,0,0,0,0,0.38194,0.17361
2017-01-29,0.0408,0.02896,0,0,0.26469,0,0,0,3.92722,1.27444,4.03184,1.07858,3.57142,3.3212,0.01561,0.1649,0.07711,0.10795,0,0,0.20833,0.24305
2017-01-30,0.06187,0.03027,0,0,0.4235,0,0.21607,0,5.3867,1.87661,5.75243,1.48947,5.09554,4.77707,0.0239,0.15856,0,0,0.28219,0,0.72916,0.90277
2017-01-31,0.17903,0.10794,12.85714,8.57142,0.68819,0.52938,0.64822,0.69144,10.35821,4.21905,10.96558,1.41242,9.71337,9.05368,0.06781,0.19856,0.23133,0.10795,0,0.53873,3.05555,2.60416
2017-02-01,0.25275,0.09873,28.57142,7.14285,0.95288,0,0.25929,0.77787,10.20759,4.12199,17.5398,1.56651,15.53685,8.12101,0.0522,0.1888,0.29302,0.09253,0,0.46177,3.09027,2.74305
2017-02-02,0.22247,0.09609,28.57142,7.14285,1.11169,0.37056,1.12359,0.25929,12.10303,5.0004,44.27324,1.59219,39.21747,9.00818,0.06683,0.17514,0.46267,0.10795,0.41046,0.76962,3.85416,3.64583
2017-02-03,0.12637,0.12242,14.28571,14.28571,0.74113,0,0.21607,0,11.14184,4.00123,34.38623,1.59219,30.4595,6.6424,0.05415,0.25662,0.32387,0,0.48742,0.56439,2.91666,2.29166
2017-02-04,0.08293,0.05265,0,0,0.47644,0,0,0.3025,4.92379,1.64223,8.26913,1.25834,7.32484,3.70791,0.02439,0.1449,0.07711,0.09253,0,0.15392,0.83333,0.76388
2017-02-05,0.06318,0.05792,0,10,0.63525,0,0,0,5.02799,1.50817,7.72984,1.41242,6.84713,4.73157,0.02536,0.13904,0,0,0.20523,0,0.59027,0.69444
2017-02-06,0.08293,0.0803,20,14.28571,0.4235,0,0.21607,0.56179,10.50818,3.98695,41.83359,1.36106,37.05641,10.66878,0.05415,0.18783,0.21591,0.09253,0.12827,0.56439,3.33333,2.15277
2017-02-07,0.129,0.13164,18.57142,11.42857,0.847,0.26469,0.64822,0,10.30984,3.83178,15.87057,1.4381,14.05823,6.82438,0.07318,0.19076,0.16964,0,0.64135,0.59004,2.84722,2.22222
2017-02-08,0.15138,0.13559,28.57142,14.28571,1.5352,0,1.21002,0.51858,8.86043,4.07135,9.6302,1.23266,8.53048,7.80254,0.08977,0.1849,0.43183,0.1388,0.38481,0.6157,3.26388,1.42361
2017-02-09,0.12505,0.15533,0,20,0.79407,0,0.56179,0.73465,7.89372,3.77562,20.67282,1.0529,18.3121,4.95905,0.06,0.20393,0.15422,0.07711,0,0.46177,2.88194,1.875
2017-02-10,0.11189,0.11321,10,0,1.05876,0.31762,0.3025,1.08038,7.86255,3.72985,14.56086,1.12994,12.89808,4.43585,0.04244,0.16295,0.07711,0.10795,0,0.6157,2.70833,1.45833
2017-02-11,0.04607,0.05923,0,7.14285,0.58231,0,0.38893,0.21607,4.22586,1.328,5.11042,0.53929,4.52684,3.38944,0.02244,0.10489,0.10795,0,0,0,0.97222,0.55555
2017-02-12,0.06187,0.04212,0,0,0.79407,0,0,0,4.32747,1.33969,6.9851,1.12994,6.18744,4.11737,0.02536,0.08635,0.15422,0,0,0,0.9375,0.27777
2017-02-13,0.10136,0.10136,7.14285,14.28571,1.00582,0,0.47536,0.77787,8.52639,3.8097,13.32819,1.0529,11.80618,5.93721,0.04732,0.15758,0.1388,0,0,0.20523,3.05555,1.97916
2017-02-14,0.07108,0.11321,7.14285,17.14285,0.79407,0.26469,0.25929,0.34572,22.30251,3.84639,18.13045,1.41242,16.06005,4.54959,0.06147,0.16441,0.12338,0,0,0.12827,2.95138,1.90972
2017-02-15,0.11321,0.10662,10,11.42857,1.21757,0,0.21607,0.73465,12.94054,4.01973,14.6379,1.28402,12.96633,5.25477,0.05854,0.17612,0.1388,0.10795,0,0.38481,2.70833,1.73611
2017-02-16,0.10662,0.09873,11.42857,15.71428,0.79407,0.26469,0,0.95073,10.14591,3.80159,12.12121,1.12994,10.73703,5.39126,0.04439,0.17905,0.23133,0,0.15392,0.38481,2.95138,1.5625
2017-02-17,0.09478,0.08688,30,10,1.27051,0.37056,0.25929,0.64822,8.47608,4.72675,8.8341,0.79609,7.82529,6.96087,0.05561,0.15612,0.32387,0,0,0.3335,3.64583,1.80555
