코스피200 선물,,,,
날짜,시가,고가,저가,종가
2017-01-02,260.05,261.9,259.25,261.2
2017-01-03,261.75,263.2,261.35,263.2
2017-01-04,263,263.55,262.8,263.35
2017-01-05,263.05,263.35,262.3,262.65
2017-01-06,262.95,264.15,262.9,263.65
2017-01-09,263.95,264.65,263.7,264.05
2017-01-10,263.2,264.3,263.2,264
2017-01-11,264.2,269.6,264.15,269.05
2017-01-12,268.85,269.9,268.65,268.85
2017-01-13,268.85,269.3,268.55,268.65
2017-01-16,268.35,269.15,266.35,267.4
2017-01-17,267.45,269.25,267.4,268.4
2017-01-18,268.15,268.8,266.1,267.95
2017-01-19,269.2,270.8,266.85,268.15
2017-01-20,267.25,268,266.95,267.6
2017-01-23,267.25,268.45,265.9,267.15
2017-01-24,267.55,268.9,267,268
2017-01-25,269.5,269.5,267.55,268.25
2017-01-26,269.5,271.5,268.75,271
2017-01-31,269.9,270.3,268.95,269.2
2017-02-01,269.6,270.3,269.45,270.2
2017-02-02,269.95,271.6,268.5,269.2
2017-02-03,269.7,269.95,267.9,269.8
2017-02-06,271.3,271.7,269.2,270.05
2017-02-07,270.35,270.35,268.85,269.35
2017-02-08,268.85,268.9,266.15,268.25
2017-02-09,268.3,269.2,267.45,268.5
2017-02-10,269.55,270.25,268.7,268.75
2017-02-13,268.55,269.15,268.2,268.85
2017-02-14,269.75,269.75,267.45,268
2017-02-15,267.95,269.5,267.45,268.9
2017-02-16,269.5,270.35,268.55,268.75
2017-02-17,267.9,269.25,267.85,269
2017-02-20,269.15,269.95,268.7,269.75
2017-02-21,270,273.5,269.8,272.25
2017-02-22,272.6,273.2,272.35,272.65
2017-02-23,272.65,273.1,272.25,273
2017-02-24,272.65,273.05,270.2,270.55
2017-02-27,270.65,271.05,268.9,269.5
2017-02-28,269.7,270.6,269.4,269.75
2017-03-02,271.9,273.4,271.35,272.7
2017-03-03,271.4,271.6,269,269.65
2017-03-06,268.9,270.45,268.35,270.25
2017-03-07,270.55,272.3,270.15,271.65
2017-03-08,271.4,272.95,271,272.2
2017-03-09,272.3,272.85,271.45,271.45
2017-03-10,271.65,273.3,270.55,272.55
2017-03-13,272.95,276.45,272.8,275.75
2017-03-14,276.75,278.15,276.45,278
2017-03-15,277.85,278.65,277.45,278.6
2017-03-16,281.3,281.95,279.8,280.3
2017-03-17,280.5,281.95,280.15,281.45
2017-03-20,281.6,281.65,280.25,281.5
2017-03-21,282.15,284.8,281.6,284.05
2017-03-22,281.85,282.85,281.35,282.55
