,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10
0,office,access,program,office,easy,software,office,word,office,office
1,work,anywhere,access,tool,user,easy,document,email,microsoft,product
2,phone,work,need,need,application,make,word,work,software,use
3,able,email,office,work,friendly,everything,excel,also,product,feature
4,device,computer,suite,cloud,ease,cloud,work,excel,access,microsoft
5,mobile,love,file,also,manage,office,use,thing,program,software
6,also,document,version,user,use,functionality,easy,document,file,business
7,software,internet,computer,get,interface,great,feature,team,easily,update
8,desktop,ability,cloud,storage,feature,microsoft,make,nice,version,version
9,service,save,base,word,email,well,software,office,different,come
10,available,easy,ability,outlook,well,thing,tool,keep,student,always
11,tablet,able,solution,email,love,application,powerpoint,onedrive,share,much
12,version,multiple,device,data,need,organize,create,really,online,life
13,apps,package,great,everything,find,communication,new,integration,many,year
14,web,name,go,excel,different,group,great,best,use,need
15,well,account,business,calendar,company,keep,program,outlook,work,new
16,many,microsoft,able,package,simple,collaboration,time,option,suite,best
17,email,open,real,service,help,still,edit,able,day,know
18,easy,device,also,business,business,add,share,computer,allow,exchange
19,online,allow,love,presentation,task,previous,microsoft,want,word,thing
