,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10
0,0.0010106934,0.070492044,0.001010609,0.21536985,0.0010108281,0.001010684,0.22399302,0.07860623,0.107854,0.29964206
1,0.044507235,0.0011910977,0.13141553,0.10765432,0.0011909971,0.0011912362,0.3234598,0.1774848,0.0011912112,0.21071376
2,0.282603,0.1709853,0.22132888,0.27154326,0.041907884,0.0023261553,0.0023264152,0.0023261951,0.0023265104,0.0023264089
3,0.2059002,0.0012350784,0.038401786,0.0012351009,0.06511017,0.0012350252,0.50579643,0.0012349146,0.17861634,0.0012349722
4,0.001563393,0.0015632196,0.0015631717,0.001563239,0.06890226,0.0015629075,0.22533189,0.14381382,0.48188952,0.07224659
5,0.0012353109,0.001235064,0.10987713,0.17113206,0.0012352497,0.07259756,0.5874173,0.052798923,0.0012361901,0.0012352519
6,0.035181396,0.02509947,0.0017552079,0.10939045,0.088619456,0.0017556222,0.3818362,0.068642676,0.2859639,0.0017556321
7,0.0018187928,0.0018185038,0.18300357,0.11073415,0.0018184583,0.00181852,0.2389532,0.0018186852,0.05375992,0.40445623
8,0.0010422032,0.0010424815,0.0010423582,0.0010424778,0.030987034,0.0010420949,0.6025272,0.08146272,0.0010421285,0.27876934
9,0.048303556,0.035919588,0.063605234,0.1280753,0.026002036,0.07529937,0.33467257,0.1180367,0.14800861,0.022077044
10,0.032135524,0.0013895108,0.047302917,0.10728135,0.08630649,0.001389498,0.41610706,0.001389471,0.001389405,0.30530882
11,0.07546494,0.0013704438,0.0013707329,0.30209613,0.0013703966,0.022204995,0.38500702,0.06987892,0.02156245,0.119673915
12,0.07078041,0.0014090489,0.07586058,0.112287045,0.0014087735,0.001409151,0.3920336,0.001409119,0.14930929,0.19409293
13,0.077530414,0.0014294211,0.4039509,0.0014290239,0.0014293431,0.0014291685,0.29294735,0.0014291512,0.107774265,0.110650964
14,0.0568336,0.0025012696,0.0025007583,0.12897025,0.0025005334,0.002500748,0.2786995,0.0025013275,0.14643861,0.37655345
15,0.0012829027,0.022261372,0.051415242,0.17202123,0.030301068,0.001282655,0.57254773,0.001282541,0.0012828197,0.14632244
16,0.08121115,0.0013894881,0.1627945,0.32573643,0.001389483,0.0013893024,0.22271797,0.0013897101,0.001389553,0.20059246
17,0.026941625,0.0017251455,0.0017245853,0.4740474,0.0017249811,0.09003645,0.2050609,0.0017245804,0.19528958,0.0017247902
18,0.027895352,0.0019240538,0.083382994,0.0019236542,0.0019238745,0.0592468,0.34399194,0.47586408,0.0019237567,0.0019235127
19,0.0028588078,0.0028594243,0.0028595245,0.39983916,0.1067125,0.0028594176,0.28866425,0.0028594164,0.045053344,0.1454341
20,0.3232312,0.14540021,0.0034488987,0.003448939,0.003449543,0.0034487767,0.50722516,0.0034493848,0.0034491043,0.0034487485
21,0.25219837,0.16876678,0.0032270348,0.003226479,0.0032260797,0.003226957,0.44547188,0.11420289,0.0032270548,0.0032264784
22,0.08012871,0.08284205,0.002858517,0.00285862,0.0028582402,0.09298828,0.10096593,0.20381986,0.27283123,0.15784861
23,0.0034489546,0.062421072,0.27050468,0.00344958,0.0034504065,0.18306279,0.29335773,0.0034497047,0.17340529,0.0034497888
24,0.0032273764,0.0032271093,0.0032274064,0.5170359,0.0032273335,0.0032271706,0.27965283,0.0032282076,0.18071868,0.0032279992
25,0.15843928,0.22253044,0.07327901,0.1625403,0.058848757,0.0021284376,0.18881345,0.0021286993,0.12916319,0.0021284157
26,0.23321559,0.00344941,0.0034494372,0.16480285,0.0034493632,0.060403027,0.5208811,0.0034500964,0.0034499725,0.003449124
27,0.12343999,0.13968167,0.0034495906,0.29336512,0.0034491154,0.14737725,0.12770553,0.10677094,0.051311165,0.0034496356
28,0.08541863,0.0020420554,0.0020416395,0.34280166,0.0020417683,0.19659628,0.17977451,0.0020415755,0.11362551,0.07361639
29,0.0027787294,0.0027790882,0.11130512,0.48180234,0.0027782929,0.0027784281,0.2993288,0.0027789345,0.090891324,0.0027789776
30,0.002326747,0.002326446,0.0023263094,0.18967243,0.002326742,0.07235336,0.09024363,0.0023269735,0.0023266575,0.6337707
31,0.5438599,0.0050006057,0.19847168,0.005001784,0.07039116,0.15726921,0.0050011138,0.0050009424,0.005001853,0.005001781
32,0.12398823,0.0015157955,0.022970416,0.2627487,0.06486791,0.09515928,0.168084,0.0015160273,0.20396374,0.05518587
33,0.0066678156,0.006667996,0.0066694017,0.0066680526,0.0066699735,0.006669774,0.7036505,0.0066676545,0.0066688065,0.24300003
34,0.22677623,0.21648912,0.0038478298,0.0038480754,0.0038473583,0.0038482558,0.2907795,0.0038479534,0.18874276,0.057972934
35,0.0029426506,0.0029419742,0.0029424054,0.002942324,0.002943081,0.0029418827,0.504064,0.0029423235,0.0029420604,0.47239724
36,0.0027033356,0.061665185,0.0027039044,0.09342477,0.10140653,0.0027049205,0.6172615,0.0027037314,0.002704065,0.11272199
37,0.26173455,0.07023001,0.0038477252,0.003847905,0.0038491543,0.003847499,0.5699622,0.0038475026,0.0038483173,0.07498517
38,0.0016673298,0.001667522,0.05084904,0.0016675172,0.001667683,0.076182246,0.4146204,0.0016675672,0.0016673636,0.44834334
39,0.0041678324,0.34708875,0.0041679842,0.18514682,0.14633296,0.004167636,0.004168094,0.0041677044,0.22963828,0.07095397
40,0.07825225,0.0024401029,0.17421138,0.0024398244,0.0024398982,0.15723087,0.42013094,0.0024393592,0.15797496,0.0024404319
41,0.002857812,0.0028584064,0.10980915,0.064754345,0.0028580974,0.0028584285,0.42204958,0.0028583733,0.0028581314,0.38623765
