,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
0,0,9.0,0.29963574,"[(1, 0.07049049), (3, 0.2153788), (6, 0.22398649), (7, 0.07860013), (8, 0.1078655), (9, 0.29963574)]"
1,1,6.0,0.32345483,"[(0, 0.04450733), (2, 0.13141753), (3, 0.107649244), (6, 0.32345483), (7, 0.17748776), (9, 0.21071881)]"
2,2,0.0,0.28260568,"[(0, 0.28260568), (1, 0.17098641), (2, 0.22132622), (3, 0.2715461), (4, 0.04190393)]"
3,3,6.0,0.50579685,"[(0, 0.2059028), (2, 0.03838457), (4, 0.06511149), (6, 0.50579685), (8, 0.17862925)]"
4,4,8.0,0.48188272,"[(4, 0.068900526), (6, 0.22534706), (7, 0.14380649), (8, 0.48188272), (9, 0.0722473)]"
5,5,6.0,0.5874225,"[(2, 0.109876834), (3, 0.17112857), (5, 0.07259742), (6, 0.5874225), (7, 0.05279767)]"
6,6,6.0,0.38187188,"[(0, 0.03517887), (1, 0.025099622), (3, 0.109401986), (4, 0.088613786), (6, 0.38187188), (7, 0.06861596), (8, 0.28595147)]"
7,7,9.0,0.4044558,"[(2, 0.18300293), (3, 0.11073004), (6, 0.2389555), (8, 0.053762734), (9, 0.4044558)]"
8,8,6.0,0.60249937,"[(4, 0.030994754), (6, 0.60249937), (7, 0.081480324), (9, 0.27877176)]"
9,9,6.0,0.33464703,"[(0, 0.04827921), (1, 0.035905328), (2, 0.06361873), (3, 0.12808359), (4, 0.026002659), (5, 0.07530344), (6, 0.33464703), (7, 0.118040614), (8, 0.1480683), (9, 0.022051092)]"
10,10,6.0,0.4161042,"[(0, 0.032123774), (2, 0.047323287), (3, 0.10727263), (4, 0.08631034), (6, 0.4161042), (9, 0.30530792)]"
11,11,6.0,0.38501674,"[(0, 0.0754677), (3, 0.3021037), (5, 0.022204896), (6, 0.38501674), (7, 0.06987324), (8, 0.021560313), (9, 0.11966181)]"
12,12,6.0,0.3920372,"[(0, 0.07077923), (2, 0.0758642), (3, 0.11228788), (6, 0.3920372), (8, 0.14930107), (9, 0.19409432)]"
