,제목,URL,내용,사이트,채널,날짜1,날짜2,input,after preprocessing
0,고마워요 함께 해줘서~~# - 다음 블로그,https://blog.daum.net/hjklz/8095252,"""벌써 오년이나 지난 오래전의 일이다. 내평생에는 병원에 입원하는 이런일이 없을줄 알았는데 다른사람 때문에 병실에서 간호하느라 병실은 지켜봤어도 내가 직접 당사자가 되여서 환자복을 입고서 병원침대 주인..",naver,web,2011-01-01,2012-12-31,"고마워요 함께 해줘서~~# - 다음 블로그 ""벌써 오년이나 지난 오래전의 일이다. 내평생에는 병원에 입원하는 이런일이 없을줄 알았는데 다른사람 때문에 병실에서 간호하느라 병실은 지켜봤어도 내가 직접 당사자가 되여서 환자복을 입고서 병원침대 주인..","['블로그', '오래전', '평생', '병원', '입원', '사람', '병실', '간호', '병실', '당사자', '환자복', '병원', '침대', '주인']"
1,[이규리의 시와 함께] 구름에 달 가듯이 - 매일신문 - 대구경북이 pick한 뉴....,http://news.imaeil.com/NewestAll/2011062707311761208,"# 구름에 달 가듯이---유홍준 저녁 일곱시 반엔 모두들 약을 먹어요 환자복을 입은 백명의 환자들이…… 약이, 없는 자는 없어요 약을 먹지 않아…",naver,web,2011-01-01,2012-12-31,"[이규리의 시와 함께] 구름에 달 가듯이 - 매일신문 - 대구경북이 pick한 뉴.... # 구름에 달 가듯이---유홍준 저녁 일곱시 반엔 모두들 약을 먹어요 환자복을 입은 백명의 환자들이…… 약이, 없는 자는 없어요 약을 먹지 않아…","['이규리', '구름', '매일신문', '대구경북', 'pick', '구름', '유홍준', '저녁', '모두', '환자복', '환자']"
2,"추석·노인의 날, 우울한 '나홀로 노인들' - 부산일보",http://www.busan.com/view/busan/view.php?code=20121002000127,#1. 연휴 마지막 날인 1일 오후 경남 양산시의 한 노인요양병원. 환자복을 입은 노인 네댓 명이 중앙 홀에서 말없이 텔레비전을 시청하고 있었다. 평소 같았으면 6명이 함께 쓰는...,naver,web,2011-01-01,2012-12-31,"추석·노인의 날, 우울한 '나홀로 노인들' - 부산일보 #1. 연휴 마지막 날인 1일 오후 경남 양산시의 한 노인요양병원. 환자복을 입은 노인 네댓 명이 중앙 홀에서 말없이 텔레비전을 시청하고 있었다. 평소 같았으면 6명이 함께 쓰는...","['추석', '노인', '우울', '노인', '부산일보', '연휴', '마지막', '오후', '경남', '양산시', '노인', '요양', '병원', '환자복', '노인', '중앙', '텔레비전', '시청', '평소']"
3,[관타나모수용소 10년-테러범 재판현장 가다 (2)] 알카에다에 대한 두려움이....,https://www.seoul.co.kr/news/newsView.php?id=20120119006007,", 육안으로 접한 ‘테러범’은 여유로워 보였다. 그는 환자복처럼 헐렁한 흰옷을 입고 법정에 들어섰다. 작은 키에 올리브색 피부의 그는 배가 잔뜩 나온 ‘사장님 몸매’였으며, 고개를 빳빳하게 들고 털레털레 걸었다. 목에는 금색 목걸이가 걸려 있었다. 수갑을 차지 않은 그의 자유로운 양팔을 군인들이 팔짱을 끼고 걸었다. 군인 10여명의 ...",naver,web,2011-01-01,2012-12-31,"[관타나모수용소 10년-테러범 재판현장 가다 (2)] 알카에다에 대한 두려움이.... , 육안으로 접한 ‘테러범’은 여유로워 보였다. 그는 환자복처럼 헐렁한 흰옷을 입고 법정에 들어섰다. 작은 키에 올리브색 피부의 그는 배가 잔뜩 나온 ‘사장님 몸매’였으며, 고개를 빳빳하게 들고 털레털레 걸었다. 목에는 금색 목걸이가 걸려 있었다. 수갑을 차지 않은 그의 자유로운 양팔을 군인들이 팔짱을 끼고 걸었다. 군인 10여명의 ...","['관타나모', '수용소', '테러', '재판', '현장', '알카에다', '두려움', '육안', '여유', '환자복', '흰옷', '법정', '올리브색', '피부', '사장', '몸매', '고개', '금색', '목걸이', '수갑', '자유', '양팔', '군인', '팔짱', '군인', '명의']"
4,[건강]7개 장기 이식한 소녀 “환자복 입어도 예쁘죠” - 경향비즈 | 쉽고 ....,http://biz.khan.co.kr/khan_art_view.html?artid=201202242000395,"[건강]7개 장기 이식한 소녀 “환자복 입어도 예쁘죠” 서울아산병원은 ‘다장기 이식소녀’의 수술 전... 환자복을 입었을 때도 밝은 모습을 보여주었다. 은서양은 지난해 10월 수술한 이후 약 4개월 동안 치료 과정을 거치면서 건강한 모습으로 회복되었고, 이달 말 퇴원해 정기적인 치료를...",naver,web,2011-01-01,2012-12-31,"[건강]7개 장기 이식한 소녀 “환자복 입어도 예쁘죠” - 경향비즈 | 쉽고 .... [건강]7개 장기 이식한 소녀 “환자복 입어도 예쁘죠” 서울아산병원은 ‘다장기 이식소녀’의 수술 전... 환자복을 입었을 때도 밝은 모습을 보여주었다. 은서양은 지난해 10월 수술한 이후 약 4개월 동안 치료 과정을 거치면서 건강한 모습으로 회복되었고, 이달 말 퇴원해 정기적인 치료를...","['건강', '장기', '이식', '소녀', '환자복', '경향', '비즈', '건강', '장기', '이식', '소녀', '환자복', '아산', '병원', '장기', '이식', '소녀', '수술', '환자복', '모습', '서양', '지난해', '수술', '이후', '동안', '치료', '과정', '건강', '모습', '회복', '이달', '퇴원', '정기', '치료']"
5,"세상에 이런 일이, 칠순 앞둔 ‘깔맞춤’ 부부 사연 뭉클 - MK스포츠",http://mksports.co.kr/view/2012/106706/,[매경닷컴 MK스포츠 김슬기 기자] 16일 방송된 SBS ‘순간포착 세상에 이런 일이’에서 머리부터 발끝까지 ‘빨강’으로 도배한 ‘색깔맞춤 부부’의 사연이 소개됐다. 하얀 환자복으로 가득한 병원에 사람들의 시선을 사로잡은 남자가 있,naver,web,2011-01-01,2012-12-31,"세상에 이런 일이, 칠순 앞둔 ‘깔맞춤’ 부부 사연 뭉클 - MK스포츠 [매경닷컴 MK스포츠 김슬기 기자] 16일 방송된 SBS ‘순간포착 세상에 이런 일이’에서 머리부터 발끝까지 ‘빨강’으로 도배한 ‘색깔맞춤 부부’의 사연이 소개됐다. 하얀 환자복으로 가득한 병원에 사람들의 시선을 사로잡은 남자가 있","['세상', '맞춤', '부부', '사연', '뭉클', 'MK', '스포츠', '매경', '닷컴', 'MK', '스포츠', '김슬기', '방송', 'SBS', '포착', '세상', '일이', '머리', '발끝', '빨강', '도배', '색깔', '맞춤', '부부', '사연', '소개', '환자복', '병원', '사람', '시선', '남자']"
6,"'아덴만 영웅' 석해균, 그리운 가족들 품으로 | SBS 뉴스",https://news.sbs.co.kr/news/endPage.do?news_id=N1001019815,"[석해균/삼호주얼리호 선장 : 마지막 환자복을 벗었으니깐 다시는 환자복을 입지 않도록 열심히 부지런히 살겠습니다.] 총상 제거수술과 기나긴 재활 치료를 이겨낸 석 선장은 목발을 짚고 스스로 걸어서 취재진 앞에 나섰습니다. [그동안 만나지 못했던 친구들하고 술도 한잔 하고싶고 주위에 계신 친지부모들, 저를 도와주신 분들도 찾아뵙고 인사를 나누고 싶습니다.]...",naver,web,2011-01-01,2012-12-31,"'아덴만 영웅' 석해균, 그리운 가족들 품으로 | SBS 뉴스 [석해균/삼호주얼리호 선장 : 마지막 환자복을 벗었으니깐 다시는 환자복을 입지 않도록 열심히 부지런히 살겠습니다.] 총상 제거수술과 기나긴 재활 치료를 이겨낸 석 선장은 목발을 짚고 스스로 걸어서 취재진 앞에 나섰습니다. [그동안 만나지 못했던 친구들하고 술도 한잔 하고싶고 주위에 계신 친지부모들, 저를 도와주신 분들도 찾아뵙고 인사를 나누고 싶습니다.]...","['아덴만', '영웅', '석해', '가족', 'SBS', '뉴스', '석해', '주얼', '리호', '선장', '마지막', '환자복', '환자복', '총상', '제거', '수술', '재활', '치료', '선장', '목발', '취재진', '동안', '한잔', '주위', '친지', '부모', '인사']"
7,산자락에 울려펴진 감동의 선율…암 병동 작은 음악회 - 중앙일보,https://news.joins.com/article/8831922,"[앵커]음악은 사람의 마음을 치유한다고 하죠. 암과 싸우는 환자들을 위해 성악가들이 재능 기부에 나섰습니다. 경기도의 한 요양병원에서 열린 감동적인 음악회에, JTBC 제휴사인 중부일보 김도훈 기자가 다녀왔습니다.[기자]공연을 앞둔 강당에 청중들이 하나 둘 모입니다.대부분 환자복 차림에, 가족에게 의지한 모습이 -",naver,web,2011-01-01,2012-12-31,"산자락에 울려펴진 감동의 선율…암 병동 작은 음악회 - 중앙일보 [앵커]음악은 사람의 마음을 치유한다고 하죠. 암과 싸우는 환자들을 위해 성악가들이 재능 기부에 나섰습니다. 경기도의 한 요양병원에서 열린 감동적인 음악회에, JTBC 제휴사인 중부일보 김도훈 기자가 다녀왔습니다.[기자]공연을 앞둔 강당에 청중들이 하나 둘 모입니다.대부분 환자복 차림에, 가족에게 의지한 모습이 -","['산자락', '감동', '선율', '병동', '음악회', '중앙일보', '앵커', '음악', '사람', '마음', '치유', '환자', '성악가', '재능', '기부', '경기도', '요양', '병원', '감동', '음악회', 'JTBC', '휴사', '중부', '일보', '김도훈', '공연', '강당', '청중', '대부분', '환자복', '차림', '가족', '의지', '모습']"
8,그러게 좀하지.. - 다음 블로그,https://blog.daum.net/diddudwls00/109046,<!-BY_DAUM-> 스웨이드 주황색 박스풀 새제품(275) 6만원 프로케즈 박스풀 새제품(270) 5만원 디키즈 환자복상의 탭있는 새제품 2XL 3만원 (접어서 옷장에 관리해서 구김이 있지만 시착없는 새제품입니다.) 신..,naver,web,2011-01-01,2012-12-31,그러게 좀하지.. - 다음 블로그 <!-BY_DAUM-> 스웨이드 주황색 박스풀 새제품(275) 6만원 프로케즈 박스풀 새제품(270) 5만원 디키즈 환자복상의 탭있는 새제품 2XL 3만원 (접어서 옷장에 관리해서 구김이 있지만 시착없는 새제품입니다.) 신..,"['블로그', 'BYDAUM', '스웨이드', '주황색', '박스', '제품', '프로', '박스', '제품', '디키', '환자복', '제품', 'XL', '옷장', '관리', '구김', '제품']"
9,하얀새의 블로그,https://blog.daum.net/i3650114/57,<!-BY_DAUM-> 작은병원에서 대형병원에서는 수많은 세탁물(빨래)이 나온다. 환자복 침대시트 이불 등등.... 어떤 병원은 외부 용역으로 또는 드물지만 자체 빨래를 하는 경우도 있다. 세탁공장이야말로 힘든 3D 업..,naver,web,2011-01-01,2012-12-31,하얀새의 블로그 <!-BY_DAUM-> 작은병원에서 대형병원에서는 수많은 세탁물(빨래)이 나온다. 환자복 침대시트 이불 등등.... 어떤 병원은 외부 용역으로 또는 드물지만 자체 빨래를 하는 경우도 있다. 세탁공장이야말로 힘든 3D 업..,"['블로그', 'BYDAUM', '병원', '대형', '병원', '세탁물', '빨래', '환자복', '침대', '시트', '이불', '병원', '외부', '용역', '자체', '빨래', '경우', '세탁', '공장']"
