,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
0,0,0.0,0.48480743,"[(0, 0.4848074), (2, 0.22211133), (3, 0.21931286), (4, 0.05846877)]"
1,1,1.0,0.46303812,"[(0, 0.46279642), (1, 0.46303812), (2, 0.01853667), (3, 0.018527584), (4, 0.01853131), (5, 0.018569848)]"
2,2,4.0,0.4824032,"[(0, 0.011137367), (1, 0.3614173), (2, 0.01113211), (3, 0.0112800235), (4, 0.4824032), (5, 0.12263001)]"
3,3,1.0,0.53955466,"[(1, 0.53955466), (2, 0.39199638), (5, 0.04919166)]"
4,4,2.0,0.60929394,"[(0, 0.12599717), (1, 0.0111192055), (2, 0.60929394), (3, 0.079415776), (4, 0.011115266), (5, 0.16305868)]"
5,5,2.0,0.5256392,"[(0, 0.097194694), (1, 0.07060569), (2, 0.5256392), (5, 0.28885594)]"
6,6,0.0,0.9504558,"[(0, 0.95045584), (3, 0.010010726)]"
7,7,1.0,0.47517818,"[(0, 0.39095908), (1, 0.4751782), (2, 0.012884459), (3, 0.012891415), (4, 0.095171146), (5, 0.012915697)]"
8,8,3.0,0.38889858,"[(0, 0.055555638), (1, 0.055555616), (2, 0.055555645), (3, 0.38889858), (4, 0.05555567), (5, 0.38887885)]"
9,9,0.0,0.60802966,"[(0, 0.60802966), (1, 0.13297492), (2, 0.07135986), (3, 0.16527897), (4, 0.011228516), (5, 0.011128066)]"
10,10,1.0,0.92391324,"[(0, 0.015151525), (1, 0.92391324), (2, 0.015405932), (3, 0.015189641), (4, 0.015158042), (5, 0.015181624)]"
11,11,5.0,0.309013,"[(0, 0.26326984), (2, 0.29445672), (4, 0.115628816), (5, 0.309013)]"
12,12,3.0,0.51176053,"[(0, 0.011930565), (1, 0.29009834), (2, 0.16234659), (3, 0.51176053), (4, 0.011946109), (5, 0.011917887)]"
13,13,2.0,0.947792,"[(0, 0.010416695), (1, 0.010503134), (2, 0.947792), (3, 0.01043382), (4, 0.010437627), (5, 0.010416672)]"
14,14,1.0,0.89185774,"[(1, 0.89185774), (4, 0.068626285)]"
15,15,3.0,0.79166657,"[(0, 0.041666687), (1, 0.041666683), (2, 0.041666694), (3, 0.79166657), (4, 0.041666698), (5, 0.041666687)]"
16,16,5.0,0.3128244,"[(0, 0.2972237), (2, 0.23475364), (4, 0.13658877), (5, 0.3128244)]"
17,17,4.0,0.58120286,"[(0, 0.35169643), (1, 0.016913202), (2, 0.016726624), (3, 0.016770456), (4, 0.58120286), (5, 0.016690368)]"
18,18,1.0,0.68505496,"[(0, 0.018574618), (1, 0.68505496), (2, 0.24052507), (3, 0.018764334), (4, 0.018528963), (5, 0.018552043)]"
19,19,1.0,0.756018,"[(0, 0.19600037), (1, 0.756018), (2, 0.012077769), (3, 0.011990686), (4, 0.011911585), (5, 0.012001613)]"
20,20,2.0,0.48422533,"[(0, 0.17553735), (1, 0.31379798), (2, 0.48422533)]"
21,21,4.0,0.8333333,"[(0, 0.03333334), (1, 0.03333334), (2, 0.03333334), (3, 0.033333346), (4, 0.8333333), (5, 0.03333334)]"
22,22,3.0,0.38889477,"[(0, 0.3882856), (1, 0.055555582), (2, 0.056012258), (3, 0.38889477), (4, 0.055555608), (5, 0.055696163)]"
23,23,4.0,0.8293019,"[(0, 0.0120544145), (1, 0.011927844), (2, 0.0119743105), (3, 0.12273572), (4, 0.8293019), (5, 0.012005821)]"
24,24,3.0,0.5208681,"[(0, 0.14580892), (1, 0.020833356), (2, 0.020833367), (3, 0.5208681), (4, 0.27082285), (5, 0.020833362)]"
25,25,5.0,0.48649678,"[(0, 0.1739583), (1, 0.31309685), (5, 0.48649678)]"
26,26,0.0,0.5449014,"[(0, 0.5449014), (2, 0.08328863), (3, 0.34783372)]"
27,27,1.0,0.46326113,"[(0, 0.015301946), (1, 0.46326116), (2, 0.34942135), (3, 0.015378266), (4, 0.015215609), (5, 0.14142166)]"
28,28,2.0,0.6709365,"[(1, 0.23600855), (2, 0.6709365), (5, 0.069058664)]"
29,29,1.0,0.7357589,"[(0, 0.012827541), (1, 0.7357589), (2, 0.21286315), (3, 0.012884356), (4, 0.012845575), (5, 0.01282053)]"
30,30,2.0,0.91626847,"[(0, 0.016716061), (1, 0.016799647), (2, 0.91626847), (3, 0.01676724), (4, 0.01668162), (5, 0.016766986)]"
31,31,4.0,0.38192016,"[(0, 0.08207059), (1, 0.17733301), (2, 0.16780643), (4, 0.38192016), (5, 0.1848972)]"
32,32,5.0,0.75563425,"[(0, 0.013900492), (1, 0.10238233), (2, 0.014023612), (3, 0.0139683625), (4, 0.100091), (5, 0.75563425)]"
33,33,0.0,0.632237,"[(0, 0.632237), (4, 0.043235347), (5, 0.30777922)]"
34,34,5.0,0.9235868,"[(4, 0.05675295), (5, 0.9235867)]"
35,35,1.0,0.9507507,"[(1, 0.9507507)]"
36,36,0.0,0.89546114,"[(0, 0.8954612), (1, 0.020894345), (2, 0.020920733), (3, 0.020965086), (4, 0.020842921), (5, 0.020915745)]"
37,37,5.0,0.9205821,"[(4, 0.059164762), (5, 0.9205822)]"
38,38,1.0,0.46794742,"[(0, 0.12597312), (1, 0.46794742), (2, 0.10657569), (5, 0.28085497)]"
39,39,1.0,0.67504025,"[(0, 0.15183063), (1, 0.67504025), (3, 0.15122648)]"
40,40,2.0,0.9072176,"[(0, 0.018585332), (1, 0.018572534), (2, 0.90721756), (3, 0.018527973), (4, 0.01855617), (5, 0.018540388)]"
41,41,1.0,0.75872236,"[(0, 0.018742096), (1, 0.75872236), (2, 0.16675746), (3, 0.018648975), (4, 0.018539099), (5, 0.018590044)]"
42,42,2.0,0.7904936,"[(0, 0.041751694), (1, 0.042289883), (2, 0.7904936), (3, 0.04166675), (4, 0.042131376), (5, 0.04166673)]"
43,43,4.0,0.42534572,"[(0, 0.018524094), (1, 0.29783773), (2, 0.22110707), (3, 0.018640148), (4, 0.42534572), (5, 0.01854527)]"
44,44,1.0,0.5203035,"[(0, 0.020852244), (1, 0.5203035), (2, 0.39569637), (3, 0.020925442), (4, 0.021318248), (5, 0.020904178)]"
45,45,3.0,0.43854746,"[(0, 0.01668748), (1, 0.1303393), (2, 0.016845873), (3, 0.43854746), (4, 0.016766284), (5, 0.38081366)]"
46,46,2.0,0.78428566,"[(0, 0.016668081), (1, 0.016761856), (2, 0.78428566), (3, 0.016841426), (4, 0.016727982), (5, 0.14871497)]"
47,47,1.0,0.55951774,"[(0, 0.3069284), (1, 0.55951774), (2, 0.033490963), (3, 0.033385538), (4, 0.033344023), (5, 0.033333357)]"
48,48,5.0,0.49041095,"[(0, 0.06756252), (3, 0.4140798), (5, 0.49041095)]"
49,49,0.0,0.7961123,"[(0, 0.7961123), (1, 0.1294339), (2, 0.018757263), (3, 0.01863012), (4, 0.018523114), (5, 0.018543309)]"
50,50,2.0,0.49656966,"[(0, 0.015167728), (1, 0.015199066), (2, 0.49656963), (3, 0.3333548), (4, 0.12454487), (5, 0.015163863)]"
51,51,4.0,0.92368597,"[(0, 0.015301631), (1, 0.015325299), (2, 0.015271466), (3, 0.015188024), (4, 0.92368597), (5, 0.015227624)]"
52,52,2.0,0.4673701,"[(0, 0.011140213), (1, 0.01112638), (2, 0.46737006), (3, 0.34553924), (4, 0.1536933), (5, 0.011130785)]"
53,53,0.0,0.53304124,"[(0, 0.53304124), (1, 0.13167112), (3, 0.30743483)]"
54,54,0.0,0.69071597,"[(0, 0.69071597), (1, 0.25359574), (2, 0.013888903), (3, 0.0139098065), (4, 0.013956569), (5, 0.013933033)]"
55,55,3.0,0.6877978,"[(0, 0.20060828), (1, 0.02817511), (2, 0.027777804), (3, 0.6877978), (4, 0.027777808), (5, 0.027863247)]"
56,56,4.0,0.2925588,"[(0, 0.2329781), (1, 0.28195152), (2, 0.01283186), (3, 0.16678555), (4, 0.2925588), (5, 0.012894158)]"
57,57,5.0,0.9242423,"[(0, 0.015151524), (1, 0.015151521), (2, 0.015151524), (3, 0.015151525), (4, 0.015151527), (5, 0.9242424)]"
58,58,2.0,0.9503392,"[(1, 0.010037684), (2, 0.95033914)]"
59,59,1.0,0.7285037,"[(0, 0.014033302), (1, 0.7285037), (2, 0.11982703), (3, 0.013889842), (4, 0.013930029), (5, 0.10981608)]"
60,60,3.0,0.49355736,"[(0, 0.03369322), (1, 0.37208098), (2, 0.03354995), (3, 0.49355736), (4, 0.033716038), (5, 0.033402476)]"
61,61,5.0,0.46425676,"[(0, 0.03364093), (1, 0.23333426), (2, 0.20210126), (3, 0.033333402), (4, 0.033333413), (5, 0.46425676)]"
62,62,3.0,0.80522937,"[(0, 0.015151534), (1, 0.13408892), (2, 0.015213908), (3, 0.80522937), (4, 0.015156281), (5, 0.015160025)]"
63,63,3.0,0.5583664,"[(0, 0.34609744), (1, 0.023915369), (2, 0.02390064), (3, 0.5583664), (4, 0.023861706), (5, 0.023858445)]"
64,64,2.0,0.48623592,"[(0, 0.02808091), (1, 0.40143993), (2, 0.4862359), (3, 0.028011186), (4, 0.028454281), (5, 0.0277778)]"
65,65,1.0,0.47147852,"[(0, 0.01390439), (1, 0.47147855), (2, 0.36241016), (3, 0.12441806), (4, 0.013899933), (5, 0.0138889095)]"
66,66,3.0,0.62122905,"[(0, 0.033372883), (1, 0.033548266), (2, 0.033467073), (3, 0.62122905), (4, 0.03339396), (5, 0.24498875)]"
67,67,3.0,0.54946065,"[(0, 0.013932928), (1, 0.1127325), (2, 0.09647869), (3, 0.54946065), (4, 0.21345742), (5, 0.013937811)]"
68,68,4.0,0.583121,"[(0, 0.37753966), (4, 0.583121)]"
69,69,1.0,0.5754351,"[(0, 0.013888902), (1, 0.5754351), (2, 0.3688054), (3, 0.013925626), (4, 0.014029964), (5, 0.013914979)]"
