,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
0,0,3.0,0.8766213,"[(0, 0.013007953), (1, 0.011185189), (2, 0.09918556), (3, 0.8766213)]"
1,1,3.0,0.4570509,"[(0, 0.31945887), (1, 0.02116743), (2, 0.20232284), (3, 0.4570509)]"
2,2,1.0,0.63255554,"[(0, 0.071908206), (1, 0.63255554), (2, 0.19646162), (3, 0.09907463)]"
3,3,2.0,0.9702096,"[(2, 0.97020954), (3, 0.010067223)]"
4,4,1.0,0.58626324,"[(0, 0.018567378), (1, 0.58626324), (2, 0.1325217), (3, 0.2626477)]"
5,5,1.0,0.5348429,"[(0, 0.012868686), (1, 0.5348429), (2, 0.29408985), (3, 0.1581985)]"
6,6,3.0,0.60282236,"[(0, 0.013157511), (1, 0.014088814), (2, 0.3699313), (3, 0.60282236)]"
7,7,2.0,0.64351386,"[(0, 0.015669188), (1, 0.015982984), (2, 0.64351386), (3, 0.32483402)]"
8,8,0.0,0.7499941,"[(0, 0.7499941), (1, 0.08333511), (2, 0.08333536), (3, 0.08333544)]"
9,9,3.0,0.94963765,"[(0, 0.01667853), (1, 0.016789654), (2, 0.016894238), (3, 0.9496376)]"
10,10,2.0,0.7144084,"[(0, 0.020991547), (1, 0.24347208), (2, 0.7144084), (3, 0.021128006)]"
11,11,3.0,0.56910264,"[(0, 0.3340626), (1, 0.080991834), (2, 0.015842933), (3, 0.56910264)]"
12,12,2.0,0.94587415,"[(0, 0.018016724), (1, 0.018038504), (2, 0.9458741), (3, 0.018070675)]"
13,13,2.0,0.9604298,"[(0, 0.013158723), (1, 0.013204735), (2, 0.9604297), (3, 0.013206831)]"
14,14,0.0,0.43150443,"[(0, 0.43150446), (1, 0.18726781), (2, 0.014707497), (3, 0.3665203)]"
15,15,0.0,0.8124956,"[(0, 0.8124956), (1, 0.06250133), (2, 0.06250154), (3, 0.06250158)]"
16,16,3.0,0.52333266,"[(0, 0.015825653), (1, 0.38857517), (2, 0.072266534), (3, 0.52333266)]"
17,17,0.0,0.5324304,"[(0, 0.5324304), (1, 0.024553467), (2, 0.42028773), (3, 0.022728432)]"
18,18,0.0,0.57524,"[(0, 0.57524), (1, 0.19083323), (2, 0.023494454), (3, 0.21043234)]"
19,19,2.0,0.3847059,"[(0, 0.18203817), (1, 0.17093417), (2, 0.3847059), (3, 0.26232177)]"
20,20,3.0,0.5413454,"[(0, 0.10917977), (1, 0.28426713), (2, 0.06520767), (3, 0.5413454)]"
21,21,0.0,0.874999,"[(0, 0.874999), (1, 0.041666966), (2, 0.04166707), (3, 0.041666996)]"
22,22,2.0,0.41664127,"[(0, 0.08333699), (1, 0.08872947), (2, 0.41664127), (3, 0.41129225)]"
23,23,0.0,0.9597313,"[(0, 0.95973134), (1, 0.013414174), (2, 0.013390999), (3, 0.01346349)]"
24,24,0.0,0.9136895,"[(0, 0.9136895), (1, 0.028600352), (2, 0.028140597), (3, 0.029569587)]"
25,25,1.0,0.3709238,"[(0, 0.08627433), (1, 0.3709238), (2, 0.3683044), (3, 0.17449749)]"
26,26,2.0,0.7889622,"[(0, 0.011892713), (1, 0.011894719), (2, 0.7889622), (3, 0.18725044)]"
27,27,0.0,0.82735896,"[(0, 0.82735896), (1, 0.021244297), (2, 0.12926662), (3, 0.022130137)]"
28,28,2.0,0.82579786,"[(0, 0.010766343), (1, 0.15290204), (2, 0.82579786), (3, 0.010533713)]"
29,29,2.0,0.5950768,"[(0, 0.016959725), (1, 0.371154), (2, 0.5950768), (3, 0.016809432)]"
30,30,2.0,0.6784551,"[(0, 0.022388931), (1, 0.022261932), (2, 0.6784551), (3, 0.276894)]"
