,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10
0,퇴원,치료,코로나,엄마,아버지,바지,경찰,감사,공개,의사
1,시간,의원,요양,확진,단추,아기,정신,반티,건강,남편
2,필요,세탁,의료진,차림,응급실,원피스,의료,수술복,남자,머리
3,속옷,장면,침대,얼굴,생각,사이즈,서울,가운,자신,출산
4,병동,기억,시트,아이,멸망,어머니,택시,잠옷,여자,제왕
5,정도,할아버지,사용,사랑,드라마,다리,오후,추천,검진,주사
6,준비,교통사고,노인,아들,탈의실,혼자,센터,제작,김철민,절개
7,마취,방호복,이유,도착,대부분,기저귀,이날,유니폼,내시경,일기
8,소변,로봇,치매,탈출,복도,디자인,소망,어린이,투병,산부인과
9,보호자,걱정,마스크,마음,엑스레이,불편,이송,안녕,스타,가슴
10,침대,수건,의료,침대,관련,아내,음성,의사,손가락,링거
11,당일,허리,휠체어,이야기,어깨,조리,기사,구매,영화,천안
12,새벽,시술,격리,영상,외출,고양이,발견,제품,판매,수액
13,대기,간식,부족,소리,다음,내복,오전,놀이,도주,부인
14,생각,눈물,통증,표정,방사선,친구,상의,사복,청주,여성
15,전화,깁스,시설,생활,숟가락,준비물,관리,죄수복,가격,기록
16,국립,포착,개발,장애,죽음,아빠,건강,대회,촬영,여자
17,입원실,정형외과,병상,인근,현관,부위,상태,주문,복장,생각
18,질문,원장,대표,경찰,담배,,충북,학교,,항생제
19,안내,,착용,공개,만족,,하의,가능,,가운
