,문서 번호,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
0,0,3.0,0.5678742,"[(0, 0.050893564), (1, 0.36546662), (3, 0.5678742)]"
1,1,1.0,0.61220133,"[(0, 0.33686557), (1, 0.61220133), (2, 0.016848793), (3, 0.017175877), (4, 0.016908426)]"
2,2,2.0,0.5106135,"[(0, 0.22377968), (1, 0.012530622), (2, 0.5106135), (3, 0.24009457), (4, 0.012981601)]"
3,3,2.0,0.6571373,"[(0, 0.21330202), (2, 0.6571373), (4, 0.1133096)]"
4,4,1.0,0.8058296,"[(1, 0.8058296), (2, 0.16518107)]"
5,5,1.0,0.46151537,"[(0, 0.16800472), (1, 0.46151537), (2, 0.35487846)]"
6,6,1.0,0.73759604,"[(0, 0.011848402), (1, 0.73759604), (2, 0.1161546), (3, 0.123216376), (4, 0.011184589)]"
7,7,1.0,0.7408615,"[(0, 0.22259364), (1, 0.7408615), (2, 0.011935586), (3, 0.011876246), (4, 0.012733012)]"
8,8,3.0,0.30017015,"[(0, 0.05000337), (1, 0.3001121), (2, 0.29971218), (3, 0.30017015), (4, 0.050002217)]"
9,9,1.0,0.5556586,"[(0, 0.4165531), (1, 0.5556586)]"
10,10,0.0,0.7900305,"[(0, 0.7900305), (1, 0.020000247), (2, 0.020000227), (3, 0.14996865), (4, 0.02000035)]"
11,11,1.0,0.54660344,"[(0, 0.01001316), (1, 0.54660344), (2, 0.010017504), (3, 0.010135619), (4, 0.42323032)]"
12,12,0.0,0.9499272,"[(0, 0.9499272), (1, 0.0125036435), (2, 0.012501034), (3, 0.012568085), (4, 0.012500051)]"
13,13,0.0,0.6786535,"[(0, 0.6786535), (1, 0.010021916), (2, 0.16625449), (3, 0.010000942), (4, 0.13506922)]"
14,14,1.0,0.7619995,"[(0, 0.040889744), (1, 0.7619995), (2, 0.08104245), (4, 0.10951874)]"
15,15,3.0,0.6405329,"[(0, 0.04000242), (1, 0.040000975), (2, 0.23946221), (3, 0.6405329), (4, 0.04000144)]"
16,16,3.0,0.8310609,"[(0, 0.010924671), (1, 0.13680504), (2, 0.010598346), (3, 0.8310609), (4, 0.010611037)]"
17,17,4.0,0.41206864,"[(0, 0.34973246), (1, 0.20650959), (2, 0.015785016), (3, 0.015904292), (4, 0.41206864)]"
18,18,4.0,0.41209924,"[(0, 0.017143631), (1, 0.016666973), (2, 0.20155583), (3, 0.3525343), (4, 0.41209924)]"
19,19,0.0,0.4488154,"[(0, 0.4488154), (1, 0.090166815), (2, 0.013756507), (3, 0.26378208), (4, 0.18347916)]"
20,20,2.0,0.7628224,"[(1, 0.2163385), (2, 0.7628224)]"
21,21,4.0,0.86652714,"[(0, 0.033333518), (1, 0.033333495), (2, 0.033333484), (3, 0.033472333), (4, 0.86652714)]"
22,22,3.0,0.7294417,"[(0, 0.066666864), (1, 0.06824749), (2, 0.06666682), (3, 0.7294417), (4, 0.068977095)]"
23,23,4.0,0.87663954,"[(0, 0.011764845), (1, 0.08791154), (2, 0.011834332), (3, 0.011849704), (4, 0.87663954)]"
24,24,4.0,0.91081685,"[(0, 0.022281269), (1, 0.022435931), (2, 0.022243584), (3, 0.022222348), (4, 0.91081685)]"
25,25,0.0,0.5346344,"[(0, 0.5346344), (1, 0.24888344), (4, 0.19860478)]"
26,26,0.0,0.78870547,"[(0, 0.78870547), (4, 0.18966945)]"
27,27,4.0,0.5883875,"[(0, 0.11424579), (1, 0.01538477), (2, 0.015615176), (3, 0.26636678), (4, 0.5883875)]"
28,28,2.0,0.65552664,"[(0, 0.27094474), (2, 0.65552664), (4, 0.05671948)]"
29,29,0.0,0.60510105,"[(0, 0.60510105), (1, 0.012500122), (2, 0.0126238195), (3, 0.012524636), (4, 0.35725036)]"
30,30,4.0,0.5814407,"[(0, 0.3808165), (1, 0.01254788), (2, 0.01265396), (3, 0.0125409765), (4, 0.5814407)]"
31,31,1.0,0.65519166,"[(1, 0.65519166), (3, 0.14664862), (4, 0.18156892)]"
32,32,1.0,0.6135963,"[(0, 0.0134208305), (1, 0.6135963), (2, 0.013348039), (3, 0.013486655), (4, 0.34614816)]"
33,33,1.0,0.3400009,"[(1, 0.3400009), (3, 0.320857), (4, 0.3261177)]"
34,34,1.0,0.984216,"[(1, 0.984216)]"
35,35,0.0,0.59929913,"[(0, 0.59929913), (1, 0.2592318), (2, 0.0640081), (3, 0.06792344)]"
36,36,0.0,0.396924,"[(0, 0.396924), (1, 0.3614718), (2, 0.018729867), (3, 0.018720685), (4, 0.20415367)]"
37,37,1.0,0.9848254,"[(1, 0.9848254)]"
38,38,1.0,0.6480286,"[(0, 0.26638868), (1, 0.6480286), (3, 0.06853088)]"
39,39,0.0,0.6254384,"[(0, 0.6254384), (1, 0.19751444), (3, 0.10601788), (4, 0.06494765)]"
40,40,2.0,0.94945866,"[(0, 0.012581739), (1, 0.012839511), (2, 0.94945866), (3, 0.012513578), (4, 0.012606532)]"
41,41,0.0,0.5675601,"[(0, 0.5675601), (1, 0.020669619), (2, 0.020264497), (3, 0.02018897), (4, 0.37131685)]"
42,42,4.0,0.8989131,"[(0, 0.025796866), (1, 0.02500023), (2, 0.025000196), (3, 0.02528972), (4, 0.898913)]"
43,43,3.0,0.47495303,"[(0, 0.022720875), (1, 0.022303808), (2, 0.4577226), (3, 0.47495303), (4, 0.022299748)]"
44,44,0.0,0.36587477,"[(0, 0.36587477), (1, 0.025044937), (2, 0.1782752), (3, 0.16397926), (4, 0.26682582)]"
45,45,2.0,0.7935695,"[(0, 0.02227579), (1, 0.13897635), (2, 0.7935695), (3, 0.022483196), (4, 0.022695199)]"
46,46,2.0,0.3901328,"[(0, 0.30003548), (1, 0.016880123), (2, 0.3901328), (3, 0.2762263), (4, 0.016725278)]"
47,47,0.0,0.39108554,"[(0, 0.39108554), (1, 0.033744577), (2, 0.1996621), (3, 0.033676), (4, 0.3418318)]"
48,48,2.0,0.7576794,"[(0, 0.077164985), (1, 0.06476237), (2, 0.7576794), (3, 0.08986459), (4, 0.010528688)]"
49,49,0.0,0.9377635,"[(0, 0.9377636), (1, 0.015412064), (2, 0.015417351), (3, 0.015915068), (4, 0.015491911)]"
50,50,2.0,0.42901418,"[(0, 0.2787279), (1, 0.26235014), (2, 0.42901418), (3, 0.014734984), (4, 0.015172792)]"
51,51,4.0,0.9723241,"[(4, 0.972324)]"
52,52,3.0,0.9521438,"[(0, 0.012242902), (1, 0.011769117), (2, 0.012039441), (3, 0.9521437), (4, 0.01180477)]"
53,53,1.0,0.95761406,"[(0, 0.010708533), (1, 0.9576141), (2, 0.010560326), (3, 0.010558121), (4, 0.010558946)]"
54,54,1.0,0.84756374,"[(0, 0.015532272), (1, 0.84756374), (2, 0.0155473035), (3, 0.01557232), (4, 0.10578437)]"
55,55,2.0,0.5377043,"[(0, 0.21312849), (1, 0.028571766), (2, 0.5377043), (3, 0.028818483), (4, 0.19177695)]"
56,56,4.0,0.421146,"[(0, 0.28758004), (1, 0.26244307), (2, 0.014400547), (3, 0.014430301), (4, 0.421146)]"
57,57,1.0,0.92727256,"[(0, 0.018181873), (1, 0.92727256), (2, 0.01818186), (3, 0.018181873), (4, 0.018181888)]"
58,58,0.0,0.3076216,"[(0, 0.3076216), (1, 0.23826218), (2, 0.15567128), (3, 0.14191781), (4, 0.1565271)]"
59,59,0.0,0.67450637,"[(0, 0.67450637), (1, 0.018274842), (2, 0.018645596), (3, 0.27025223), (4, 0.018321)]"
60,60,3.0,0.38208723,"[(0, 0.26429155), (1, 0.14993154), (2, 0.025207764), (3, 0.38208723), (4, 0.17848189)]"
61,61,1.0,0.6992564,"[(0, 0.034276925), (1, 0.6992564), (2, 0.19926669), (3, 0.033432398), (4, 0.03376761)]"
62,62,0.0,0.85761315,"[(0, 0.85761315), (1, 0.011764865), (2, 0.011781458), (3, 0.011815753), (4, 0.10702474)]"
63,63,2.0,0.49640208,"[(0, 0.022504909), (1, 0.16429918), (2, 0.49640206), (3, 0.022417229), (4, 0.29437664)]"
64,64,0.0,0.9099578,"[(0, 0.9099579), (1, 0.022827279), (2, 0.02263871), (3, 0.022222368), (4, 0.022353781)]"
65,65,0.0,0.47830713,"[(0, 0.47830713), (1, 0.3061893), (2, 0.011190545), (3, 0.011145838), (4, 0.1931672)]"
66,66,4.0,0.625539,"[(0, 0.033785075), (1, 0.03365114), (2, 0.03496534), (3, 0.2720594), (4, 0.625539)]"
67,67,1.0,0.5439375,"[(0, 0.050829574), (1, 0.5439375), (4, 0.39126942)]"
68,68,1.0,0.56946963,"[(0, 0.01057879), (1, 0.56946963), (2, 0.010559024), (3, 0.010587561), (4, 0.39880502)]"
69,69,0.0,0.35661122,"[(0, 0.35661122), (1, 0.30020428), (2, 0.014930724), (3, 0.14870398), (4, 0.17954981)]"
70,70,3.0,0.4629627,"[(0, 0.31749603), (1, 0.20538597), (3, 0.4629627)]"
71,71,3.0,0.6456802,"[(0, 0.013429605), (1, 0.013356214), (2, 0.08932676), (3, 0.6456802), (4, 0.2382072)]"
72,72,4.0,0.79086536,"[(3, 0.18256134), (4, 0.79086536)]"
73,73,1.0,0.73183995,"[(0, 0.18448544), (1, 0.73183995), (4, 0.06612871)]"
74,74,0.0,0.6547588,"[(0, 0.6547588), (1, 0.010247335), (2, 0.010023514), (3, 0.12289695), (4, 0.20207345)]"
75,75,0.0,0.86373794,"[(0, 0.86373794), (2, 0.010091611), (4, 0.10646959)]"
