,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8
0,치료,코로나,검사,천안,아버지,대구,환복,잠옷
1,확진,의료진,의사,당시,링거,식사,간호사,차림
2,요양,수술복,간호사,차림,입원실,기억,출산,어머니
3,시트,제작,혼자,세제,가족,상황,속옷,머리
4,침대,유니폼,환복,조사,할머니,의상,절개,눈물
5,바지,어린이,단추,얼굴,슬리퍼,차림,산부인과,사이
6,건강,가운,주사,디자인,흰색,대부분,검사,휠체어
7,센터,사이즈,가운,카메라,그때,무시,원피스,방송
8,이송,소재,건강,제거,자리,조현,주사,병상
9,세탁,사용,내시경,마스크,골절,방사선,도착,패션
10,응급실,원단,수면,정부,학교,안부,소변,어깨
11,관리,제품,대학,대표,새벽,관련,침대,침대
12,격리,평생,탈의실,소방,로봇,살해,기록,장면
13,대신,방호복,진료,근황,걱정,검거,바지,얼굴
14,치매,기능,손가락,응원,동안,음식,항생제,포착
15,시설,의류,생활,지구대,행복,대형,처음,미안
16,근무복,항암,개인,충격,출신,깁스,자궁,방역
17,인근,수건,숟가락,,의사,근처,당일,대통령
18,허리,간식,수술복,,세트,문제,이름,편의점
19,부족,회사,시절,,다리,,혈압,
