,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20
0,흰색,환복,코로나,바지,휠체어,의료진,잠옷,머리,의사,검사,건강,요양,단추,간호사,치료,식사,방송,확진,느낌,병상
1,붕대,갈아입,수면,원피스,마스크,사고,사이즈,링거,가운,관련,센터,시트,폐암,기억,주사,보호자,복도,만들,상황,격리
2,말씀,검사,학교,개인,나오,부족,제작,응급실,수술복,갈아입,가족,사이,회사,의사,들어가,정형외과,입히,차림,세상,근무복
3,인생,도착,조리,속옷,허리,평생,소재,얼굴,유니폼,엑스레이,복장,세탁,등장,들어오,갈아입,기다리,이름,슬리퍼,대표,행복
4,파주,절개,대학,생활,기관,자리,항암,장면,상의,방사선,간호사,혼자,만족,처음,내시경,cctv,로봇,사복,바이러스,조사
5,시설,간호사,내복,기저귀,대통령,간호사,골절,gt,그때,문제,따르,눈물,비밀,소변,탈의실,디자인,갈아입히,원단,장애,만나
6,이탈,입원실,of,고민,간식,감염,치료,모르,그러,외출,포착,처리,관계,손가락,마취,무릎,재활,일반,눈빛,최근
7,착용,당일,무시,가격,뉴스,지원,어깨,화장실,제거,용품,의상,세제,회원,갈아입,바늘,통증,깁스,살해,얘기,치마
8,주머니,항생제,the,시술,방법,편의점,기능,하의,sns,선택,체육,nan,지식,부위,교통사고,건물,답변,연락,현장,건강
9,예방,수속,양말,세트,사망,나가,제품,일상,시절,위생,방역,숟가락,눈길,진료,걱정,가요,간병,인근,의지,호실
10,카드,방호복,강아지,정리,기자,보험,출신,lt,자복,소지품,정문,세탁물,거짓말,미소,분만,추적,직후,조현,걸치,절차
11,어울리,설명,원복,준비물,요양원,업무,희망,담당,현관,추가,근처,업체,의류,심장,과정,원장,tv,청주서,축구,온몸
12,푸른색,자연,금지,이불,현실,소녀,가지,보통,응원,지키,선물,시설,맛집,산부인과,탈의,보내,운동,이식,차림,카메라
13,서비스,교수,디자인,음압,치료,대형,공간,주말,발목,건강,시선,며칠,패턴,팬티,대장,문자,안부,대신,사실,날씨
14,드리,자궁,학생,다니,생리,의식,음식,복강경,생산,중성화,신발,수건,기준,기분,소방,불편,간병인,주한,걱정,재산
15,방지,이동,관심,상하,착용,기본,구입,바닥,선고,동영상,음성군,미안,지나,속옷,다리,대부분,목소리,지구대,이해,로비
16,특이,혈압,가져가,가방,검색,지하,편안,동네,인간,행동,지역,거리,대화,기록,진행,느끼,부상,모두,본인,파자마
17,컨셉,샤워,학년,패드,어르신,참고,경찰서,주변,세계,기대,무통,범행,상품,증상,아동,박사,차림,amp,부대,호텔
18,안심,임신,걸리,정보,조심,산책,풍경,폐렴,생계,사물,아픔,효과,추억,수술대,물리,검거,근황,중환자실,커튼,차림
19,셔츠,마치,장비,폐기물,얼마,평상복,손목,애기,셀카,언니,돌아다니,주사기,배송,체크,나이,면회,올리,진복,방문,대상
20,요양,금식,신경,슬기,대피,목욕,내리,압박,생활비,주장,응급,공장,고백,판정,관장,반응,출연,체포,그러,사항
21,베갯잇,배정,복수,산모,지급,발생,진단,머리카락,삯바느질,보건,대학교,담요,예술,부르,유도,평소,배달,커피,바라보,급성
22,안전,산부인과,바람,교체,노조,식당,섬유,모녀,하트,수의,이때,흘리,자세,모르,간호사,확인,스타일,편도,상처,나비
23,여부,들어가,for,반바지,재판,위험,엉덩이,지나가,지난달,요구,근종,각종,무료,나오,측정,내부,제목,감동,고개,여행
24,기존,속옷,시대,반팔,모자,사회,고통,그날,응급실,치질,인근,비닐,해결,비용,링거,인대,자동차,올해,경기,핑크
25,무단,mri,시기,그림,출근,커버,해당,와중,계시,다양,집중,인증,병문안,체온,ct,기기,예고,자체,한방,아저씨
26,the,태동,수거,민소매,질환,달려오,의류,할로윈,위화감,웃음,컬러,이용,연애,기도,몸무게,소설,교회,파악,공원,종합
27,환경,작성,on,다리,처음,지난해,오랜만,공유,게재,방사선사,스틸,유아,병문,혼자,왼쪽,폐쇄,벗기,치료실,변화,감독
28,출시,정부,and,완료,화재,현장,이것저것,갑상선,흐르,면허,직업,베개,in,나중,외부,보호,상관,증거,차이,목사
29,구멍,연결,일어나,착용,지하철,사건,대학,감기,결혼,끝나,계단,불안,기타,노래,전신,나누,차례,이모,노출,놀라
30,외래,분만실,출입,레깅스,차림,액션,상품,완전,위로,최소,칼날,백신,무대,최고,올라가,긴장,엔딩,마시,버티,설치
31,초기,초음파,예정,실습,전국,베드,역할,운전,메디컬,호과,상상,검출,파란색,동생,한쪽,종합,한편,휴대폰,언론,관계자
32,시인,진행,커플,가디건,디스크,수필,친환경,분장,가량,스포츠,메시지,게임,실종,시장,예전,부모,부탁,앞두,하늘,공기
33,진료,실감,노력,간호조무사,수유,생명,피해,키스,복용,편지,미모,유지,긴장감,기증,검사,엘리베이터,보조,거부,자유,결정서
34,활보,사실,to,쌍수,종합,예약,일정,투입,허벅지,고생,인력,뉴스,절망,마취,마비,들어가,복지,naver,정상,tvn
35,중환자,기부,장소,물품,지내,인터뷰,반복,스타킹,시즌,일부,포인트,소독,mbc,매력,테스트,얼굴,활용,태어나,냄새,고객
36,작년,제모,모르,긴팔,산후조리원,의미,경험,작품,단편,청결,특별,바뀌,쇼핑몰,회복,입원실,침상,진행,합의,움직이,채널
37,사전,조금,제외,결제,안정,문제,유발,사이코,담낭,학과,생존,자랑,상세,당황,동시,다행,줄거리,셔츠,외투,양복
38,성인,복위,오빠,근육,활동,떠보,자료,질병,동행,사태,실수,모르,삭제,첫날,혈관,잠들,sbs,외과,호소,진행
39,목걸이,동의서,안면,수건,안경,대기실,나무,의상,여기저기,작업,입구,간호사,남기,상황,확인,지인,com,가운데,입장,실험
40,무단이탈,처음,교정,일상,문의,데리,복음,맹장,양쪽,나타나,여유,기업,인물,척추,토요일,화상,연출,점퍼,돌아오,육아
41,대응,기다리,산후조리원,불편,공급,마을,디자인,실화,도중,동료,가정,사이트,어머님,이후,말씀,결정,대하,부작용,충격,모델
42,하의,몸무게,할인,세탁,휴게실,제작,기간,피해자,닥터,얼마,포즈,이불,말기,핸드폰,소독약,시청,옥상,수업,호흡기,응시
43,채취,절제술,던지,거래,결핵,의심,위아래,빠지,누리,문진,경제,고령,손님,인기,내받,진료,공연,기적,다인,당장
44,정기,진통,patient,나라,법정,답변,조건,스토리,걱정,흔적,비주얼,장애,나서,검찰,재고,분위기,무늬,떨리,얼굴,한잔
45,케어,소변,종류,걱정,봉사,살균,전이,진통제,기계,이하,진실,요양원,co,슬픔,마사지,인사,이틀,두려움,판단,군복
46,신부,문학,필수,챙기,부담,대신,오픈,졸업,꺼내,직장,쇄골,방향,적용,오른쪽,브랜드,십자,국민,검정,옮기,돌아가
47,곳곳,기록,경찰복,색상,인터넷,급여,모집,배경,소식,복부,저택,물질,가입,도움,혈압,물건,그램,지나,확인,피부
48,목발,당선작,온도,특수,생활,의자,수납,피우,처치,알아보,포장,산소,탈장,공포,출동,생활,화면,선배,이동,모양
49,위치,그러,체험,인상,지적,무리,부탁,쓰레기,제품,신체,자궁,들어서,입력,밴드,어쩌,전체,혼자,사실,서로,개선
50,떠나,수행,복안,팬티,구급차,안전,바깥,오열,영화제,며칠,만남,오염,문화,감정,서류,돌보,눈길,수사,국군,이후
51,일요일,관장,화요일,청소,진료,군인,처음,세수,간호복,다녀오,훈련,전하,옆구리,자식,프로그램,코트,역사,복주머니,회복,참여
52,변호사,소매,옷장,직접,출석,바꾸,형태,가요,용종,방사선과,공주,지팡이,걱정,눈물,amp,헤어,불법,바르,간호사,접수
53,배회,절제,소화,지퍼,중간,이불,병상,이전,칫솔,비용,다리,차량,신청,덕분,색깔,월요일,정원,기침,천사,중년
54,부착,이후,야쿠자,장염,탑승,한복,천연,분노,증후군,렌즈,어깨,적시,study,이러,보호자,특성,출처,복검,장병,존재
55,바보,팔찌,patients,보통,보건,목요일,용품,외치,결심,이용,kbs,청소,소아,순서,유방암,내과,사업,취향,화장,동반
56,아버님,kg,준비물,침구,모드,종합,극복,파티,지방,대학교,누나,복귀,친정,청구,화제,다리,샴푸,끌어안,시민,대여
57,걸음,부문,실내,데스크,통증,수량,순면,사건,국제,방문,해제,오줌,동의,갑상선암,위내시경,jpg,메모,사투,성공,거리
58,중요,확인,실태,티비,따르,싸우,구하,고열,나이,금요일,장난,시각,온라인,사연,실패,옛날,캐릭터,거즈,구경,국내
59,처방,feat,위기,가지,이후,기기,참고,흰색,pu,침구,조언,최종,한편,상당,설명,풀리,초록,항문,생기,예상
60,혈액,부부,아가,빨래,교통,국가,이후,벤치,결국,특성,주차,시위,kr,조직,치과,이번,따르,유축,우려,교복
61,소름,취하,추위,버리,모유,원인,계획,포토,감상,with,호기심,사회,조기,왼쪽,도움,지켜보,최대한,버스,직전,예정
62,태그,회복실,장난감,폐기,발생,신세,우울,보호자,활동,판단,활용,연세,신나,시도,약물,내막,마트,고급,공감,patient
63,정맥,거울,clothing,소개,사회,외출,통합,화장,침구류,학교,사로잡,담당,사로잡,제거,대부분,신경,극본,이동,미안,호흡
64,편의,양수,에어컨,장갑,분홍색,창가,소파,겉옷,데이트,맞추,기념,평가,관련,다정,사고,푸드,한참,제출,결국,논란
65,보호,쌍둥이,하의,요청,긴급,추정,중학교,난소,회복,부탁,계속,목숨,작성,염증,cm,메뉴,넘치,자분,중심,다이어트
66,문제,채혈,이후,칼럼,약국,물품,사항,생후,끝내,접수,연습,자국,장바구니,언니,기다리,비교,얘기,확인,머리칼,과정
67,진입,소년,중앙,매장,공사,코스,남녀,티셔츠,치약,안전,회복,고려,변호사,브이,교육,라인,눈물,찜질,수치,주위
68,마련,수축,clothing,티셔츠,비용,개봉,정보,완성,바라보,지역,고통,주인공,회관,체중,불안,지도,개복,미치,인정,자유
69,이번,조치,design,포함,유머,하얀색,먹이,코스튬,이번,계시,일보,행사,환영,전망,다니,요즘,mbc,블로그,가리,와이프
70,사건,심전,임산부,웃기,단독,처음,전기,불편,컨디션,회사,본관,가운데,입음,아래,기분,도움,기자,폭행,모니터,홍보
71,골절,낭종,기간,구비,주의,동물,링크,미즈,소개,원단,고무줄,산업,전하,자극,아래,요리,카메라,설명,부위,치유
72,tv,과정,박스,물티슈,공고,폭발,입실,이끌,그리,신청,반찬,실제,이용,방법,체크,mri,주차장,만드,정장,cctv
73,전용,비치,study,친절,구치소,진술,의학,매트,한편,지내,빛나,납품,출연,소독,조영제,초등,단체,이불,하늘색,영하
74,호스피스,포기,기본,날짜,정리,베개,스트레스,뒷모습,불참,가요,테이블,최초,답변,올라오,유리,대신,예정,아데노이드,의견,링거
75,지역,투여,초면,장례식장,승객,열차,활동,이번,그램,혈액,직장,정부,라이프,기구,누우,그동안,충격,부탁,vs,식당
76,불편,냉장고,다원,오르,붙이,증상,생활,세월,종합,작성,확인,현대,현실,통화,금액,주변,휴식,갈아주,안쪽,축제
77,구간,행위,창문,간호사,방문,구분,팔목,리얼,얼굴,수사,체험,나오,열창,이벤트,심리,난리,변신,짜증,장소,공공
78,거리,에피소드,환경,학원,제한,알콜,길이,복수,착용,아래,강탈,생활,공연장,가시,완료,게시판,패스,얼굴,둘러보,적응
79,모니터링,긴장,현황,반납,조끼,고주파,동물,흡연,단체복,테스트,실내,아줌마,자선,현지,생활,모시,바라보,계속,설명,본격
80,양복,아래,지키,보호사,그램,광고,종합,컨셉,분위기,ct,위로,청소년,의자,포즈,만화,만약,티셔츠,대사,초산,게재
81,변화,난소,수유,리스트,주민,한방,매트리스,오빠,가디건,회복,웃음,혈액,교수,전달,신생아,거동,in,유니폼,아래,일상
82,시민,산모,군복,재질,소동,다니,폭행,암시,시스템,돌아다니,얼굴,커버,제품,하반신,속옷,긴급,오빠,이번,소아과,네티즌
83,도로,라인,종합,대신,지속,보호자,바지,착용,컨셉,개선,기자,이제,기적,연상,유행,근처,중요,접수,기자,장기
84,침구류,고용,입구,본인,줄무늬,소독,얼마,마시,궁금증,맞춤,현실,일부,학과,궁금증,연예,퇴근,친절,이후,허락,일부
85,종합,링거,세계,양말,계약,이용,구분,종일,아복,구분,걸치,반대,건강,마무리,마찬가지,방문,기대,결국,구조,검찰
86,그동안,블라우스,수건,공지,강제,중환자실,설치,드레스,로맨스,거리,가운데,예시,기도,is,파열,바라보,오른쪽,패턴,운영,근황
87,옷차림,결정,영어,원시,지난해,전원,치유,반응,최근,소변,ct,그러,생명,고정,증상,피부,역할,오빠,어깨,캐릭터
88,추정,임산부,챙기,소독,문화,즐기,유방암,때리,간호사,예상,의학,공식,가요,사실,디스크,실장,네티즌,알콜,생일,in
89,입음,마취,블로그,규정,자체,동위,동네,소아,사연,통증,결혼,제조,보통,시스템,중요,식당,흡연,사기,제일,이번
